<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SITHAI,20061201,0.905,0.905,0.905,0.905,null
SITHAI,20070101,0.85,0.85,0.85,0.85,null
SITHAI,20070201,0.87,0.87,0.87,0.87,null
SITHAI,20070301,0.915,0.915,0.915,0.915,null
SITHAI,20070401,0.945,0.945,0.945,0.945,null
SITHAI,20070501,0.805,0.805,0.805,0.805,null
SITHAI,20070601,0.91,0.91,0.91,0.91,null
SITHAI,20070701,0.895,0.895,0.895,0.895,null
SITHAI,20070801,0.785,0.785,0.785,0.785,null
SITHAI,20070901,0.795,0.795,0.795,0.795,null
SITHAI,20071001,0.80,0.80,0.80,0.80,null
SITHAI,20071101,0.765,0.765,0.765,0.765,null
SITHAI,20071201,0.75,0.75,0.75,0.75,null
SITHAI,20080101,0.725,0.725,0.725,0.725,null
SITHAI,20080201,0.825,0.825,0.825,0.825,null
SITHAI,20080301,0.805,0.805,0.805,0.805,null
SITHAI,20080401,0.825,0.825,0.825,0.825,null
SITHAI,20080501,0.765,0.765,0.765,0.765,null
SITHAI,20080601,0.70,0.70,0.70,0.70,null
SITHAI,20080701,0.63,0.63,0.63,0.63,null
SITHAI,20080801,0.625,0.625,0.625,0.625,null
SITHAI,20080901,0.60,0.60,0.60,0.60,null
SITHAI,20081001,0.50,0.50,0.50,0.50,null
SITHAI,20081101,0.48,0.48,0.48,0.48,null
SITHAI,20081201,0.49,0.49,0.49,0.49,null
SITHAI,20090101,0.486,0.486,0.486,0.486,null
SITHAI,20090201,0.478,0.478,0.478,0.478,null
SITHAI,20090301,0.50,0.50,0.50,0.50,null
SITHAI,20090401,0.55,0.55,0.55,0.55,null
SITHAI,20090501,0.49,0.49,0.49,0.49,null
SITHAI,20090601,0.48,0.48,0.48,0.48,null
SITHAI,20090701,0.486,0.486,0.486,0.486,null
SITHAI,20090801,0.50,0.50,0.50,0.50,null
SITHAI,20090901,0.565,0.565,0.565,0.565,null
SITHAI,20091001,0.57,0.57,0.57,0.57,null
SITHAI,20091101,0.545,0.545,0.545,0.545,null
SITHAI,20091201,0.545,0.545,0.545,0.545,null
SITHAI,20100101,0.54,0.54,0.54,0.54,null
SITHAI,20100201,0.55,0.55,0.55,0.55,null
SITHAI,20100301,0.615,0.615,0.615,0.615,null
