<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SKR-JittaLine,20061201,11.9481,11.9481,11.9481,11.9481,null
SKR-JittaLine,20070101,11.7669,11.7669,11.7669,11.7669,null
SKR-JittaLine,20070201,11.5857,11.5857,11.5857,11.5857,null
SKR-JittaLine,20070301,11.4045,11.4045,11.4045,11.4045,null
SKR-JittaLine,20070401,11.2233,11.2233,11.2233,11.2233,null
SKR-JittaLine,20070501,11.0421,11.0421,11.0421,11.0421,null
SKR-JittaLine,20070601,10.8609,10.8609,10.8609,10.8609,null
SKR-JittaLine,20070701,10.6797,10.6797,10.6797,10.6797,null
SKR-JittaLine,20070801,10.4985,10.4985,10.4985,10.4985,null
SKR-JittaLine,20070901,10.3173,10.3173,10.3173,10.3173,null
SKR-JittaLine,20071001,10.1361,10.1361,10.1361,10.1361,null
SKR-JittaLine,20071101,9.9549,9.9549,9.9549,9.9549,null
SKR-JittaLine,20071201,9.7737,9.7737,9.7737,9.7737,null
SKR-JittaLine,20080101,8.9594,8.9594,8.9594,8.9594,null
SKR-JittaLine,20080201,8.1452,8.1452,8.1452,8.1452,null
SKR-JittaLine,20080301,7.3309,7.3309,7.3309,7.3309,null
SKR-JittaLine,20080401,6.5167,6.5167,6.5167,6.5167,null
SKR-JittaLine,20080501,5.7024,5.7024,5.7024,5.7024,null
SKR-JittaLine,20080601,4.8882,4.8882,4.8882,4.8882,null
SKR-JittaLine,20080701,4.0739,4.0739,4.0739,4.0739,null
SKR-JittaLine,20080801,3.2597,3.2597,3.2597,3.2597,null
SKR-JittaLine,20080901,2.4454,2.4454,2.4454,2.4454,null
SKR-JittaLine,20081001,1.6312,1.6312,1.6312,1.6312,null
SKR-JittaLine,20081101,0.8169,0.8169,0.8169,0.8169,null
SKR-JittaLine,20081201,0.0027,0.0027,0.0027,0.0027,null
SKR-JittaLine,20090101,0.4159,0.4159,0.4159,0.4159,null
SKR-JittaLine,20090201,0.829,0.829,0.829,0.829,null
SKR-JittaLine,20090301,1.2422,1.2422,1.2422,1.2422,null
SKR-JittaLine,20090401,1.6554,1.6554,1.6554,1.6554,null
SKR-JittaLine,20090501,2.0685,2.0685,2.0685,2.0685,null
SKR-JittaLine,20090601,2.4817,2.4817,2.4817,2.4817,null
SKR-JittaLine,20090701,2.8949,2.8949,2.8949,2.8949,null
SKR-JittaLine,20090801,3.308,3.308,3.308,3.308,null
SKR-JittaLine,20090901,3.7212,3.7212,3.7212,3.7212,null
SKR-JittaLine,20091001,4.1344,4.1344,4.1344,4.1344,null
SKR-JittaLine,20091101,4.5475,4.5475,4.5475,4.5475,null
SKR-JittaLine,20091201,4.9607,4.9607,4.9607,4.9607,null
SKR-JittaLine,20100101,6.2919,6.2919,6.2919,6.2919,null
SKR-JittaLine,20100201,7.623,7.623,7.623,7.623,null
SKR-JittaLine,20100301,8.9542,8.9542,8.9542,8.9542,null
SKR-JittaLine,20100401,10.2853,10.2853,10.2853,10.2853,null
SKR-JittaLine,20100501,11.6165,11.6165,11.6165,11.6165,null
SKR-JittaLine,20100601,12.9477,12.9477,12.9477,12.9477,null
SKR-JittaLine,20100701,14.2788,14.2788,14.2788,14.2788,null
SKR-JittaLine,20100801,15.61,15.61,15.61,15.61,null
SKR-JittaLine,20100901,16.9411,16.9411,16.9411,16.9411,null
SKR-JittaLine,20101001,18.2723,18.2723,18.2723,18.2723,null
SKR-JittaLine,20101101,19.6035,19.6035,19.6035,19.6035,null
SKR-JittaLine,20101201,20.9346,20.9346,20.9346,20.9346,null
SKR-JittaLine,20110101,20.7867,20.7867,20.7867,20.7867,null
SKR-JittaLine,20110201,20.6388,20.6388,20.6388,20.6388,null
SKR-JittaLine,20110301,20.4909,20.4909,20.4909,20.4909,null
SKR-JittaLine,20110401,20.343,20.343,20.343,20.343,null
SKR-JittaLine,20110501,20.1951,20.1951,20.1951,20.1951,null
SKR-JittaLine,20110601,20.0472,20.0472,20.0472,20.0472,null
SKR-JittaLine,20110701,19.8993,19.8993,19.8993,19.8993,null
SKR-JittaLine,20110801,19.7514,19.7514,19.7514,19.7514,null
SKR-JittaLine,20110901,19.6035,19.6035,19.6035,19.6035,null
SKR-JittaLine,20111001,19.4556,19.4556,19.4556,19.4556,null
SKR-JittaLine,20111101,19.3077,19.3077,19.3077,19.3077,null
SKR-JittaLine,20111201,19.1598,19.1598,19.1598,19.1598,null
SKR-JittaLine,20120101,19.7165,19.7165,19.7165,19.7165,null
SKR-JittaLine,20120201,20.2732,20.2732,20.2732,20.2732,null
SKR-JittaLine,20120301,20.8298,20.8298,20.8298,20.8298,null
SKR-JittaLine,20120401,21.3865,21.3865,21.3865,21.3865,null
SKR-JittaLine,20120501,21.9431,21.9431,21.9431,21.9431,null
SKR-JittaLine,20120601,22.4998,22.4998,22.4998,22.4998,null
SKR-JittaLine,20120701,23.0564,23.0564,23.0564,23.0564,null
SKR-JittaLine,20120801,23.6131,23.6131,23.6131,23.6131,null
SKR-JittaLine,20120901,24.1697,24.1697,24.1697,24.1697,null
SKR-JittaLine,20121001,24.7264,24.7264,24.7264,24.7264,null
SKR-JittaLine,20121101,25.2831,25.2831,25.2831,25.2831,null
SKR-JittaLine,20121201,25.8397,25.8397,25.8397,25.8397,null
SKR-JittaLine,20130101,26.6732,26.6732,26.6732,26.6732,null
SKR-JittaLine,20130201,27.5066,27.5066,27.5066,27.5066,null
SKR-JittaLine,20130301,28.3401,28.3401,28.3401,28.3401,null
SKR-JittaLine,20130401,29.1736,29.1736,29.1736,29.1736,null
SKR-JittaLine,20130501,30.0071,30.0071,30.0071,30.0071,null
SKR-JittaLine,20130601,30.8405,30.8405,30.8405,30.8405,null
SKR-JittaLine,20130701,31.674,31.674,31.674,31.674,null
SKR-JittaLine,20130801,32.5075,32.5075,32.5075,32.5075,null
SKR-JittaLine,20130901,33.3409,33.3409,33.3409,33.3409,null
SKR-JittaLine,20131001,34.1744,34.1744,34.1744,34.1744,null
