<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SLP,20150501,1.72,1.72,1.72,1.72,null
SLP,20150601,1.73,1.73,1.73,1.73,null
SLP,20150701,1.37,1.37,1.37,1.37,null
SLP,20150801,1.31,1.31,1.31,1.31,null
SLP,20150901,1.18,1.18,1.18,1.18,null
SLP,20151001,1.20,1.20,1.20,1.20,null
SLP,20151101,1.07,1.07,1.07,1.07,null
SLP,20151201,1.00,1.00,1.00,1.00,null
SLP,20160101,0.98,0.98,0.98,0.98,null
SLP,20160201,0.95,0.95,0.95,0.95,null
SLP,20160301,0.98,0.98,0.98,0.98,null
SLP,20160401,1.34,1.34,1.34,1.34,null
SLP,20160501,1.44,1.44,1.44,1.44,null
