<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SMG-JittaLine,20061201,15.5057,15.5057,15.5057,15.5057,null
SMG-JittaLine,20070101,15.5408,15.5408,15.5408,15.5408,null
SMG-JittaLine,20070201,15.576,15.576,15.576,15.576,null
SMG-JittaLine,20070301,15.6111,15.6111,15.6111,15.6111,null
SMG-JittaLine,20070401,15.6462,15.6462,15.6462,15.6462,null
SMG-JittaLine,20070501,15.6814,15.6814,15.6814,15.6814,null
SMG-JittaLine,20070601,15.7165,15.7165,15.7165,15.7165,null
SMG-JittaLine,20070701,15.7517,15.7517,15.7517,15.7517,null
SMG-JittaLine,20070801,15.7868,15.7868,15.7868,15.7868,null
SMG-JittaLine,20070901,15.822,15.822,15.822,15.822,null
SMG-JittaLine,20071001,15.8571,15.8571,15.8571,15.8571,null
SMG-JittaLine,20071101,15.8922,15.8922,15.8922,15.8922,null
SMG-JittaLine,20071201,15.9274,15.9274,15.9274,15.9274,null
SMG-JittaLine,20080101,13.1523,13.1523,13.1523,13.1523,null
SMG-JittaLine,20080201,10.3771,10.3771,10.3771,10.3771,null
SMG-JittaLine,20080301,7.602,7.602,7.602,7.602,null
SMG-JittaLine,20080401,4.8269,4.8269,4.8269,4.8269,null
SMG-JittaLine,20080501,2.0518,2.0518,2.0518,2.0518,null
SMG-JittaLine,20090801,1.6971,1.6971,1.6971,1.6971,null
SMG-JittaLine,20090901,4.081,4.081,4.081,4.081,null
SMG-JittaLine,20091001,6.4649,6.4649,6.4649,6.4649,null
SMG-JittaLine,20091101,8.8488,8.8488,8.8488,8.8488,null
SMG-JittaLine,20091201,11.2327,11.2327,11.2327,11.2327,null
SMG-JittaLine,20100101,11.5924,11.5924,11.5924,11.5924,null
SMG-JittaLine,20100201,11.9521,11.9521,11.9521,11.9521,null
SMG-JittaLine,20100301,12.3118,12.3118,12.3118,12.3118,null
SMG-JittaLine,20100401,12.6715,12.6715,12.6715,12.6715,null
SMG-JittaLine,20100501,13.0312,13.0312,13.0312,13.0312,null
SMG-JittaLine,20100601,13.3909,13.3909,13.3909,13.3909,null
SMG-JittaLine,20100701,13.7507,13.7507,13.7507,13.7507,null
SMG-JittaLine,20100801,14.1104,14.1104,14.1104,14.1104,null
SMG-JittaLine,20100901,14.4701,14.4701,14.4701,14.4701,null
SMG-JittaLine,20101001,14.8298,14.8298,14.8298,14.8298,null
SMG-JittaLine,20101101,15.1895,15.1895,15.1895,15.1895,null
SMG-JittaLine,20101201,15.5492,15.5492,15.5492,15.5492,null
SMG-JittaLine,20110101,12.9378,12.9378,12.9378,12.9378,null
SMG-JittaLine,20110201,10.3265,10.3265,10.3265,10.3265,null
SMG-JittaLine,20110301,7.7151,7.7151,7.7151,7.7151,null
SMG-JittaLine,20110401,5.1037,5.1037,5.1037,5.1037,null
SMG-JittaLine,20110501,2.4923,2.4923,2.4923,2.4923,null
SMG-JittaLine,20120801,1.8449,1.8449,1.8449,1.8449,null
SMG-JittaLine,20120901,4.0489,4.0489,4.0489,4.0489,null
SMG-JittaLine,20121001,6.2529,6.2529,6.2529,6.2529,null
SMG-JittaLine,20121101,8.4569,8.4569,8.4569,8.4569,null
SMG-JittaLine,20121201,10.661,10.661,10.661,10.661,null
SMG-JittaLine,20130101,11.7716,11.7716,11.7716,11.7716,null
SMG-JittaLine,20130201,12.8822,12.8822,12.8822,12.8822,null
SMG-JittaLine,20130301,13.9928,13.9928,13.9928,13.9928,null
SMG-JittaLine,20130401,15.1034,15.1034,15.1034,15.1034,null
SMG-JittaLine,20130501,16.2141,16.2141,16.2141,16.2141,null
SMG-JittaLine,20130601,17.3247,17.3247,17.3247,17.3247,null
SMG-JittaLine,20130701,18.4353,18.4353,18.4353,18.4353,null
SMG-JittaLine,20130801,19.5459,19.5459,19.5459,19.5459,null
SMG-JittaLine,20130901,20.6565,20.6565,20.6565,20.6565,null
SMG-JittaLine,20131001,21.7672,21.7672,21.7672,21.7672,null
SMG-JittaLine,20131101,22.8778,22.8778,22.8778,22.8778,null
SMG-JittaLine,20131201,23.9884,23.9884,23.9884,23.9884,null
SMG-JittaLine,20140101,25.9986,25.9986,25.9986,25.9986,null
SMG-JittaLine,20140201,28.0088,28.0088,28.0088,28.0088,null
SMG-JittaLine,20140301,30.019,30.019,30.019,30.019,null
SMG-JittaLine,20140401,32.0292,32.0292,32.0292,32.0292,null
SMG-JittaLine,20140501,34.0394,34.0394,34.0394,34.0394,null
SMG-JittaLine,20140601,36.0496,36.0496,36.0496,36.0496,null
SMG-JittaLine,20140701,38.0598,38.0598,38.0598,38.0598,null
SMG-JittaLine,20140801,40.07,40.07,40.07,40.07,null
SMG-JittaLine,20140901,42.0802,42.0802,42.0802,42.0802,null
SMG-JittaLine,20141001,44.0904,44.0904,44.0904,44.0904,null
SMG-JittaLine,20141101,46.1006,46.1006,46.1006,46.1006,null
SMG-JittaLine,20141201,48.1108,48.1108,48.1108,48.1108,null
SMG-JittaLine,20150101,48.8659,48.8659,48.8659,48.8659,null
SMG-JittaLine,20150201,49.621,49.621,49.621,49.621,null
SMG-JittaLine,20150301,50.376,50.376,50.376,50.376,null
SMG-JittaLine,20150401,51.1311,51.1311,51.1311,51.1311,null
SMG-JittaLine,20150501,51.8862,51.8862,51.8862,51.8862,null
SMG-JittaLine,20150601,52.6412,52.6412,52.6412,52.6412,null
SMG-JittaLine,20150701,53.3963,53.3963,53.3963,53.3963,null
SMG-JittaLine,20150801,54.1514,54.1514,54.1514,54.1514,null
