<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNC-JittaScore,20061201,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20070101,5.30,5.30,5.30,5.30,null
SNC-JittaScore,20070201,5.30,5.30,5.30,5.30,null
SNC-JittaScore,20070301,5.30,5.30,5.30,5.30,null
SNC-JittaScore,20070401,5.55,5.55,5.55,5.55,null
SNC-JittaScore,20070501,5.55,5.55,5.55,5.55,null
SNC-JittaScore,20070601,5.55,5.55,5.55,5.55,null
SNC-JittaScore,20070701,5.55,5.55,5.55,5.55,null
SNC-JittaScore,20070801,5.55,5.55,5.55,5.55,null
SNC-JittaScore,20070901,5.55,5.55,5.55,5.55,null
SNC-JittaScore,20071001,4.30,4.30,4.30,4.30,null
SNC-JittaScore,20071101,4.30,4.30,4.30,4.30,null
SNC-JittaScore,20071201,4.30,4.30,4.30,4.30,null
SNC-JittaScore,20080101,2.55,2.55,2.55,2.55,null
SNC-JittaScore,20080201,2.55,2.55,2.55,2.55,null
SNC-JittaScore,20080301,2.55,2.55,2.55,2.55,null
SNC-JittaScore,20080401,2.25,2.25,2.25,2.25,null
SNC-JittaScore,20080501,2.25,2.25,2.25,2.25,null
SNC-JittaScore,20080601,2.25,2.25,2.25,2.25,null
SNC-JittaScore,20080701,2.38,2.38,2.38,2.38,null
SNC-JittaScore,20080801,2.38,2.38,2.38,2.38,null
SNC-JittaScore,20080901,2.38,2.38,2.38,2.38,null
SNC-JittaScore,20081001,2.70,2.70,2.70,2.70,null
SNC-JittaScore,20081101,2.70,2.70,2.70,2.70,null
SNC-JittaScore,20081201,2.70,2.70,2.70,2.70,null
SNC-JittaScore,20090101,2.75,2.75,2.75,2.75,null
SNC-JittaScore,20090201,2.75,2.75,2.75,2.75,null
SNC-JittaScore,20090301,2.75,2.75,2.75,2.75,null
SNC-JittaScore,20090401,2.75,2.75,2.75,2.75,null
SNC-JittaScore,20090501,2.75,2.75,2.75,2.75,null
SNC-JittaScore,20090601,2.75,2.75,2.75,2.75,null
SNC-JittaScore,20090701,2.45,2.45,2.45,2.45,null
SNC-JittaScore,20090801,2.45,2.45,2.45,2.45,null
SNC-JittaScore,20090901,2.45,2.45,2.45,2.45,null
SNC-JittaScore,20091001,2.70,2.70,2.70,2.70,null
SNC-JittaScore,20091101,2.70,2.70,2.70,2.70,null
SNC-JittaScore,20091201,2.70,2.70,2.70,2.70,null
SNC-JittaScore,20100101,3.90,3.90,3.90,3.90,null
SNC-JittaScore,20100201,3.90,3.90,3.90,3.90,null
SNC-JittaScore,20100301,3.90,3.90,3.90,3.90,null
SNC-JittaScore,20100401,4.08,4.08,4.08,4.08,null
SNC-JittaScore,20100501,4.08,4.08,4.08,4.08,null
SNC-JittaScore,20100601,4.08,4.08,4.08,4.08,null
SNC-JittaScore,20100701,4.08,4.08,4.08,4.08,null
SNC-JittaScore,20100801,4.08,4.08,4.08,4.08,null
SNC-JittaScore,20100901,4.08,4.08,4.08,4.08,null
SNC-JittaScore,20101001,4.05,4.05,4.05,4.05,null
SNC-JittaScore,20101101,4.05,4.05,4.05,4.05,null
SNC-JittaScore,20101201,4.05,4.05,4.05,4.05,null
SNC-JittaScore,20110101,4.90,4.90,4.90,4.90,null
SNC-JittaScore,20110201,4.90,4.90,4.90,4.90,null
SNC-JittaScore,20110301,4.90,4.90,4.90,4.90,null
SNC-JittaScore,20110401,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20110501,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20110601,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20110701,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20110801,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20110901,4.95,4.95,4.95,4.95,null
SNC-JittaScore,20111001,4.55,4.55,4.55,4.55,null
SNC-JittaScore,20111101,4.55,4.55,4.55,4.55,null
SNC-JittaScore,20111201,4.55,4.55,4.55,4.55,null
SNC-JittaScore,20120101,5.05,5.05,5.05,5.05,null
SNC-JittaScore,20120201,5.05,5.05,5.05,5.05,null
SNC-JittaScore,20120301,5.05,5.05,5.05,5.05,null
SNC-JittaScore,20120401,4.35,4.35,4.35,4.35,null
SNC-JittaScore,20120501,4.35,4.35,4.35,4.35,null
SNC-JittaScore,20120601,4.35,4.35,4.35,4.35,null
SNC-JittaScore,20120701,4.35,4.35,4.35,4.35,null
SNC-JittaScore,20120801,4.35,4.35,4.35,4.35,null
SNC-JittaScore,20120901,4.35,4.35,4.35,4.35,null
SNC-JittaScore,20121001,4.80,4.80,4.80,4.80,null
SNC-JittaScore,20121101,4.80,4.80,4.80,4.80,null
SNC-JittaScore,20121201,4.80,4.80,4.80,4.80,null
SNC-JittaScore,20130101,4.90,4.90,4.90,4.90,null
SNC-JittaScore,20130201,4.90,4.90,4.90,4.90,null
SNC-JittaScore,20130301,4.90,4.90,4.90,4.90,null
SNC-JittaScore,20130401,5.10,5.10,5.10,5.10,null
SNC-JittaScore,20130501,5.10,5.10,5.10,5.10,null
SNC-JittaScore,20130601,5.10,5.10,5.10,5.10,null
SNC-JittaScore,20130701,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20130801,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20130901,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20131001,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20131101,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20131201,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20140101,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20140201,4.60,4.60,4.60,4.60,null
SNC-JittaScore,20140301,4.60,4.60,4.60,4.60,null
