<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPPT-JittaScore,20061201,6.35,6.35,6.35,6.35,null
SPPT-JittaScore,20070101,4.70,4.70,4.70,4.70,null
SPPT-JittaScore,20070201,4.70,4.70,4.70,4.70,null
SPPT-JittaScore,20070301,4.70,4.70,4.70,4.70,null
SPPT-JittaScore,20070401,4.95,4.95,4.95,4.95,null
SPPT-JittaScore,20070501,4.95,4.95,4.95,4.95,null
SPPT-JittaScore,20070601,4.95,4.95,4.95,4.95,null
SPPT-JittaScore,20070701,5.45,5.45,5.45,5.45,null
SPPT-JittaScore,20070801,5.45,5.45,5.45,5.45,null
SPPT-JittaScore,20070901,5.45,5.45,5.45,5.45,null
SPPT-JittaScore,20071001,6.45,6.45,6.45,6.45,null
SPPT-JittaScore,20071101,6.45,6.45,6.45,6.45,null
SPPT-JittaScore,20071201,6.45,6.45,6.45,6.45,null
SPPT-JittaScore,20080101,3.70,3.70,3.70,3.70,null
SPPT-JittaScore,20080201,3.70,3.70,3.70,3.70,null
SPPT-JittaScore,20080301,3.70,3.70,3.70,3.70,null
SPPT-JittaScore,20080401,3.45,3.45,3.45,3.45,null
SPPT-JittaScore,20080501,3.45,3.45,3.45,3.45,null
SPPT-JittaScore,20080601,3.45,3.45,3.45,3.45,null
SPPT-JittaScore,20080701,3.15,3.15,3.15,3.15,null
SPPT-JittaScore,20080801,3.15,3.15,3.15,3.15,null
SPPT-JittaScore,20080901,3.15,3.15,3.15,3.15,null
SPPT-JittaScore,20081001,3.08,3.08,3.08,3.08,null
SPPT-JittaScore,20081101,3.08,3.08,3.08,3.08,null
SPPT-JittaScore,20081201,3.08,3.08,3.08,3.08,null
SPPT-JittaScore,20090101,3.52,3.52,3.52,3.52,null
SPPT-JittaScore,20090201,3.52,3.52,3.52,3.52,null
SPPT-JittaScore,20090301,3.52,3.52,3.52,3.52,null
SPPT-JittaScore,20090401,3.33,3.33,3.33,3.33,null
SPPT-JittaScore,20090501,3.33,3.33,3.33,3.33,null
