<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPPT,20061201,4.22,4.22,4.22,4.22,440963.21052632
SPPT,20070101,4.10,4.10,4.10,4.10,103784.21052632
SPPT,20070201,4.16,4.16,4.16,4.16,134150
SPPT,20070301,4.06,4.06,4.06,4.06,128447.61904762
SPPT,20070401,4.20,4.20,4.20,4.20,146911.11111111
SPPT,20070501,4.30,4.30,4.30,4.30,896490
SPPT,20070601,4.80,4.80,4.80,4.80,5785133.33333333
SPPT,20070701,4.62,4.62,4.62,4.62,4200909.52380952
SPPT,20070801,4.50,4.50,4.50,4.50,1856486.36363636
SPPT,20070901,4.38,4.38,4.38,4.38,587605
SPPT,20071001,4.56,4.56,4.56,4.56,915731.81818182
SPPT,20071101,4.44,4.44,4.44,4.44,1036145.45454545
SPPT,20071201,4.36,4.36,4.36,4.36,210318.75
SPPT,20080101,4.14,4.14,4.14,4.14,111163.63636364
SPPT,20080201,4.24,4.24,4.24,4.24,218545
SPPT,20080301,4.28,4.28,4.28,4.28,237071.42857143
SPPT,20080401,4.56,4.56,4.56,4.56,402242.10526316
SPPT,20080501,4.28,4.28,4.28,4.28,129963.15789474
SPPT,20080601,4.34,4.34,4.34,4.34,597095
SPPT,20080701,4.22,4.22,4.22,4.22,395741.66666667
SPPT,20080801,4.02,4.02,4.02,4.02,136816.66666667
SPPT,20080901,3.60,3.60,3.60,3.60,77494.11764706
SPPT,20081001,3.20,3.20,3.20,3.20,55660
SPPT,20081101,3.30,3.30,3.30,3.30,37211.76470588
SPPT,20081201,3.26,3.26,3.26,3.26,4814.28571429
SPPT,20090101,2.58,2.58,2.58,2.58,20775
SPPT,20090201,2.48,2.48,2.48,2.48,48206.25
SPPT,20090301,2.44,2.44,2.44,2.44,19855.55555556
SPPT,20090401,2.38,2.38,2.38,2.38,19826.66666667
SPPT,20090501,2.88,2.88,2.88,2.88,45276.92307692
SPPT,20090601,2.32,2.32,2.32,2.32,153354.54545455
SPPT,20090701,2.58,2.58,2.58,2.58,157320
SPPT,20090801,2.60,2.60,2.60,2.60,991350
SPPT,20090901,2.82,2.82,2.82,2.82,1369722.72727273
SPPT,20091001,2.64,2.64,2.64,2.64,290090.47619048
SPPT,20091101,2.68,2.68,2.68,2.68,123819.04761905
SPPT,20091201,2.72,2.72,2.72,2.72,100165
SPPT,20100101,2.86,2.86,2.86,2.86,699470
SPPT,20100201,2.84,2.84,2.84,2.84,72200
SPPT,20100301,3.10,3.10,3.10,3.10,248831.81818182
SPPT,20100401,3.06,3.06,3.06,3.06,168816.66666667
SPPT,20100501,3.24,3.24,3.24,3.24,190193.75
