<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
STANLY-JittaScore,20061201,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20070101,4.40,4.40,4.40,4.40,null
STANLY-JittaScore,20070201,4.40,4.40,4.40,4.40,null
STANLY-JittaScore,20070301,4.40,4.40,4.40,4.40,null
STANLY-JittaScore,20070401,3.90,3.90,3.90,3.90,null
STANLY-JittaScore,20070501,3.90,3.90,3.90,3.90,null
STANLY-JittaScore,20070601,3.90,3.90,3.90,3.90,null
STANLY-JittaScore,20070701,3.35,3.35,3.35,3.35,null
STANLY-JittaScore,20070801,3.35,3.35,3.35,3.35,null
STANLY-JittaScore,20070901,3.35,3.35,3.35,3.35,null
STANLY-JittaScore,20071001,3.65,3.65,3.65,3.65,null
STANLY-JittaScore,20071101,3.65,3.65,3.65,3.65,null
STANLY-JittaScore,20071201,3.65,3.65,3.65,3.65,null
STANLY-JittaScore,20080101,6.20,6.20,6.20,6.20,null
STANLY-JittaScore,20080201,6.20,6.20,6.20,6.20,null
STANLY-JittaScore,20080301,6.20,6.20,6.20,6.20,null
STANLY-JittaScore,20080401,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20080501,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20080601,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20080701,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20080801,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20080901,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20081001,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20081101,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20081201,6.40,6.40,6.40,6.40,null
STANLY-JittaScore,20090101,6.42,6.42,6.42,6.42,null
STANLY-JittaScore,20090201,6.42,6.42,6.42,6.42,null
STANLY-JittaScore,20090301,6.42,6.42,6.42,6.42,null
STANLY-JittaScore,20090401,4.10,4.10,4.10,4.10,null
STANLY-JittaScore,20090501,4.10,4.10,4.10,4.10,null
STANLY-JittaScore,20090601,4.10,4.10,4.10,4.10,null
STANLY-JittaScore,20090701,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20090801,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20090901,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20091001,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20091101,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20091201,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20100101,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20100201,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20100301,3.55,3.55,3.55,3.55,null
STANLY-JittaScore,20100401,4.75,4.75,4.75,4.75,null
STANLY-JittaScore,20100501,4.75,4.75,4.75,4.75,null
STANLY-JittaScore,20100601,4.75,4.75,4.75,4.75,null
STANLY-JittaScore,20100701,5.00,5.00,5.00,5.00,null
STANLY-JittaScore,20100801,5.00,5.00,5.00,5.00,null
STANLY-JittaScore,20100901,5.00,5.00,5.00,5.00,null
STANLY-JittaScore,20101001,5.00,5.00,5.00,5.00,null
STANLY-JittaScore,20101101,5.00,5.00,5.00,5.00,null
STANLY-JittaScore,20101201,5.00,5.00,5.00,5.00,null
STANLY-JittaScore,20110101,7.55,7.55,7.55,7.55,null
STANLY-JittaScore,20110201,7.55,7.55,7.55,7.55,null
STANLY-JittaScore,20110301,7.55,7.55,7.55,7.55,null
STANLY-JittaScore,20110401,7.05,7.05,7.05,7.05,null
STANLY-JittaScore,20110501,7.05,7.05,7.05,7.05,null
STANLY-JittaScore,20110601,7.05,7.05,7.05,7.05,null
STANLY-JittaScore,20110701,6.50,6.50,6.50,6.50,null
STANLY-JittaScore,20110801,6.50,6.50,6.50,6.50,null
STANLY-JittaScore,20110901,6.50,6.50,6.50,6.50,null
STANLY-JittaScore,20111001,6.75,6.75,6.75,6.75,null
STANLY-JittaScore,20111101,6.75,6.75,6.75,6.75,null
STANLY-JittaScore,20111201,6.75,6.75,6.75,6.75,null
STANLY-JittaScore,20120101,3.50,3.50,3.50,3.50,null
STANLY-JittaScore,20120201,3.50,3.50,3.50,3.50,null
STANLY-JittaScore,20120301,3.50,3.50,3.50,3.50,null
STANLY-JittaScore,20120401,3.65,3.65,3.65,3.65,null
STANLY-JittaScore,20120501,3.65,3.65,3.65,3.65,null
STANLY-JittaScore,20120601,3.65,3.65,3.65,3.65,null
STANLY-JittaScore,20120701,3.90,3.90,3.90,3.90,null
STANLY-JittaScore,20120801,3.90,3.90,3.90,3.90,null
STANLY-JittaScore,20120901,3.90,3.90,3.90,3.90,null
STANLY-JittaScore,20121001,3.75,3.75,3.75,3.75,null
STANLY-JittaScore,20121101,3.75,3.75,3.75,3.75,null
STANLY-JittaScore,20121201,3.75,3.75,3.75,3.75,null
STANLY-JittaScore,20130101,6.45,6.45,6.45,6.45,null
STANLY-JittaScore,20130201,6.45,6.45,6.45,6.45,null
STANLY-JittaScore,20130301,6.45,6.45,6.45,6.45,null
STANLY-JittaScore,20130401,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20130501,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20130601,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20130701,7.08,7.08,7.08,7.08,null
STANLY-JittaScore,20130801,7.08,7.08,7.08,7.08,null
STANLY-JittaScore,20130901,7.08,7.08,7.08,7.08,null
STANLY-JittaScore,20131001,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20131101,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20131201,6.95,6.95,6.95,6.95,null
STANLY-JittaScore,20140101,5.45,5.45,5.45,5.45,null
STANLY-JittaScore,20140201,5.45,5.45,5.45,5.45,null
STANLY-JittaScore,20140301,5.45,5.45,5.45,5.45,null
STANLY-JittaScore,20140401,4.80,4.80,4.80,4.80,null
STANLY-JittaScore,20140501,4.80,4.80,4.80,4.80,null
STANLY-JittaScore,20140601,4.80,4.80,4.80,4.80,null
STANLY-JittaScore,20140701,4.25,4.25,4.25,4.25,null
STANLY-JittaScore,20140801,4.25,4.25,4.25,4.25,null
