<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
STPI-JittaScore,20061201,3.60,3.60,3.60,3.60,null
STPI-JittaScore,20070101,2.90,2.90,2.90,2.90,null
STPI-JittaScore,20070201,2.90,2.90,2.90,2.90,null
STPI-JittaScore,20070301,2.90,2.90,2.90,2.90,null
STPI-JittaScore,20070401,3.15,3.15,3.15,3.15,null
STPI-JittaScore,20070501,3.15,3.15,3.15,3.15,null
STPI-JittaScore,20070601,3.15,3.15,3.15,3.15,null
STPI-JittaScore,20070701,3.15,3.15,3.15,3.15,null
STPI-JittaScore,20070801,3.15,3.15,3.15,3.15,null
STPI-JittaScore,20070901,3.15,3.15,3.15,3.15,null
STPI-JittaScore,20071001,5.55,5.55,5.55,5.55,null
STPI-JittaScore,20071101,5.55,5.55,5.55,5.55,null
STPI-JittaScore,20071201,5.55,5.55,5.55,5.55,null
STPI-JittaScore,20080101,1.85,1.85,1.85,1.85,null
STPI-JittaScore,20080201,1.85,1.85,1.85,1.85,null
STPI-JittaScore,20080301,1.85,1.85,1.85,1.85,null
STPI-JittaScore,20080401,1.30,1.30,1.30,1.30,null
STPI-JittaScore,20080501,1.30,1.30,1.30,1.30,null
STPI-JittaScore,20080601,1.30,1.30,1.30,1.30,null
STPI-JittaScore,20080701,1.30,1.30,1.30,1.30,null
STPI-JittaScore,20080801,1.30,1.30,1.30,1.30,null
STPI-JittaScore,20080901,1.30,1.30,1.30,1.30,null
STPI-JittaScore,20081001,2.35,2.35,2.35,2.35,null
STPI-JittaScore,20081101,2.35,2.35,2.35,2.35,null
STPI-JittaScore,20081201,2.35,2.35,2.35,2.35,null
STPI-JittaScore,20090101,4.20,4.20,4.20,4.20,null
STPI-JittaScore,20090201,4.20,4.20,4.20,4.20,null
STPI-JittaScore,20090301,4.20,4.20,4.20,4.20,null
STPI-JittaScore,20090401,4.33,4.33,4.33,4.33,null
STPI-JittaScore,20090501,4.33,4.33,4.33,4.33,null
STPI-JittaScore,20090601,4.33,4.33,4.33,4.33,null
STPI-JittaScore,20090701,4.33,4.33,4.33,4.33,null
STPI-JittaScore,20090801,4.33,4.33,4.33,4.33,null
STPI-JittaScore,20090901,4.33,4.33,4.33,4.33,null
STPI-JittaScore,20091001,4.50,4.50,4.50,4.50,null
STPI-JittaScore,20091101,4.50,4.50,4.50,4.50,null
STPI-JittaScore,20091201,4.50,4.50,4.50,4.50,null
STPI-JittaScore,20100101,4.40,4.40,4.40,4.40,null
STPI-JittaScore,20100201,4.40,4.40,4.40,4.40,null
STPI-JittaScore,20100301,4.40,4.40,4.40,4.40,null
STPI-JittaScore,20100401,4.60,4.60,4.60,4.60,null
STPI-JittaScore,20100501,4.60,4.60,4.60,4.60,null
STPI-JittaScore,20100601,4.60,4.60,4.60,4.60,null
STPI-JittaScore,20100701,4.17,4.17,4.17,4.17,null
STPI-JittaScore,20100801,4.17,4.17,4.17,4.17,null
STPI-JittaScore,20100901,4.17,4.17,4.17,4.17,null
STPI-JittaScore,20101001,3.98,3.98,3.98,3.98,null
STPI-JittaScore,20101101,3.98,3.98,3.98,3.98,null
STPI-JittaScore,20101201,3.98,3.98,3.98,3.98,null
STPI-JittaScore,20110101,4.47,4.47,4.47,4.47,null
STPI-JittaScore,20110201,4.47,4.47,4.47,4.47,null
STPI-JittaScore,20110301,4.47,4.47,4.47,4.47,null
STPI-JittaScore,20110401,3.92,3.92,3.92,3.92,null
STPI-JittaScore,20110501,3.92,3.92,3.92,3.92,null
STPI-JittaScore,20110601,3.92,3.92,3.92,3.92,null
STPI-JittaScore,20110701,3.92,3.92,3.92,3.92,null
STPI-JittaScore,20110801,3.92,3.92,3.92,3.92,null
STPI-JittaScore,20110901,3.92,3.92,3.92,3.92,null
STPI-JittaScore,20111001,1.13,1.13,1.13,1.13,null
STPI-JittaScore,20111101,1.13,1.13,1.13,1.13,null
STPI-JittaScore,20111201,1.13,1.13,1.13,1.13,null
STPI-JittaScore,20120101,1.32,1.32,1.32,1.32,null
STPI-JittaScore,20120201,1.32,1.32,1.32,1.32,null
STPI-JittaScore,20120301,1.32,1.32,1.32,1.32,null
STPI-JittaScore,20120401,1.15,1.15,1.15,1.15,null
STPI-JittaScore,20120501,1.15,1.15,1.15,1.15,null
STPI-JittaScore,20120601,1.15,1.15,1.15,1.15,null
STPI-JittaScore,20120701,1.15,1.15,1.15,1.15,null
STPI-JittaScore,20120801,1.15,1.15,1.15,1.15,null
STPI-JittaScore,20120901,1.15,1.15,1.15,1.15,null
STPI-JittaScore,20121001,2.50,2.50,2.50,2.50,null
STPI-JittaScore,20121101,2.50,2.50,2.50,2.50,null
STPI-JittaScore,20121201,2.50,2.50,2.50,2.50,null
STPI-JittaScore,20130101,3.30,3.30,3.30,3.30,null
STPI-JittaScore,20130201,3.30,3.30,3.30,3.30,null
STPI-JittaScore,20130301,3.30,3.30,3.30,3.30,null
STPI-JittaScore,20130401,3.55,3.55,3.55,3.55,null
STPI-JittaScore,20130501,3.55,3.55,3.55,3.55,null
STPI-JittaScore,20130601,3.55,3.55,3.55,3.55,null
STPI-JittaScore,20130701,3.55,3.55,3.55,3.55,null
STPI-JittaScore,20130801,3.55,3.55,3.55,3.55,null
STPI-JittaScore,20130901,3.55,3.55,3.55,3.55,null
STPI-JittaScore,20131001,3.40,3.40,3.40,3.40,null
STPI-JittaScore,20131101,3.40,3.40,3.40,3.40,null
STPI-JittaScore,20131201,3.40,3.40,3.40,3.40,null
STPI-JittaScore,20140101,3.45,3.45,3.45,3.45,null
STPI-JittaScore,20140201,3.45,3.45,3.45,3.45,null
STPI-JittaScore,20140301,3.45,3.45,3.45,3.45,null
STPI-JittaScore,20140401,3.65,3.65,3.65,3.65,null
STPI-JittaScore,20140501,3.65,3.65,3.65,3.65,null
STPI-JittaScore,20140601,3.65,3.65,3.65,3.65,null
STPI-JittaScore,20140701,3.65,3.65,3.65,3.65,null
STPI-JittaScore,20140801,3.65,3.65,3.65,3.65,null
STPI-JittaScore,20140901,3.65,3.65,3.65,3.65,null
STPI-JittaScore,20141001,5.10,5.10,5.10,5.10,null
STPI-JittaScore,20141101,5.10,5.10,5.10,5.10,null
STPI-JittaScore,20141201,5.10,5.10,5.10,5.10,null
STPI-JittaScore,20150101,5.15,5.15,5.15,5.15,null
STPI-JittaScore,20150201,5.15,5.15,5.15,5.15,null
STPI-JittaScore,20150301,5.15,5.15,5.15,5.15,null
STPI-JittaScore,20150401,4.97,4.97,4.97,4.97,null
STPI-JittaScore,20150501,4.97,4.97,4.97,4.97,null
STPI-JittaScore,20150601,4.97,4.97,4.97,4.97,null
STPI-JittaScore,20150701,5.38,5.38,5.38,5.38,null
STPI-JittaScore,20150801,5.38,5.38,5.38,5.38,null
STPI-JittaScore,20150901,5.38,5.38,5.38,5.38,null
STPI-JittaScore,20151001,6.05,6.05,6.05,6.05,null
STPI-JittaScore,20151101,6.05,6.05,6.05,6.05,null
STPI-JittaScore,20151201,6.05,6.05,6.05,6.05,null
STPI-JittaScore,20160101,5.80,5.80,5.80,5.80,null
STPI-JittaScore,20160201,5.80,5.80,5.80,5.80,null
STPI-JittaScore,20160301,5.80,5.80,5.80,5.80,null
STPI-JittaScore,20160401,5.58,5.58,5.58,5.58,null
STPI-JittaScore,20160501,5.58,5.58,5.58,5.58,null
STPI-JittaScore,20160601,5.58,5.58,5.58,5.58,null
