<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SUC-JittaScore,20061201,2.70,2.70,2.70,2.70,null
SUC-JittaScore,20070101,5.40,5.40,5.40,5.40,null
SUC-JittaScore,20070201,5.40,5.40,5.40,5.40,null
SUC-JittaScore,20070301,5.40,5.40,5.40,5.40,null
SUC-JittaScore,20070401,5.10,5.10,5.10,5.10,null
SUC-JittaScore,20070501,5.10,5.10,5.10,5.10,null
SUC-JittaScore,20070601,5.10,5.10,5.10,5.10,null
SUC-JittaScore,20070701,5.53,5.53,5.53,5.53,null
SUC-JittaScore,20070801,5.53,5.53,5.53,5.53,null
SUC-JittaScore,20070901,5.53,5.53,5.53,5.53,null
SUC-JittaScore,20071001,6.05,6.05,6.05,6.05,null
SUC-JittaScore,20071101,6.05,6.05,6.05,6.05,null
SUC-JittaScore,20071201,6.05,6.05,6.05,6.05,null
SUC-JittaScore,20080101,3.15,3.15,3.15,3.15,null
SUC-JittaScore,20080201,3.15,3.15,3.15,3.15,null
SUC-JittaScore,20080301,3.15,3.15,3.15,3.15,null
SUC-JittaScore,20080401,3.27,3.27,3.27,3.27,null
SUC-JittaScore,20080501,3.27,3.27,3.27,3.27,null
SUC-JittaScore,20080601,3.27,3.27,3.27,3.27,null
SUC-JittaScore,20080701,3.02,3.02,3.02,3.02,null
SUC-JittaScore,20080801,3.02,3.02,3.02,3.02,null
SUC-JittaScore,20080901,3.02,3.02,3.02,3.02,null
SUC-JittaScore,20081001,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20081101,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20081201,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20090101,1.55,1.55,1.55,1.55,null
SUC-JittaScore,20090201,1.55,1.55,1.55,1.55,null
SUC-JittaScore,20090301,1.55,1.55,1.55,1.55,null
SUC-JittaScore,20090401,1.00,1.00,1.00,1.00,null
SUC-JittaScore,20090501,1.00,1.00,1.00,1.00,null
SUC-JittaScore,20090601,1.00,1.00,1.00,1.00,null
SUC-JittaScore,20090701,1.00,1.00,1.00,1.00,null
SUC-JittaScore,20090801,1.00,1.00,1.00,1.00,null
SUC-JittaScore,20090901,1.00,1.00,1.00,1.00,null
SUC-JittaScore,20091001,2.70,2.70,2.70,2.70,null
SUC-JittaScore,20091101,2.70,2.70,2.70,2.70,null
SUC-JittaScore,20091201,2.70,2.70,2.70,2.70,null
SUC-JittaScore,20100101,3.35,3.35,3.35,3.35,null
SUC-JittaScore,20100201,3.35,3.35,3.35,3.35,null
SUC-JittaScore,20100301,3.35,3.35,3.35,3.35,null
SUC-JittaScore,20100401,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20100501,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20100601,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20100701,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20100801,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20100901,3.55,3.55,3.55,3.55,null
SUC-JittaScore,20101001,5.15,5.15,5.15,5.15,null
SUC-JittaScore,20101101,5.15,5.15,5.15,5.15,null
SUC-JittaScore,20101201,5.15,5.15,5.15,5.15,null
SUC-JittaScore,20110101,5.45,5.45,5.45,5.45,null
SUC-JittaScore,20110201,5.45,5.45,5.45,5.45,null
SUC-JittaScore,20110301,5.45,5.45,5.45,5.45,null
SUC-JittaScore,20110401,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20110501,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20110601,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20110701,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20110801,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20110901,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20111001,2.60,2.60,2.60,2.60,null
SUC-JittaScore,20111101,2.60,2.60,2.60,2.60,null
SUC-JittaScore,20111201,2.60,2.60,2.60,2.60,null
SUC-JittaScore,20120101,3.05,3.05,3.05,3.05,null
SUC-JittaScore,20120201,3.05,3.05,3.05,3.05,null
SUC-JittaScore,20120301,3.05,3.05,3.05,3.05,null
SUC-JittaScore,20120401,3.17,3.17,3.17,3.17,null
SUC-JittaScore,20120501,3.17,3.17,3.17,3.17,null
SUC-JittaScore,20120601,3.17,3.17,3.17,3.17,null
SUC-JittaScore,20120701,2.75,2.75,2.75,2.75,null
SUC-JittaScore,20120801,2.75,2.75,2.75,2.75,null
SUC-JittaScore,20120901,2.75,2.75,2.75,2.75,null
SUC-JittaScore,20121001,4.40,4.40,4.40,4.40,null
SUC-JittaScore,20121101,4.40,4.40,4.40,4.40,null
SUC-JittaScore,20121201,4.40,4.40,4.40,4.40,null
SUC-JittaScore,20130101,5.30,5.30,5.30,5.30,null
SUC-JittaScore,20130201,5.30,5.30,5.30,5.30,null
SUC-JittaScore,20130301,5.30,5.30,5.30,5.30,null
SUC-JittaScore,20130401,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20130501,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20130601,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20130701,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20130801,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20130901,4.75,4.75,4.75,4.75,null
SUC-JittaScore,20131001,3.15,3.15,3.15,3.15,null
