<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SUSCO,20061201,0.42,0.42,0.42,0.42,null
SUSCO,20070101,0.39,0.39,0.39,0.39,null
SUSCO,20070201,0.39,0.39,0.39,0.39,null
SUSCO,20070301,0.38,0.38,0.38,0.38,null
SUSCO,20070401,0.37,0.37,0.37,0.37,null
SUSCO,20070501,0.38,0.38,0.38,0.38,null
SUSCO,20070601,0.40,0.40,0.40,0.40,null
SUSCO,20070701,0.47,0.47,0.47,0.47,null
SUSCO,20070801,0.44,0.44,0.44,0.44,null
SUSCO,20070901,0.45,0.45,0.45,0.45,null
SUSCO,20071001,0.45,0.45,0.45,0.45,null
SUSCO,20071101,0.43,0.43,0.43,0.43,null
SUSCO,20071201,0.40,0.40,0.40,0.40,null
SUSCO,20080101,0.36,0.36,0.36,0.36,null
SUSCO,20080201,0.36,0.36,0.36,0.36,null
SUSCO,20080301,0.36,0.36,0.36,0.36,null
SUSCO,20080401,0.46,0.46,0.46,0.46,null
SUSCO,20080501,0.40,0.40,0.40,0.40,null
SUSCO,20080601,0.37,0.37,0.37,0.37,null
SUSCO,20080701,0.36,0.36,0.36,0.36,null
SUSCO,20080801,0.37,0.37,0.37,0.37,null
SUSCO,20080901,0.42,0.42,0.42,0.42,null
SUSCO,20081001,0.26,0.26,0.26,0.26,null
SUSCO,20081101,0.24,0.24,0.24,0.24,null
SUSCO,20081201,0.26,0.26,0.26,0.26,null
SUSCO,20090101,0.31,0.31,0.31,0.31,null
SUSCO,20090201,0.27,0.27,0.27,0.27,null
SUSCO,20090301,0.30,0.30,0.30,0.30,null
SUSCO,20090401,0.34,0.34,0.34,0.34,null
SUSCO,20090501,0.43,0.43,0.43,0.43,null
SUSCO,20090601,0.40,0.40,0.40,0.40,null
SUSCO,20090701,0.41,0.41,0.41,0.41,null
SUSCO,20090801,0.43,0.43,0.43,0.43,null
SUSCO,20090901,0.46,0.46,0.46,0.46,null
SUSCO,20091001,0.45,0.45,0.45,0.45,null
SUSCO,20091101,0.45,0.45,0.45,0.45,null
SUSCO,20091201,0.46,0.46,0.46,0.46,null
SUSCO,20100101,0.45,0.45,0.45,0.45,null
SUSCO,20100201,0.52,0.52,0.52,0.52,null
SUSCO,20100301,0.46,0.46,0.46,0.46,null
SUSCO,20100401,0.47,0.47,0.47,0.47,null
SUSCO,20100501,0.46,0.46,0.46,0.46,null
SUSCO,20100601,0.51,0.51,0.51,0.51,null
SUSCO,20100701,0.56,0.56,0.56,0.56,null
SUSCO,20100801,0.77,0.77,0.77,0.77,null
SUSCO,20100901,0.72,0.72,0.72,0.72,null
SUSCO,20101001,0.78,0.78,0.78,0.78,null
SUSCO,20101101,0.73,0.73,0.73,0.73,null
SUSCO,20101201,0.76,0.76,0.76,0.76,null
SUSCO,20110101,0.84,0.84,0.84,0.84,null
SUSCO,20110201,0.83,0.83,0.83,0.83,null
SUSCO,20110301,0.83,0.83,0.83,0.83,null
SUSCO,20110401,1.53,1.53,1.53,1.53,null
SUSCO,20110501,1.38,1.38,1.38,1.38,null
SUSCO,20110601,1.22,1.22,1.22,1.22,null
SUSCO,20110701,1.30,1.30,1.30,1.30,null
SUSCO,20110801,1.16,1.16,1.16,1.16,null
SUSCO,20110901,0.84,0.84,0.84,0.84,null
SUSCO,20111001,0.88,0.88,0.88,0.88,null
SUSCO,20111101,1.23,1.23,1.23,1.23,null
SUSCO,20111201,1.17,1.17,1.17,1.17,null
SUSCO,20120101,1.23,1.23,1.23,1.23,null
SUSCO,20120201,1.32,1.32,1.32,1.32,null
SUSCO,20120301,1.21,1.21,1.21,1.21,null
SUSCO,20120401,1.30,1.30,1.30,1.30,null
SUSCO,20120501,1.54,1.54,1.54,1.54,null
SUSCO,20120601,1.75,1.75,1.75,1.75,null
SUSCO,20120701,1.60,1.60,1.60,1.60,null
SUSCO,20120801,1.66,1.66,1.66,1.66,null
SUSCO,20120901,2.30,2.30,2.30,2.30,null
SUSCO,20121001,3.58,3.58,3.58,3.58,null
SUSCO,20121101,3.54,3.54,3.54,3.54,null
SUSCO,20121201,3.30,3.30,3.30,3.30,null
SUSCO,20130101,3.46,3.46,3.46,3.46,null
SUSCO,20130201,3.88,3.88,3.88,3.88,null
SUSCO,20130301,6.45,6.45,6.45,6.45,null
SUSCO,20130401,6.10,6.10,6.10,6.10,null
SUSCO,20130501,5.15,5.15,5.15,5.15,null
SUSCO,20130601,4.38,4.38,4.38,4.38,null
SUSCO,20130701,3.96,3.96,3.96,3.96,null
SUSCO,20130801,2.92,2.92,2.92,2.92,null
SUSCO,20130901,3.30,3.30,3.30,3.30,null
SUSCO,20131001,3.74,3.74,3.74,3.74,null
SUSCO,20131101,3.36,3.36,3.36,3.36,null
SUSCO,20131201,3.10,3.10,3.10,3.10,null
SUSCO,20140101,3.04,3.04,3.04,3.04,null
SUSCO,20140201,3.08,3.08,3.08,3.08,null
SUSCO,20140301,3.06,3.06,3.06,3.06,null
SUSCO,20140401,3.08,3.08,3.08,3.08,null
SUSCO,20140501,3.06,3.06,3.06,3.06,null
SUSCO,20140601,3.12,3.12,3.12,3.12,null
SUSCO,20140701,2.96,2.96,2.96,2.96,null
SUSCO,20140801,3.06,3.06,3.06,3.06,null
SUSCO,20140901,4.56,4.56,4.56,4.56,null
SUSCO,20141001,4.24,4.24,4.24,4.24,null
SUSCO,20141101,4.36,4.36,4.36,4.36,null
SUSCO,20141201,3.78,3.78,3.78,3.78,null
SUSCO,20150101,3.72,3.72,3.72,3.72,null
SUSCO,20150201,4.00,4.00,4.00,4.00,null
SUSCO,20150301,3.36,3.36,3.36,3.36,null
SUSCO,20150401,3.54,3.54,3.54,3.54,null
SUSCO,20150501,3.36,3.36,3.36,3.36,null
SUSCO,20150601,3.40,3.40,3.40,3.40,null
SUSCO,20150701,3.14,3.14,3.14,3.14,null
SUSCO,20150801,2.94,2.94,2.94,2.94,null
SUSCO,20150901,3.08,3.08,3.08,3.08,null
SUSCO,20151001,3.04,3.04,3.04,3.04,null
SUSCO,20151101,2.86,2.86,2.86,2.86,null
SUSCO,20151201,2.78,2.78,2.78,2.78,null
SUSCO,20160101,2.86,2.86,2.86,2.86,null
SUSCO,20160201,2.62,2.62,2.62,2.62,null
SUSCO,20160301,2.58,2.58,2.58,2.58,null
SUSCO,20160401,2.58,2.58,2.58,2.58,null
SUSCO,20160501,2.74,2.74,2.74,2.74,null
