<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TAE,20140601,4.30,4.30,4.30,4.30,118789161.111111
TAE,20140701,4.24,4.24,4.24,4.24,22162766.6666667
TAE,20140801,5.05,5.05,5.05,5.05,45593878.9473684
TAE,20140901,4.84,4.84,4.84,4.84,15816527.2727273
TAE,20141001,4.60,4.60,4.60,4.60,4054890.90909091
TAE,20141101,4.38,4.38,4.38,4.38,8091160
TAE,20141201,3.74,3.74,3.74,3.74,2405405
TAE,20150101,3.84,3.84,3.84,3.84,2382870
TAE,20150201,4.18,4.18,4.18,4.18,12027555
TAE,20150301,3.40,3.40,3.40,3.40,2191666.66666667
TAE,20150401,3.64,3.64,3.64,3.64,2788794.44444444
TAE,20150501,3.52,3.52,3.52,3.52,989461.11111111
TAE,20150601,3.54,3.54,3.54,3.54,3348076.19047619
TAE,20150701,3.40,3.40,3.40,3.40,4350528.57142857
TAE,20150801,3.14,3.14,3.14,3.14,1502375
TAE,20150901,3.08,3.08,3.08,3.08,743181.81818182
TAE,20151001,3.20,3.20,3.20,3.20,1361490.47619048
TAE,20151101,3.18,3.18,3.18,3.18,1419095.23809524
TAE,20151201,3.20,3.20,3.20,3.20,754080
TAE,20160101,3.24,3.24,3.24,3.24,null
TAE,20160201,3.18,3.18,3.18,3.18,null
TAE,20160301,3.08,3.08,3.08,3.08,null
TAE,20160401,3.14,3.14,3.14,3.14,null
TAE,20160501,3.10,3.10,3.10,3.10,null
