<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCCC-JittaScore,20061201,4.55,4.55,4.55,4.55,null
TCCC-JittaScore,20070101,3.50,3.50,3.50,3.50,null
TCCC-JittaScore,20070201,3.50,3.50,3.50,3.50,null
TCCC-JittaScore,20070301,3.50,3.50,3.50,3.50,null
TCCC-JittaScore,20070401,3.27,3.27,3.27,3.27,null
TCCC-JittaScore,20070501,3.27,3.27,3.27,3.27,null
TCCC-JittaScore,20070601,3.27,3.27,3.27,3.27,null
TCCC-JittaScore,20070701,2.85,2.85,2.85,2.85,null
TCCC-JittaScore,20070801,2.85,2.85,2.85,2.85,null
TCCC-JittaScore,20070901,2.85,2.85,2.85,2.85,null
TCCC-JittaScore,20071001,3.27,3.27,3.27,3.27,null
TCCC-JittaScore,20071101,3.27,3.27,3.27,3.27,null
TCCC-JittaScore,20071201,3.27,3.27,3.27,3.27,null
TCCC-JittaScore,20080101,5.03,5.03,5.03,5.03,null
TCCC-JittaScore,20080201,5.03,5.03,5.03,5.03,null
TCCC-JittaScore,20080301,5.03,5.03,5.03,5.03,null
TCCC-JittaScore,20080401,4.47,4.47,4.47,4.47,null
TCCC-JittaScore,20080501,4.47,4.47,4.47,4.47,null
TCCC-JittaScore,20080601,4.47,4.47,4.47,4.47,null
TCCC-JittaScore,20080701,4.78,4.78,4.78,4.78,null
TCCC-JittaScore,20080801,4.78,4.78,4.78,4.78,null
TCCC-JittaScore,20080901,4.78,4.78,4.78,4.78,null
TCCC-JittaScore,20081001,5.83,5.83,5.83,5.83,null
TCCC-JittaScore,20081101,5.83,5.83,5.83,5.83,null
TCCC-JittaScore,20081201,5.83,5.83,5.83,5.83,null
TCCC-JittaScore,20090101,3.83,3.83,3.83,3.83,null
TCCC-JittaScore,20090201,3.83,3.83,3.83,3.83,null
TCCC-JittaScore,20090301,3.83,3.83,3.83,3.83,null
TCCC-JittaScore,20090401,3.17,3.17,3.17,3.17,null
TCCC-JittaScore,20090501,3.17,3.17,3.17,3.17,null
TCCC-JittaScore,20090601,3.17,3.17,3.17,3.17,null
TCCC-JittaScore,20090701,3.48,3.48,3.48,3.48,null
TCCC-JittaScore,20090801,3.48,3.48,3.48,3.48,null
TCCC-JittaScore,20090901,3.48,3.48,3.48,3.48,null
