<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCJ-JittaLine,20061201,25.911,25.911,25.911,25.911,null
TCJ-JittaLine,20070101,25.1413,25.1413,25.1413,25.1413,null
TCJ-JittaLine,20070201,24.3716,24.3716,24.3716,24.3716,null
TCJ-JittaLine,20070301,23.6019,23.6019,23.6019,23.6019,null
TCJ-JittaLine,20070401,22.8322,22.8322,22.8322,22.8322,null
TCJ-JittaLine,20070501,22.0625,22.0625,22.0625,22.0625,null
TCJ-JittaLine,20070601,21.2928,21.2928,21.2928,21.2928,null
TCJ-JittaLine,20070701,20.5231,20.5231,20.5231,20.5231,null
TCJ-JittaLine,20070801,19.7534,19.7534,19.7534,19.7534,null
TCJ-JittaLine,20070901,18.9837,18.9837,18.9837,18.9837,null
TCJ-JittaLine,20071001,18.214,18.214,18.214,18.214,null
TCJ-JittaLine,20071101,17.4443,17.4443,17.4443,17.4443,null
TCJ-JittaLine,20071201,16.6746,16.6746,16.6746,16.6746,null
TCJ-JittaLine,20080101,15.2217,15.2217,15.2217,15.2217,null
TCJ-JittaLine,20080201,13.7688,13.7688,13.7688,13.7688,null
TCJ-JittaLine,20080301,12.3159,12.3159,12.3159,12.3159,null
TCJ-JittaLine,20080401,10.8631,10.8631,10.8631,10.8631,null
TCJ-JittaLine,20080501,9.4102,9.4102,9.4102,9.4102,null
TCJ-JittaLine,20080601,7.9573,7.9573,7.9573,7.9573,null
TCJ-JittaLine,20080701,6.5044,6.5044,6.5044,6.5044,null
TCJ-JittaLine,20080801,5.0516,5.0516,5.0516,5.0516,null
TCJ-JittaLine,20080901,3.5987,3.5987,3.5987,3.5987,null
TCJ-JittaLine,20081001,2.1458,2.1458,2.1458,2.1458,null
TCJ-JittaLine,20081101,0.6929,0.6929,0.6929,0.6929,null
TCJ-JittaLine,20090201,0.3322,0.3322,0.3322,0.3322,null
TCJ-JittaLine,20090301,0.8782,0.8782,0.8782,0.8782,null
TCJ-JittaLine,20090401,1.4243,1.4243,1.4243,1.4243,null
TCJ-JittaLine,20090501,1.9703,1.9703,1.9703,1.9703,null
TCJ-JittaLine,20090601,2.5164,2.5164,2.5164,2.5164,null
TCJ-JittaLine,20090701,3.0624,3.0624,3.0624,3.0624,null
TCJ-JittaLine,20090801,3.6085,3.6085,3.6085,3.6085,null
TCJ-JittaLine,20090901,4.1545,4.1545,4.1545,4.1545,null
TCJ-JittaLine,20091001,4.7006,4.7006,4.7006,4.7006,null
TCJ-JittaLine,20091101,5.2466,5.2466,5.2466,5.2466,null
TCJ-JittaLine,20091201,5.7927,5.7927,5.7927,5.7927,null
TCJ-JittaLine,20100101,6.05,6.05,6.05,6.05,null
TCJ-JittaLine,20100201,6.3074,6.3074,6.3074,6.3074,null
TCJ-JittaLine,20100301,6.5647,6.5647,6.5647,6.5647,null
TCJ-JittaLine,20100401,6.8221,6.8221,6.8221,6.8221,null
TCJ-JittaLine,20100501,7.0794,7.0794,7.0794,7.0794,null
TCJ-JittaLine,20100601,7.3368,7.3368,7.3368,7.3368,null
TCJ-JittaLine,20100701,7.5941,7.5941,7.5941,7.5941,null
TCJ-JittaLine,20100801,7.8515,7.8515,7.8515,7.8515,null
TCJ-JittaLine,20100901,8.1089,8.1089,8.1089,8.1089,null
TCJ-JittaLine,20101001,8.3662,8.3662,8.3662,8.3662,null
TCJ-JittaLine,20101101,8.6236,8.6236,8.6236,8.6236,null
TCJ-JittaLine,20101201,8.8809,8.8809,8.8809,8.8809,null
TCJ-JittaLine,20110101,8.3572,8.3572,8.3572,8.3572,null
