<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCMC,20061201,1.67,1.67,1.67,1.67,null
TCMC,20070101,1.70,1.70,1.70,1.70,null
TCMC,20070201,1.72,1.72,1.72,1.72,null
TCMC,20070301,1.71,1.71,1.71,1.71,null
TCMC,20070401,1.64,1.64,1.64,1.64,null
TCMC,20070501,1.61,1.61,1.61,1.61,null
TCMC,20070601,1.54,1.54,1.54,1.54,null
TCMC,20070701,1.24,1.24,1.24,1.24,null
TCMC,20070801,1.27,1.27,1.27,1.27,null
TCMC,20070901,1.24,1.24,1.24,1.24,null
TCMC,20071001,1.16,1.16,1.16,1.16,null
TCMC,20071101,1.16,1.16,1.16,1.16,null
TCMC,20071201,1.30,1.30,1.30,1.30,null
TCMC,20080101,1.11,1.11,1.11,1.11,null
TCMC,20080201,1.11,1.11,1.11,1.11,null
TCMC,20080301,1.12,1.12,1.12,1.12,null
TCMC,20080401,1.13,1.13,1.13,1.13,null
TCMC,20080501,1.16,1.16,1.16,1.16,null
TCMC,20080601,1.20,1.20,1.20,1.20,null
TCMC,20080701,1.02,1.02,1.02,1.02,null
TCMC,20080801,1.02,1.02,1.02,1.02,null
TCMC,20080901,1.06,1.06,1.06,1.06,null
TCMC,20081001,0.74,0.74,0.74,0.74,null
TCMC,20081101,0.70,0.70,0.70,0.70,null
TCMC,20081201,1.14,1.14,1.14,1.14,null
TCMC,20090101,1.02,1.02,1.02,1.02,null
TCMC,20090201,1.00,1.00,1.00,1.00,null
TCMC,20090301,0.86,0.86,0.86,0.86,null
TCMC,20090401,0.76,0.76,0.76,0.76,null
TCMC,20090501,0.748,0.748,0.748,0.748,null
TCMC,20090601,0.744,0.744,0.744,0.744,null
TCMC,20090701,0.744,0.744,0.744,0.744,null
TCMC,20090801,0.744,0.744,0.744,0.744,null
TCMC,20090901,0.72,0.72,0.72,0.72,null
TCMC,20091001,0.732,0.732,0.732,0.732,null
TCMC,20091101,0.728,0.728,0.728,0.728,null
TCMC,20091201,0.736,0.736,0.736,0.736,null
TCMC,20100101,0.748,0.748,0.748,0.748,null
TCMC,20100201,0.796,0.796,0.796,0.796,null
TCMC,20100301,0.764,0.764,0.764,0.764,null
TCMC,20100401,0.78,0.78,0.78,0.78,null
TCMC,20100501,0.80,0.80,0.80,0.80,null
TCMC,20100601,0.80,0.80,0.80,0.80,null
TCMC,20100701,1.23,1.23,1.23,1.23,null
TCMC,20100801,1.35,1.35,1.35,1.35,null
TCMC,20100901,1.19,1.19,1.19,1.19,null
TCMC,20101001,1.14,1.14,1.14,1.14,null
TCMC,20101101,1.03,1.03,1.03,1.03,null
TCMC,20101201,1.25,1.25,1.25,1.25,null
TCMC,20110101,1.08,1.08,1.08,1.08,null
TCMC,20110201,1.08,1.08,1.08,1.08,null
TCMC,20110301,1.09,1.09,1.09,1.09,null
TCMC,20110401,1.10,1.10,1.10,1.10,null
TCMC,20110501,1.12,1.12,1.12,1.12,null
TCMC,20110601,1.04,1.04,1.04,1.04,null
TCMC,20110701,1.06,1.06,1.06,1.06,null
TCMC,20110801,0.948,0.948,0.948,0.948,null
TCMC,20110901,0.952,0.952,0.952,0.952,null
TCMC,20111001,0.824,0.824,0.824,0.824,null
TCMC,20111101,0.96,0.96,0.96,0.96,null
TCMC,20111201,1.01,1.01,1.01,1.01,null
TCMC,20120101,0.98,0.98,0.98,0.98,null
TCMC,20120201,0.916,0.916,0.916,0.916,null
TCMC,20120301,0.912,0.912,0.912,0.912,null
TCMC,20120401,0.884,0.884,0.884,0.884,null
TCMC,20120501,0.956,0.956,0.956,0.956,null
TCMC,20120601,0.868,0.868,0.868,0.868,null
TCMC,20120701,1.13,1.13,1.13,1.13,null
TCMC,20120801,1.29,1.29,1.29,1.29,null
TCMC,20120901,1.34,1.34,1.34,1.34,null
TCMC,20121001,1.43,1.43,1.43,1.43,null
TCMC,20121101,2.06,2.06,2.06,2.06,null
TCMC,20121201,1.89,1.89,1.89,1.89,null
TCMC,20130101,1.99,1.99,1.99,1.99,null
TCMC,20130201,3.56,3.56,3.56,3.56,null
TCMC,20130301,3.46,3.46,3.46,3.46,null
TCMC,20130401,4.50,4.50,4.50,4.50,null
TCMC,20130501,5.65,5.65,5.65,5.65,null
TCMC,20130601,6.00,6.00,6.00,6.00,null
TCMC,20130701,5.05,5.05,5.05,5.05,null
TCMC,20130801,3.94,3.94,3.94,3.94,null
TCMC,20130901,4.06,4.06,4.06,4.06,null
TCMC,20131001,3.60,3.60,3.60,3.60,null
TCMC,20131101,3.06,3.06,3.06,3.06,null
TCMC,20131201,2.94,2.94,2.94,2.94,null
TCMC,20140101,2.50,2.50,2.50,2.50,null
TCMC,20140201,2.26,2.26,2.26,2.26,null
TCMC,20140301,2.52,2.52,2.52,2.52,null
TCMC,20140401,2.58,2.58,2.58,2.58,null
TCMC,20140501,2.50,2.50,2.50,2.50,null
TCMC,20140601,2.48,2.48,2.48,2.48,null
TCMC,20140701,2.28,2.28,2.28,2.28,null
TCMC,20140801,2.50,2.50,2.50,2.50,null
TCMC,20140901,2.58,2.58,2.58,2.58,null
TCMC,20141001,2.74,2.74,2.74,2.74,null
TCMC,20141101,2.82,2.82,2.82,2.82,null
TCMC,20141201,3.06,3.06,3.06,3.06,null
TCMC,20150101,3.74,3.74,3.74,3.74,null
TCMC,20150201,3.22,3.22,3.22,3.22,null
TCMC,20150301,2.92,2.92,2.92,2.92,null
TCMC,20150401,3.14,3.14,3.14,3.14,null
TCMC,20150501,3.34,3.34,3.34,3.34,null
TCMC,20150601,4.26,4.26,4.26,4.26,null
TCMC,20150701,3.70,3.70,3.70,3.70,null
TCMC,20150801,3.52,3.52,3.52,3.52,null
TCMC,20150901,3.50,3.50,3.50,3.50,null
TCMC,20151001,3.60,3.60,3.60,3.60,null
TCMC,20151101,3.66,3.66,3.66,3.66,null
TCMC,20151201,3.42,3.42,3.42,3.42,null
TCMC,20160101,3.24,3.24,3.24,3.24,null
TCMC,20160201,3.52,3.52,3.52,3.52,null
TCMC,20160301,3.58,3.58,3.58,3.58,null
TCMC,20160401,3.78,3.78,3.78,3.78,null
TCMC,20160501,3.96,3.96,3.96,3.96,null
