<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCOAT,20061201,17.50,17.50,17.50,17.50,null
TCOAT,20070101,16.80,16.80,16.80,16.80,null
TCOAT,20070201,13.10,13.10,13.10,13.10,null
TCOAT,20070401,14.70,14.70,14.70,14.70,null
TCOAT,20070501,13.90,13.90,13.90,13.90,null
TCOAT,20070601,13.50,13.50,13.50,13.50,null
TCOAT,20070701,12.60,12.60,12.60,12.60,null
TCOAT,20070801,13.50,13.50,13.50,13.50,null
TCOAT,20070901,14.00,14.00,14.00,14.00,null
TCOAT,20071001,13.90,13.90,13.90,13.90,null
TCOAT,20071101,13.90,13.90,13.90,13.90,null
TCOAT,20080101,14.00,14.00,14.00,14.00,null
TCOAT,20080201,15.00,15.00,15.00,15.00,null
TCOAT,20080301,17.00,17.00,17.00,17.00,null
TCOAT,20080401,15.00,15.00,15.00,15.00,null
TCOAT,20080501,16.70,16.70,16.70,16.70,null
TCOAT,20080601,15.00,15.00,15.00,15.00,null
TCOAT,20080701,11.60,11.60,11.60,11.60,null
TCOAT,20080801,15.00,15.00,15.00,15.00,null
TCOAT,20081001,16.80,16.80,16.80,16.80,null
TCOAT,20081101,16.90,16.90,16.90,16.90,null
TCOAT,20081201,17.40,17.40,17.40,17.40,null
TCOAT,20090101,14.00,14.00,14.00,14.00,null
TCOAT,20090201,13.80,13.80,13.80,13.80,null
TCOAT,20090301,13.00,13.00,13.00,13.00,null
TCOAT,20090401,12.00,12.00,12.00,12.00,null
TCOAT,20090501,11.70,11.70,11.70,11.70,null
TCOAT,20090601,10.80,10.80,10.80,10.80,null
TCOAT,20090701,11.40,11.40,11.40,11.40,null
TCOAT,20090801,12.90,12.90,12.90,12.90,null
TCOAT,20090901,13.00,13.00,13.00,13.00,null
TCOAT,20091001,12.00,12.00,12.00,12.00,null
TCOAT,20091101,13.30,13.30,13.30,13.30,null
TCOAT,20091201,15.30,15.30,15.30,15.30,null
TCOAT,20100101,14.90,14.90,14.90,14.90,null
TCOAT,20100201,17.90,17.90,17.90,17.90,null
TCOAT,20100301,16.80,16.80,16.80,16.80,null
TCOAT,20100401,14.80,14.80,14.80,14.80,null
TCOAT,20100501,16.50,16.50,16.50,16.50,null
TCOAT,20100601,17.30,17.30,17.30,17.30,null
TCOAT,20100701,19.50,19.50,19.50,19.50,null
TCOAT,20100801,18.50,18.50,18.50,18.50,null
TCOAT,20100901,19.00,19.00,19.00,19.00,null
TCOAT,20101001,20.00,20.00,20.00,20.00,null
TCOAT,20101101,19.90,19.90,19.90,19.90,null
TCOAT,20101201,19.50,19.50,19.50,19.50,null
TCOAT,20110101,20.40,20.40,20.40,20.40,null
TCOAT,20110201,19.00,19.00,19.00,19.00,null
TCOAT,20110301,18.50,18.50,18.50,18.50,null
TCOAT,20110401,18.30,18.30,18.30,18.30,null
TCOAT,20110501,17.10,17.10,17.10,17.10,null
TCOAT,20110601,18.20,18.20,18.20,18.20,null
TCOAT,20110701,18.00,18.00,18.00,18.00,null
TCOAT,20110801,16.20,16.20,16.20,16.20,null
TCOAT,20110901,18.70,18.70,18.70,18.70,null
TCOAT,20111001,19.00,19.00,19.00,19.00,null
TCOAT,20111101,17.00,17.00,17.00,17.00,null
TCOAT,20111201,19.90,19.90,19.90,19.90,null
TCOAT,20120101,18.70,18.70,18.70,18.70,null
TCOAT,20120201,16.10,16.10,16.10,16.10,null
TCOAT,20120301,15.80,15.80,15.80,15.80,null
TCOAT,20120401,14.90,14.90,14.90,14.90,null
TCOAT,20120501,16.40,16.40,16.40,16.40,null
TCOAT,20120601,16.10,16.10,16.10,16.10,null
TCOAT,20120701,16.80,16.80,16.80,16.80,null
TCOAT,20120801,17.70,17.70,17.70,17.70,null
TCOAT,20120901,17.40,17.40,17.40,17.40,null
TCOAT,20121001,17.10,17.10,17.10,17.10,null
TCOAT,20121101,17.30,17.30,17.30,17.30,null
TCOAT,20121201,17.50,17.50,17.50,17.50,null
TCOAT,20130101,18.20,18.20,18.20,18.20,null
TCOAT,20130201,20.70,20.70,20.70,20.70,null
TCOAT,20130301,21.40,21.40,21.40,21.40,null
TCOAT,20130401,20.70,20.70,20.70,20.70,null
TCOAT,20130501,19.90,19.90,19.90,19.90,null
TCOAT,20130601,18.10,18.10,18.10,18.10,null
TCOAT,20130701,17.50,17.50,17.50,17.50,null
TCOAT,20130801,17.70,17.70,17.70,17.70,null
TCOAT,20130901,18.40,18.40,18.40,18.40,null
TCOAT,20131001,19.40,19.40,19.40,19.40,null
TCOAT,20131101,19.50,19.50,19.50,19.50,null
TCOAT,20131201,20.00,20.00,20.00,20.00,null
TCOAT,20140101,19.60,19.60,19.60,19.60,null
TCOAT,20140201,19.70,19.70,19.70,19.70,null
TCOAT,20140301,19.60,19.60,19.60,19.60,null
TCOAT,20140401,19.40,19.40,19.40,19.40,null
TCOAT,20140501,20.30,20.30,20.30,20.30,null
TCOAT,20140601,22.00,22.00,22.00,22.00,null
TCOAT,20140701,20.50,20.50,20.50,20.50,null
TCOAT,20140801,21.30,21.30,21.30,21.30,null
