<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TGPRO-JittaLine,20061201,0.0545,0.0545,0.0545,0.0545,null
TGPRO-JittaLine,20070101,0.0595,0.0595,0.0595,0.0595,null
TGPRO-JittaLine,20070201,0.0645,0.0645,0.0645,0.0645,null
TGPRO-JittaLine,20070301,0.0695,0.0695,0.0695,0.0695,null
TGPRO-JittaLine,20070401,0.0746,0.0746,0.0746,0.0746,null
TGPRO-JittaLine,20070501,0.0796,0.0796,0.0796,0.0796,null
TGPRO-JittaLine,20070601,0.0846,0.0846,0.0846,0.0846,null
TGPRO-JittaLine,20070701,0.0896,0.0896,0.0896,0.0896,null
TGPRO-JittaLine,20070801,0.0946,0.0946,0.0946,0.0946,null
TGPRO-JittaLine,20070901,0.0996,0.0996,0.0996,0.0996,null
TGPRO-JittaLine,20071001,0.1046,0.1046,0.1046,0.1046,null
TGPRO-JittaLine,20071101,0.1096,0.1096,0.1096,0.1096,null
TGPRO-JittaLine,20071201,0.1146,0.1146,0.1146,0.1146,null
TGPRO-JittaLine,20120101,0.011,0.011,0.011,0.011,null
TGPRO-JittaLine,20120201,0.0434,0.0434,0.0434,0.0434,null
TGPRO-JittaLine,20120301,0.0758,0.0758,0.0758,0.0758,null
TGPRO-JittaLine,20120401,0.1082,0.1082,0.1082,0.1082,null
TGPRO-JittaLine,20120501,0.1406,0.1406,0.1406,0.1406,null
TGPRO-JittaLine,20120601,0.173,0.173,0.173,0.173,null
TGPRO-JittaLine,20120701,0.2054,0.2054,0.2054,0.2054,null
TGPRO-JittaLine,20120801,0.2378,0.2378,0.2378,0.2378,null
TGPRO-JittaLine,20120901,0.2702,0.2702,0.2702,0.2702,null
TGPRO-JittaLine,20121001,0.3026,0.3026,0.3026,0.3026,null
TGPRO-JittaLine,20121101,0.335,0.335,0.335,0.335,null
TGPRO-JittaLine,20121201,0.3674,0.3674,0.3674,0.3674,null
TGPRO-JittaLine,20130101,0.3516,0.3516,0.3516,0.3516,null
TGPRO-JittaLine,20130201,0.3357,0.3357,0.3357,0.3357,null
TGPRO-JittaLine,20130301,0.3199,0.3199,0.3199,0.3199,null
TGPRO-JittaLine,20130401,0.3041,0.3041,0.3041,0.3041,null
TGPRO-JittaLine,20130501,0.2883,0.2883,0.2883,0.2883,null
TGPRO-JittaLine,20130601,0.2724,0.2724,0.2724,0.2724,null
TGPRO-JittaLine,20130701,0.2566,0.2566,0.2566,0.2566,null
TGPRO-JittaLine,20130801,0.2408,0.2408,0.2408,0.2408,null
TGPRO-JittaLine,20130901,0.2249,0.2249,0.2249,0.2249,null
TGPRO-JittaLine,20131001,0.2091,0.2091,0.2091,0.2091,null
TGPRO-JittaLine,20131101,0.1933,0.1933,0.1933,0.1933,null
TGPRO-JittaLine,20131201,0.1775,0.1775,0.1775,0.1775,null
TGPRO-JittaLine,20140101,0.1701,0.1701,0.1701,0.1701,null
TGPRO-JittaLine,20140201,0.1627,0.1627,0.1627,0.1627,null
TGPRO-JittaLine,20140301,0.1553,0.1553,0.1553,0.1553,null
TGPRO-JittaLine,20140401,0.1479,0.1479,0.1479,0.1479,null
TGPRO-JittaLine,20140501,0.1405,0.1405,0.1405,0.1405,null
TGPRO-JittaLine,20140601,0.1331,0.1331,0.1331,0.1331,null
TGPRO-JittaLine,20140701,0.1257,0.1257,0.1257,0.1257,null
TGPRO-JittaLine,20140801,0.1183,0.1183,0.1183,0.1183,null
TGPRO-JittaLine,20140901,0.111,0.111,0.111,0.111,null
TGPRO-JittaLine,20141001,0.1036,0.1036,0.1036,0.1036,null
TGPRO-JittaLine,20141101,0.0962,0.0962,0.0962,0.0962,null
TGPRO-JittaLine,20141201,0.0888,0.0888,0.0888,0.0888,null
TGPRO-JittaLine,20150101,0.0791,0.0791,0.0791,0.0791,null
TGPRO-JittaLine,20150201,0.0694,0.0694,0.0694,0.0694,null
TGPRO-JittaLine,20150301,0.0597,0.0597,0.0597,0.0597,null
TGPRO-JittaLine,20150401,0.0499,0.0499,0.0499,0.0499,null
TGPRO-JittaLine,20150501,0.0402,0.0402,0.0402,0.0402,null
TGPRO-JittaLine,20150601,0.0305,0.0305,0.0305,0.0305,null
TGPRO-JittaLine,20150701,0.0208,0.0208,0.0208,0.0208,null
TGPRO-JittaLine,20150801,0.0111,0.0111,0.0111,0.0111,null
TGPRO-JittaLine,20150901,0.0014,0.0014,0.0014,0.0014,null
