<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THANA-JittaScore,20090701,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20090801,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20090901,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20091001,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20091101,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20091201,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100101,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100201,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100301,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100401,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100501,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100601,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100701,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100801,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20100901,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20101001,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20101101,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20101201,2.85,2.85,2.85,2.85,null
THANA-JittaScore,20110101,4.53,4.53,4.53,4.53,null
THANA-JittaScore,20110201,4.53,4.53,4.53,4.53,null
THANA-JittaScore,20110301,4.53,4.53,4.53,4.53,null
THANA-JittaScore,20110401,3.98,3.98,3.98,3.98,null
THANA-JittaScore,20110501,3.98,3.98,3.98,3.98,null
THANA-JittaScore,20110601,3.98,3.98,3.98,3.98,null
THANA-JittaScore,20110701,3.98,3.98,3.98,3.98,null
THANA-JittaScore,20110801,3.98,3.98,3.98,3.98,null
THANA-JittaScore,20110901,3.98,3.98,3.98,3.98,null
THANA-JittaScore,20111001,3.64,3.64,3.64,3.64,null
THANA-JittaScore,20111101,3.64,3.64,3.64,3.64,null
THANA-JittaScore,20111201,3.64,3.64,3.64,3.64,null
THANA-JittaScore,20120101,1.14,1.14,1.14,1.14,null
THANA-JittaScore,20120201,1.14,1.14,1.14,1.14,null
THANA-JittaScore,20120301,1.14,1.14,1.14,1.14,null
THANA-JittaScore,20120401,0.59,0.59,0.59,0.59,null
THANA-JittaScore,20120501,0.59,0.59,0.59,0.59,null
THANA-JittaScore,20120601,0.59,0.59,0.59,0.59,null
THANA-JittaScore,20120701,0.59,0.59,0.59,0.59,null
THANA-JittaScore,20120801,0.59,0.59,0.59,0.59,null
THANA-JittaScore,20120901,0.59,0.59,0.59,0.59,null
THANA-JittaScore,20121001,0.01,0.01,0.01,0.01,null
THANA-JittaScore,20121101,0.01,0.01,0.01,0.01,null
THANA-JittaScore,20121201,0.01,0.01,0.01,0.01,null
THANA-JittaScore,20130101,1.55,1.55,1.55,1.55,null
THANA-JittaScore,20130201,1.55,1.55,1.55,1.55,null
THANA-JittaScore,20130301,1.55,1.55,1.55,1.55,null
THANA-JittaScore,20130401,1.75,1.75,1.75,1.75,null
THANA-JittaScore,20130501,1.75,1.75,1.75,1.75,null
THANA-JittaScore,20130601,1.75,1.75,1.75,1.75,null
THANA-JittaScore,20130701,1.80,1.80,1.80,1.80,null
THANA-JittaScore,20130801,1.80,1.80,1.80,1.80,null
THANA-JittaScore,20130901,1.80,1.80,1.80,1.80,null
THANA-JittaScore,20131001,0.75,0.75,0.75,0.75,null
THANA-JittaScore,20131101,0.75,0.75,0.75,0.75,null
THANA-JittaScore,20131201,0.75,0.75,0.75,0.75,null
THANA-JittaScore,20140101,0.60,0.60,0.60,0.60,null
THANA-JittaScore,20140201,0.60,0.60,0.60,0.60,null
THANA-JittaScore,20140301,0.60,0.60,0.60,0.60,null
THANA-JittaScore,20140401,0.05,0.05,0.05,0.05,null
THANA-JittaScore,20140501,0.05,0.05,0.05,0.05,null
THANA-JittaScore,20140601,0.05,0.05,0.05,0.05,null
THANA-JittaScore,20140701,0.05,0.05,0.05,0.05,null
THANA-JittaScore,20140801,0.05,0.05,0.05,0.05,null
THANA-JittaScore,20140901,0.05,0.05,0.05,0.05,null
THANA-JittaScore,20141001,0.30,0.30,0.30,0.30,null
THANA-JittaScore,20141101,0.30,0.30,0.30,0.30,null
THANA-JittaScore,20141201,0.30,0.30,0.30,0.30,null
THANA-JittaScore,20150101,0.80,0.80,0.80,0.80,null
THANA-JittaScore,20150201,0.80,0.80,0.80,0.80,null
THANA-JittaScore,20150301,0.80,0.80,0.80,0.80,null
THANA-JittaScore,20150401,0.63,0.63,0.63,0.63,null
THANA-JittaScore,20150501,0.63,0.63,0.63,0.63,null
THANA-JittaScore,20150601,0.63,0.63,0.63,0.63,null
THANA-JittaScore,20150701,1.05,1.05,1.05,1.05,null
THANA-JittaScore,20150801,1.05,1.05,1.05,1.05,null
THANA-JittaScore,20150901,1.05,1.05,1.05,1.05,null
THANA-JittaScore,20151001,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20151101,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20151201,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20160101,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20160201,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20160301,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20160401,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20160501,2.80,2.80,2.80,2.80,null
THANA-JittaScore,20160601,2.80,2.80,2.80,2.80,null
