<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THCOM,20061201,6.80,6.80,6.80,6.80,815670.15789474
THCOM,20070101,6.75,6.75,6.75,6.75,2736009.52380952
THCOM,20070201,7.00,7.00,7.00,7.00,6923730
THCOM,20070301,6.75,6.75,6.75,6.75,3805142.85714286
THCOM,20070401,7.40,7.40,7.40,7.40,1944366.66666667
THCOM,20070501,8.85,8.85,8.85,8.85,14778475
THCOM,20070601,11.20,11.20,11.20,11.20,22965642.8571429
THCOM,20070701,11.80,11.80,11.80,11.80,17003752.3809524
THCOM,20070801,10.60,10.60,10.60,10.60,4772531.81818182
THCOM,20070901,10.00,10.00,10.00,10.00,2134075
THCOM,20071001,10.30,10.30,10.30,10.30,5057363.63636364
THCOM,20071101,10.10,10.10,10.10,10.10,2659100
THCOM,20071201,10.20,10.20,10.20,10.20,3552964.70588235
THCOM,20080101,8.75,8.75,8.75,8.75,1283154.54545455
THCOM,20080201,10.30,10.30,10.30,10.30,4814300
THCOM,20080301,10.30,10.30,10.30,10.30,3960295.23809524
THCOM,20080401,10.20,10.20,10.20,10.20,6255736.84210526
THCOM,20080501,9.30,9.30,9.30,9.30,1481200
THCOM,20080601,7.55,7.55,7.55,7.55,995633.33333333
THCOM,20080701,6.20,6.20,6.20,6.20,606309.52380952
THCOM,20080801,5.75,5.75,5.75,5.75,424350
THCOM,20080901,4.26,4.26,4.26,4.26,963718.18181818
THCOM,20081001,2.42,2.42,2.42,2.42,5540568.18181818
THCOM,20081101,2.38,2.38,2.38,2.38,1459250
THCOM,20081201,2.90,2.90,2.90,2.90,12418865
THCOM,20090101,3.80,3.80,3.80,3.80,18617845
THCOM,20090201,3.18,3.18,3.18,3.18,25569473.6842105
THCOM,20090301,3.12,3.12,3.12,3.12,11072459.0909091
THCOM,20090401,4.12,4.12,4.12,4.12,19049600
THCOM,20090501,4.22,4.22,4.22,4.22,26335505.5555556
THCOM,20090601,5.30,5.30,5.30,5.30,22862154.5454545
THCOM,20090701,6.20,6.20,6.20,6.20,26000890
THCOM,20090801,7.50,7.50,7.50,7.50,19492030
THCOM,20090901,7.55,7.55,7.55,7.55,15745468.1818182
THCOM,20091001,7.65,7.65,7.65,7.65,14990380.952381
THCOM,20091101,6.55,6.55,6.55,6.55,4937957.14285714
THCOM,20091201,7.20,7.20,7.20,7.20,3398050
THCOM,20100101,6.75,6.75,6.75,6.75,6204505
THCOM,20100201,6.05,6.05,6.05,6.05,4049365
THCOM,20100301,5.25,5.25,5.25,5.25,35300427.2727273
THCOM,20100401,4.96,4.96,4.96,4.96,7229661.11111111
THCOM,20100501,5.00,5.00,5.00,5.00,3033318.75
THCOM,20100601,5.65,5.65,5.65,5.65,23641577.2727273
THCOM,20100701,5.90,5.90,5.90,5.90,7023875
THCOM,20100801,8.05,8.05,8.05,8.05,42142315
THCOM,20100901,7.40,7.40,7.40,7.40,10276809.0909091
THCOM,20101001,7.05,7.05,7.05,7.05,4515515
