<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THIP-JittaScore,20061201,3.95,3.95,3.95,3.95,null
THIP-JittaScore,20070101,2.45,2.45,2.45,2.45,null
THIP-JittaScore,20070201,2.45,2.45,2.45,2.45,null
THIP-JittaScore,20070301,2.45,2.45,2.45,2.45,null
THIP-JittaScore,20070401,2.15,2.15,2.15,2.15,null
THIP-JittaScore,20070501,2.15,2.15,2.15,2.15,null
THIP-JittaScore,20070601,2.15,2.15,2.15,2.15,null
THIP-JittaScore,20070701,2.20,2.20,2.20,2.20,null
THIP-JittaScore,20070801,2.20,2.20,2.20,2.20,null
THIP-JittaScore,20070901,2.20,2.20,2.20,2.20,null
THIP-JittaScore,20071001,4.25,4.25,4.25,4.25,null
THIP-JittaScore,20071101,4.25,4.25,4.25,4.25,null
THIP-JittaScore,20071201,4.25,4.25,4.25,4.25,null
THIP-JittaScore,20080101,5.75,5.75,5.75,5.75,null
THIP-JittaScore,20080201,5.75,5.75,5.75,5.75,null
THIP-JittaScore,20080301,5.75,5.75,5.75,5.75,null
THIP-JittaScore,20080401,5.45,5.45,5.45,5.45,null
THIP-JittaScore,20080501,5.45,5.45,5.45,5.45,null
THIP-JittaScore,20080601,5.45,5.45,5.45,5.45,null
THIP-JittaScore,20080701,5.88,5.88,5.88,5.88,null
THIP-JittaScore,20080801,5.88,5.88,5.88,5.88,null
THIP-JittaScore,20080901,5.88,5.88,5.88,5.88,null
THIP-JittaScore,20081001,5.00,5.00,5.00,5.00,null
THIP-JittaScore,20081101,5.00,5.00,5.00,5.00,null
THIP-JittaScore,20081201,5.00,5.00,5.00,5.00,null
THIP-JittaScore,20090101,4.25,4.25,4.25,4.25,null
THIP-JittaScore,20090201,4.25,4.25,4.25,4.25,null
THIP-JittaScore,20090301,4.25,4.25,4.25,4.25,null
THIP-JittaScore,20090401,4.38,4.38,4.38,4.38,null
THIP-JittaScore,20090501,4.38,4.38,4.38,4.38,null
THIP-JittaScore,20090601,4.38,4.38,4.38,4.38,null
THIP-JittaScore,20090701,4.10,4.10,4.10,4.10,null
THIP-JittaScore,20090801,4.10,4.10,4.10,4.10,null
THIP-JittaScore,20090901,4.10,4.10,4.10,4.10,null
THIP-JittaScore,20091001,4.20,4.20,4.20,4.20,null
THIP-JittaScore,20091101,4.20,4.20,4.20,4.20,null
THIP-JittaScore,20091201,4.20,4.20,4.20,4.20,null
THIP-JittaScore,20100101,5.20,5.20,5.20,5.20,null
THIP-JittaScore,20100201,5.20,5.20,5.20,5.20,null
THIP-JittaScore,20100301,5.20,5.20,5.20,5.20,null
