<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THRE-JittaScore,20061201,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20070101,5.45,5.45,5.45,5.45,null
THRE-JittaScore,20070201,5.45,5.45,5.45,5.45,null
THRE-JittaScore,20070301,5.45,5.45,5.45,5.45,null
THRE-JittaScore,20070401,5.50,5.50,5.50,5.50,null
THRE-JittaScore,20070501,5.50,5.50,5.50,5.50,null
THRE-JittaScore,20070601,5.50,5.50,5.50,5.50,null
THRE-JittaScore,20070701,5.45,5.45,5.45,5.45,null
THRE-JittaScore,20070801,5.45,5.45,5.45,5.45,null
THRE-JittaScore,20070901,5.45,5.45,5.45,5.45,null
THRE-JittaScore,20071001,5.95,5.95,5.95,5.95,null
THRE-JittaScore,20071101,5.95,5.95,5.95,5.95,null
THRE-JittaScore,20071201,5.95,5.95,5.95,5.95,null
THRE-JittaScore,20080101,6.45,6.45,6.45,6.45,null
THRE-JittaScore,20080201,6.45,6.45,6.45,6.45,null
THRE-JittaScore,20080301,6.45,6.45,6.45,6.45,null
THRE-JittaScore,20080401,6.15,6.15,6.15,6.15,null
THRE-JittaScore,20080501,6.15,6.15,6.15,6.15,null
THRE-JittaScore,20080601,6.15,6.15,6.15,6.15,null
THRE-JittaScore,20080701,6.45,6.45,6.45,6.45,null
THRE-JittaScore,20080801,6.45,6.45,6.45,6.45,null
THRE-JittaScore,20080901,6.45,6.45,6.45,6.45,null
THRE-JittaScore,20081001,6.70,6.70,6.70,6.70,null
THRE-JittaScore,20081101,6.70,6.70,6.70,6.70,null
THRE-JittaScore,20081201,6.70,6.70,6.70,6.70,null
THRE-JittaScore,20090101,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20090201,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20090301,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20090401,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20090501,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20090601,4.70,4.70,4.70,4.70,null
THRE-JittaScore,20090701,4.40,4.40,4.40,4.40,null
THRE-JittaScore,20090801,4.40,4.40,4.40,4.40,null
THRE-JittaScore,20090901,4.40,4.40,4.40,4.40,null
THRE-JittaScore,20091001,5.10,5.10,5.10,5.10,null
THRE-JittaScore,20091101,5.10,5.10,5.10,5.10,null
THRE-JittaScore,20091201,5.10,5.10,5.10,5.10,null
THRE-JittaScore,20100101,6.70,6.70,6.70,6.70,null
THRE-JittaScore,20100201,6.70,6.70,6.70,6.70,null
THRE-JittaScore,20100301,6.70,6.70,6.70,6.70,null
THRE-JittaScore,20100401,6.83,6.83,6.83,6.83,null
THRE-JittaScore,20100501,6.83,6.83,6.83,6.83,null
THRE-JittaScore,20100601,6.83,6.83,6.83,6.83,null
THRE-JittaScore,20100701,6.75,6.75,6.75,6.75,null
THRE-JittaScore,20100801,6.75,6.75,6.75,6.75,null
THRE-JittaScore,20100901,6.75,6.75,6.75,6.75,null
THRE-JittaScore,20101001,7.00,7.00,7.00,7.00,null
THRE-JittaScore,20101101,7.00,7.00,7.00,7.00,null
THRE-JittaScore,20101201,7.00,7.00,7.00,7.00,null
THRE-JittaScore,20110101,7.25,7.25,7.25,7.25,null
THRE-JittaScore,20110201,7.25,7.25,7.25,7.25,null
THRE-JittaScore,20110301,7.25,7.25,7.25,7.25,null
THRE-JittaScore,20110401,7.30,7.30,7.30,7.30,null
THRE-JittaScore,20110501,7.30,7.30,7.30,7.30,null
THRE-JittaScore,20110601,7.30,7.30,7.30,7.30,null
THRE-JittaScore,20110701,7.33,7.33,7.33,7.33,null
THRE-JittaScore,20110801,7.33,7.33,7.33,7.33,null
THRE-JittaScore,20110901,7.33,7.33,7.33,7.33,null
THRE-JittaScore,20111001,7.00,7.00,7.00,7.00,null
THRE-JittaScore,20111101,7.00,7.00,7.00,7.00,null
THRE-JittaScore,20111201,7.00,7.00,7.00,7.00,null
THRE-JittaScore,20120101,1.50,1.50,1.50,1.50,null
THRE-JittaScore,20120201,1.50,1.50,1.50,1.50,null
THRE-JittaScore,20120301,1.50,1.50,1.50,1.50,null
THRE-JittaScore,20120401,1.20,1.20,1.20,1.20,null
THRE-JittaScore,20120501,1.20,1.20,1.20,1.20,null
THRE-JittaScore,20120601,1.20,1.20,1.20,1.20,null
THRE-JittaScore,20120701,1.20,1.20,1.20,1.20,null
THRE-JittaScore,20120801,1.20,1.20,1.20,1.20,null
THRE-JittaScore,20120901,1.20,1.20,1.20,1.20,null
THRE-JittaScore,20121001,0.55,0.55,0.55,0.55,null
THRE-JittaScore,20121101,0.55,0.55,0.55,0.55,null
THRE-JittaScore,20121201,0.55,0.55,0.55,0.55,null
THRE-JittaScore,20130101,0.20,0.20,0.20,0.20,null
THRE-JittaScore,20130201,0.20,0.20,0.20,0.20,null
THRE-JittaScore,20130301,0.20,0.20,0.20,0.20,null
THRE-JittaScore,20130401,0.33,0.33,0.33,0.33,null
THRE-JittaScore,20130501,0.33,0.33,0.33,0.33,null
THRE-JittaScore,20130601,0.33,0.33,0.33,0.33,null
THRE-JittaScore,20130701,0.33,0.33,0.33,0.33,null
THRE-JittaScore,20130801,0.33,0.33,0.33,0.33,null
THRE-JittaScore,20130901,0.33,0.33,0.33,0.33,null
THRE-JittaScore,20131001,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20131101,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20131201,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140101,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140201,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140301,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140401,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140501,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140601,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140701,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140801,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20140901,0.01,0.01,0.01,0.01,null
THRE-JittaScore,20141001,0.50,0.50,0.50,0.50,null
THRE-JittaScore,20141101,0.50,0.50,0.50,0.50,null
THRE-JittaScore,20141201,0.50,0.50,0.50,0.50,null
THRE-JittaScore,20150101,0.75,0.75,0.75,0.75,null
THRE-JittaScore,20150201,0.75,0.75,0.75,0.75,null
THRE-JittaScore,20150301,0.75,0.75,0.75,0.75,null
THRE-JittaScore,20150401,0.88,0.88,0.88,0.88,null
THRE-JittaScore,20150501,0.88,0.88,0.88,0.88,null
THRE-JittaScore,20150601,0.88,0.88,0.88,0.88,null
THRE-JittaScore,20150701,0.88,0.88,0.88,0.88,null
THRE-JittaScore,20150801,0.88,0.88,0.88,0.88,null
THRE-JittaScore,20150901,0.88,0.88,0.88,0.88,null
THRE-JittaScore,20151001,1.25,1.25,1.25,1.25,null
THRE-JittaScore,20151101,1.25,1.25,1.25,1.25,null
THRE-JittaScore,20151201,1.25,1.25,1.25,1.25,null
THRE-JittaScore,20160101,2.50,2.50,2.50,2.50,null
THRE-JittaScore,20160201,2.50,2.50,2.50,2.50,null
