<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TIPCO,20061201,7.00,7.00,7.00,7.00,1371137.57894737
TIPCO,20070101,6.85,6.85,6.85,6.85,872338.0952381
TIPCO,20070201,7.05,7.05,7.05,7.05,995740
TIPCO,20070301,7.10,7.10,7.10,7.10,355380.95238095
TIPCO,20070401,7.00,7.00,7.00,7.00,495994.44444444
TIPCO,20070501,7.10,7.10,7.10,7.10,542065
TIPCO,20070601,8.00,8.00,8.00,8.00,882442.85714286
TIPCO,20070701,7.50,7.50,7.50,7.50,267700
TIPCO,20070801,7.20,7.20,7.20,7.20,135627.27272727
TIPCO,20070901,8.40,8.40,8.40,8.40,672695
TIPCO,20071001,8.50,8.50,8.50,8.50,136231.81818182
TIPCO,20071101,7.45,7.45,7.45,7.45,301580.95238095
TIPCO,20071201,7.20,7.20,7.20,7.20,99635.29411765
TIPCO,20080101,5.40,5.40,5.40,5.40,173890.90909091
TIPCO,20080201,5.55,5.55,5.55,5.55,191475
TIPCO,20080301,5.15,5.15,5.15,5.15,610138.0952381
TIPCO,20080401,5.60,5.60,5.60,5.60,606605.2631579
TIPCO,20080501,5.95,5.95,5.95,5.95,530331.57894737
TIPCO,20080601,5.75,5.75,5.75,5.75,245571.42857143
TIPCO,20080701,5.35,5.35,5.35,5.35,150433.33333333
TIPCO,20080801,5.10,5.10,5.10,5.10,485395
TIPCO,20080901,5.00,5.00,5.00,5.00,548381.81818182
TIPCO,20081001,5.00,5.00,5.00,5.00,223204.54545455
TIPCO,20081101,4.50,4.50,4.50,4.50,248155
TIPCO,20081201,4.90,4.90,4.90,4.90,155900
TIPCO,20090101,4.80,4.80,4.80,4.80,26831.57894737
TIPCO,20090201,4.50,4.50,4.50,4.50,32931.57894737
TIPCO,20090301,4.50,4.50,4.50,4.50,74786.36363636
TIPCO,20090401,4.24,4.24,4.24,4.24,39111.11111111
TIPCO,20090501,4.40,4.40,4.40,4.40,147211.11111111
