<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TKT,20061201,1.34,1.34,1.34,1.34,null
TKT,20070101,1.35,1.35,1.35,1.35,null
TKT,20070201,1.33,1.33,1.33,1.33,null
TKT,20070301,1.54,1.54,1.54,1.54,null
TKT,20070401,1.52,1.52,1.52,1.52,null
TKT,20070501,1.46,1.46,1.46,1.46,null
TKT,20070601,1.53,1.53,1.53,1.53,null
TKT,20070701,1.67,1.67,1.67,1.67,null
TKT,20070801,1.51,1.51,1.51,1.51,null
TKT,20070901,1.49,1.49,1.49,1.49,null
TKT,20071001,1.43,1.43,1.43,1.43,null
TKT,20071101,1.41,1.41,1.41,1.41,null
TKT,20071201,1.41,1.41,1.41,1.41,null
TKT,20080101,1.43,1.43,1.43,1.43,null
TKT,20080201,1.52,1.52,1.52,1.52,null
TKT,20080301,1.50,1.50,1.50,1.50,null
TKT,20080401,1.53,1.53,1.53,1.53,null
TKT,20080501,1.53,1.53,1.53,1.53,null
TKT,20080601,1.45,1.45,1.45,1.45,null
TKT,20080701,1.37,1.37,1.37,1.37,null
TKT,20080801,1.45,1.45,1.45,1.45,null
TKT,20080901,1.33,1.33,1.33,1.33,null
TKT,20081001,1.05,1.05,1.05,1.05,null
TKT,20081101,1.00,1.00,1.00,1.00,null
TKT,20081201,1.09,1.09,1.09,1.09,null
TKT,20090101,1.04,1.04,1.04,1.04,null
TKT,20090201,1.16,1.16,1.16,1.16,null
TKT,20090301,1.05,1.05,1.05,1.05,null
TKT,20090401,1.07,1.07,1.07,1.07,null
TKT,20090501,1.08,1.08,1.08,1.08,null
TKT,20090601,1.13,1.13,1.13,1.13,null
TKT,20090701,1.10,1.10,1.10,1.10,null
TKT,20090801,1.20,1.20,1.20,1.20,null
TKT,20090901,1.32,1.32,1.32,1.32,null
TKT,20091001,1.26,1.26,1.26,1.26,null
TKT,20091101,1.29,1.29,1.29,1.29,null
TKT,20091201,1.65,1.65,1.65,1.65,null
TKT,20100101,1.88,1.88,1.88,1.88,null
TKT,20100201,1.87,1.87,1.87,1.87,null
TKT,20100301,1.87,1.87,1.87,1.87,null
TKT,20100401,1.81,1.81,1.81,1.81,null
TKT,20100501,1.82,1.82,1.82,1.82,null
TKT,20100601,1.95,1.95,1.95,1.95,null
TKT,20100701,2.08,2.08,2.08,2.08,null
TKT,20100801,2.02,2.02,2.02,2.02,null
TKT,20100901,1.96,1.96,1.96,1.96,null
TKT,20101001,2.10,2.10,2.10,2.10,null
TKT,20101101,2.02,2.02,2.02,2.02,null
TKT,20101201,2.04,2.04,2.04,2.04,null
TKT,20110101,2.08,2.08,2.08,2.08,null
TKT,20110201,2.04,2.04,2.04,2.04,null
TKT,20110301,1.97,1.97,1.97,1.97,null
TKT,20110401,1.97,1.97,1.97,1.97,null
TKT,20110501,1.95,1.95,1.95,1.95,null
