<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TMW-JittaLine,20061201,58.1767,58.1767,58.1767,58.1767,null
TMW-JittaLine,20070101,58.5338,58.5338,58.5338,58.5338,null
TMW-JittaLine,20070201,58.891,58.891,58.891,58.891,null
TMW-JittaLine,20070301,59.2481,59.2481,59.2481,59.2481,null
TMW-JittaLine,20070401,58.949,58.949,58.949,58.949,null
TMW-JittaLine,20070501,58.6499,58.6499,58.6499,58.6499,null
TMW-JittaLine,20070601,58.3508,58.3508,58.3508,58.3508,null
TMW-JittaLine,20070701,58.0516,58.0516,58.0516,58.0516,null
TMW-JittaLine,20070801,57.7525,57.7525,57.7525,57.7525,null
TMW-JittaLine,20070901,57.4534,57.4534,57.4534,57.4534,null
TMW-JittaLine,20071001,57.1543,57.1543,57.1543,57.1543,null
TMW-JittaLine,20071101,56.8551,56.8551,56.8551,56.8551,null
TMW-JittaLine,20071201,56.556,56.556,56.556,56.556,null
TMW-JittaLine,20080101,56.2569,56.2569,56.2569,56.2569,null
TMW-JittaLine,20080201,55.9578,55.9578,55.9578,55.9578,null
TMW-JittaLine,20080301,55.6586,55.6586,55.6586,55.6586,null
TMW-JittaLine,20080401,52.7446,52.7446,52.7446,52.7446,null
TMW-JittaLine,20080501,49.8306,49.8306,49.8306,49.8306,null
TMW-JittaLine,20080601,46.9165,46.9165,46.9165,46.9165,null
TMW-JittaLine,20080701,44.0025,44.0025,44.0025,44.0025,null
TMW-JittaLine,20080801,41.0884,41.0884,41.0884,41.0884,null
TMW-JittaLine,20080901,38.1744,38.1744,38.1744,38.1744,null
TMW-JittaLine,20081001,35.2604,35.2604,35.2604,35.2604,null
TMW-JittaLine,20081101,32.3463,32.3463,32.3463,32.3463,null
TMW-JittaLine,20081201,29.4323,29.4323,29.4323,29.4323,null
TMW-JittaLine,20090101,26.5182,26.5182,26.5182,26.5182,null
TMW-JittaLine,20090201,23.6042,23.6042,23.6042,23.6042,null
TMW-JittaLine,20090301,20.6901,20.6901,20.6901,20.6901,null
TMW-JittaLine,20090401,20.1563,20.1563,20.1563,20.1563,null
TMW-JittaLine,20090501,19.6224,19.6224,19.6224,19.6224,null
TMW-JittaLine,20090601,19.0885,19.0885,19.0885,19.0885,null
TMW-JittaLine,20090701,18.5546,18.5546,18.5546,18.5546,null
TMW-JittaLine,20090801,18.0207,18.0207,18.0207,18.0207,null
TMW-JittaLine,20090901,17.4868,17.4868,17.4868,17.4868,null
TMW-JittaLine,20091001,16.9529,16.9529,16.9529,16.9529,null
TMW-JittaLine,20091101,16.4191,16.4191,16.4191,16.4191,null
TMW-JittaLine,20091201,15.8852,15.8852,15.8852,15.8852,null
TMW-JittaLine,20100101,15.3513,15.3513,15.3513,15.3513,null
TMW-JittaLine,20100201,14.8174,14.8174,14.8174,14.8174,null
TMW-JittaLine,20100301,14.2835,14.2835,14.2835,14.2835,null
TMW-JittaLine,20100401,14.3697,14.3697,14.3697,14.3697,null
TMW-JittaLine,20100501,14.4558,14.4558,14.4558,14.4558,null
TMW-JittaLine,20100601,14.5419,14.5419,14.5419,14.5419,null
TMW-JittaLine,20100701,14.6281,14.6281,14.6281,14.6281,null
TMW-JittaLine,20100801,14.7142,14.7142,14.7142,14.7142,null
TMW-JittaLine,20100901,14.8003,14.8003,14.8003,14.8003,null
TMW-JittaLine,20101001,14.8864,14.8864,14.8864,14.8864,null
TMW-JittaLine,20101101,14.9726,14.9726,14.9726,14.9726,null
TMW-JittaLine,20101201,15.0587,15.0587,15.0587,15.0587,null
TMW-JittaLine,20110101,15.1448,15.1448,15.1448,15.1448,null
TMW-JittaLine,20110201,15.231,15.231,15.231,15.231,null
TMW-JittaLine,20110301,15.3171,15.3171,15.3171,15.3171,null
TMW-JittaLine,20110401,14.7827,14.7827,14.7827,14.7827,null
TMW-JittaLine,20110501,14.2483,14.2483,14.2483,14.2483,null
TMW-JittaLine,20110601,13.7139,13.7139,13.7139,13.7139,null
TMW-JittaLine,20110701,13.1795,13.1795,13.1795,13.1795,null
TMW-JittaLine,20110801,12.6451,12.6451,12.6451,12.6451,null
TMW-JittaLine,20110901,12.1107,12.1107,12.1107,12.1107,null
TMW-JittaLine,20111001,11.5762,11.5762,11.5762,11.5762,null
TMW-JittaLine,20111101,11.0418,11.0418,11.0418,11.0418,null
TMW-JittaLine,20111201,10.5074,10.5074,10.5074,10.5074,null
TMW-JittaLine,20120101,9.973,9.973,9.973,9.973,null
TMW-JittaLine,20120201,9.4386,9.4386,9.4386,9.4386,null
TMW-JittaLine,20120301,8.9042,8.9042,8.9042,8.9042,null
TMW-JittaLine,20120401,16.5529,16.5529,16.5529,16.5529,null
TMW-JittaLine,20120501,24.2016,24.2016,24.2016,24.2016,null
TMW-JittaLine,20120601,31.8503,31.8503,31.8503,31.8503,null
TMW-JittaLine,20120701,39.499,39.499,39.499,39.499,null
TMW-JittaLine,20120801,47.1477,47.1477,47.1477,47.1477,null
TMW-JittaLine,20120901,54.7964,54.7964,54.7964,54.7964,null
TMW-JittaLine,20121001,62.4451,62.4451,62.4451,62.4451,null
TMW-JittaLine,20121101,70.0938,70.0938,70.0938,70.0938,null
TMW-JittaLine,20121201,77.7425,77.7425,77.7425,77.7425,null
TMW-JittaLine,20130101,85.3912,85.3912,85.3912,85.3912,null
TMW-JittaLine,20130201,93.0399,93.0399,93.0399,93.0399,null
TMW-JittaLine,20130301,100.6886,100.6886,100.6886,100.6886,null
TMW-JittaLine,20130401,100.2678,100.2678,100.2678,100.2678,null
TMW-JittaLine,20130501,99.847,99.847,99.847,99.847,null
TMW-JittaLine,20130601,99.4262,99.4262,99.4262,99.4262,null
TMW-JittaLine,20130701,99.0054,99.0054,99.0054,99.0054,null
TMW-JittaLine,20130801,98.5846,98.5846,98.5846,98.5846,null
TMW-JittaLine,20130901,98.1638,98.1638,98.1638,98.1638,null
TMW-JittaLine,20131001,97.743,97.743,97.743,97.743,null
TMW-JittaLine,20131101,97.3222,97.3222,97.3222,97.3222,null
TMW-JittaLine,20131201,96.9014,96.9014,96.9014,96.9014,null
TMW-JittaLine,20140101,96.4806,96.4806,96.4806,96.4806,null
TMW-JittaLine,20140201,96.0598,96.0598,96.0598,96.0598,null
TMW-JittaLine,20140301,95.6391,95.6391,95.6391,95.6391,null
TMW-JittaLine,20140401,97.0791,97.0791,97.0791,97.0791,null
TMW-JittaLine,20140501,98.5192,98.5192,98.5192,98.5192,null
TMW-JittaLine,20140601,99.9593,99.9593,99.9593,99.9593,null
TMW-JittaLine,20140701,101.3994,101.3994,101.3994,101.3994,null
TMW-JittaLine,20140801,102.8395,102.8395,102.8395,102.8395,null
TMW-JittaLine,20140901,104.2796,104.2796,104.2796,104.2796,null
TMW-JittaLine,20141001,105.7197,105.7197,105.7197,105.7197,null
TMW-JittaLine,20141101,107.1598,107.1598,107.1598,107.1598,null
TMW-JittaLine,20141201,108.5999,108.5999,108.5999,108.5999,null
TMW-JittaLine,20150101,110.04,110.04,110.04,110.04,null
TMW-JittaLine,20150201,111.4801,111.4801,111.4801,111.4801,null
TMW-JittaLine,20150301,112.9201,112.9201,112.9201,112.9201,null
TMW-JittaLine,20150401,112.9745,112.9745,112.9745,112.9745,null
TMW-JittaLine,20150501,113.0289,113.0289,113.0289,113.0289,null
TMW-JittaLine,20150601,113.0833,113.0833,113.0833,113.0833,null
TMW-JittaLine,20150701,113.1376,113.1376,113.1376,113.1376,null
TMW-JittaLine,20150801,113.192,113.192,113.192,113.192,null
TMW-JittaLine,20150901,113.2464,113.2464,113.2464,113.2464,null
TMW-JittaLine,20151001,113.3008,113.3008,113.3008,113.3008,null
TMW-JittaLine,20151101,113.3551,113.3551,113.3551,113.3551,null
TMW-JittaLine,20151201,113.4095,113.4095,113.4095,113.4095,null
TMW-JittaLine,20160101,113.4639,113.4639,113.4639,113.4639,null
TMW-JittaLine,20160201,113.5183,113.5183,113.5183,113.5183,null
TMW-JittaLine,20160301,113.5726,113.5726,113.5726,113.5726,null
