<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TNH-JittaScore,20061201,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070101,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070201,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070301,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070401,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070501,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070601,4.70,4.70,4.70,4.70,null
TNH-JittaScore,20070701,5.48,5.48,5.48,5.48,null
TNH-JittaScore,20070801,5.48,5.48,5.48,5.48,null
TNH-JittaScore,20070901,5.48,5.48,5.48,5.48,null
TNH-JittaScore,20071001,5.48,5.48,5.48,5.48,null
TNH-JittaScore,20071101,5.48,5.48,5.48,5.48,null
TNH-JittaScore,20071201,5.48,5.48,5.48,5.48,null
TNH-JittaScore,20080101,5.33,5.33,5.33,5.33,null
TNH-JittaScore,20080201,5.33,5.33,5.33,5.33,null
TNH-JittaScore,20080301,5.33,5.33,5.33,5.33,null
TNH-JittaScore,20080401,5.33,5.33,5.33,5.33,null
TNH-JittaScore,20080501,5.33,5.33,5.33,5.33,null
TNH-JittaScore,20080601,5.33,5.33,5.33,5.33,null
TNH-JittaScore,20080701,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20080801,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20080901,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20081001,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20081101,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20081201,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090101,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090201,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090301,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090401,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090501,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090601,6.01,6.01,6.01,6.01,null
TNH-JittaScore,20090701,6.38,6.38,6.38,6.38,null
TNH-JittaScore,20090801,6.38,6.38,6.38,6.38,null
TNH-JittaScore,20090901,6.38,6.38,6.38,6.38,null
TNH-JittaScore,20091001,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20091101,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20091201,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100101,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100201,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100301,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100401,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100501,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100601,6.45,6.45,6.45,6.45,null
TNH-JittaScore,20100701,5.19,5.19,5.19,5.19,null
TNH-JittaScore,20100801,5.19,5.19,5.19,5.19,null
TNH-JittaScore,20100901,5.19,5.19,5.19,5.19,null
TNH-JittaScore,20101001,5.39,5.39,5.39,5.39,null
TNH-JittaScore,20101101,5.39,5.39,5.39,5.39,null
TNH-JittaScore,20101201,5.39,5.39,5.39,5.39,null
TNH-JittaScore,20110101,5.86,5.86,5.86,5.86,null
TNH-JittaScore,20110201,5.86,5.86,5.86,5.86,null
TNH-JittaScore,20110301,5.86,5.86,5.86,5.86,null
TNH-JittaScore,20110401,7.75,7.75,7.75,7.75,null
TNH-JittaScore,20110501,7.75,7.75,7.75,7.75,null
TNH-JittaScore,20110601,7.75,7.75,7.75,7.75,null
TNH-JittaScore,20110701,7.95,7.95,7.95,7.95,null
TNH-JittaScore,20110801,7.95,7.95,7.95,7.95,null
TNH-JittaScore,20110901,7.95,7.95,7.95,7.95,null
TNH-JittaScore,20111001,8.03,8.03,8.03,8.03,null
TNH-JittaScore,20111101,8.03,8.03,8.03,8.03,null
TNH-JittaScore,20111201,8.03,8.03,8.03,8.03,null
TNH-JittaScore,20120101,8.03,8.03,8.03,8.03,null
TNH-JittaScore,20120201,8.03,8.03,8.03,8.03,null
TNH-JittaScore,20120301,8.03,8.03,8.03,8.03,null
TNH-JittaScore,20120401,6.85,6.85,6.85,6.85,null
TNH-JittaScore,20120501,6.85,6.85,6.85,6.85,null
TNH-JittaScore,20120601,6.85,6.85,6.85,6.85,null
TNH-JittaScore,20120701,6.05,6.05,6.05,6.05,null
TNH-JittaScore,20120801,6.05,6.05,6.05,6.05,null
TNH-JittaScore,20120901,6.05,6.05,6.05,6.05,null
TNH-JittaScore,20121001,6.05,6.05,6.05,6.05,null
TNH-JittaScore,20121101,6.05,6.05,6.05,6.05,null
TNH-JittaScore,20121201,6.05,6.05,6.05,6.05,null
TNH-JittaScore,20130101,6.10,6.10,6.10,6.10,null
TNH-JittaScore,20130201,6.10,6.10,6.10,6.10,null
TNH-JittaScore,20130301,6.10,6.10,6.10,6.10,null
TNH-JittaScore,20130401,7.45,7.45,7.45,7.45,null
TNH-JittaScore,20130501,7.45,7.45,7.45,7.45,null
TNH-JittaScore,20130601,7.45,7.45,7.45,7.45,null
TNH-JittaScore,20130701,7.30,7.30,7.30,7.30,null
TNH-JittaScore,20130801,7.30,7.30,7.30,7.30,null
TNH-JittaScore,20130901,7.30,7.30,7.30,7.30,null
TNH-JittaScore,20131001,7.00,7.00,7.00,7.00,null
TNH-JittaScore,20131101,7.00,7.00,7.00,7.00,null
TNH-JittaScore,20131201,7.00,7.00,7.00,7.00,null
TNH-JittaScore,20140101,7.00,7.00,7.00,7.00,null
TNH-JittaScore,20140201,7.00,7.00,7.00,7.00,null
TNH-JittaScore,20140301,7.00,7.00,7.00,7.00,null
TNH-JittaScore,20140401,7.10,7.10,7.10,7.10,null
TNH-JittaScore,20140501,7.10,7.10,7.10,7.10,null
TNH-JittaScore,20140601,7.10,7.10,7.10,7.10,null
TNH-JittaScore,20140701,7.25,7.25,7.25,7.25,null
TNH-JittaScore,20140801,7.25,7.25,7.25,7.25,null
TNH-JittaScore,20140901,7.25,7.25,7.25,7.25,null
TNH-JittaScore,20141001,7.30,7.30,7.30,7.30,null
TNH-JittaScore,20141101,7.30,7.30,7.30,7.30,null
TNH-JittaScore,20141201,7.30,7.30,7.30,7.30,null
TNH-JittaScore,20150101,7.25,7.25,7.25,7.25,null
TNH-JittaScore,20150201,7.25,7.25,7.25,7.25,null
TNH-JittaScore,20150301,7.25,7.25,7.25,7.25,null
TNH-JittaScore,20150401,7.35,7.35,7.35,7.35,null
TNH-JittaScore,20150501,7.35,7.35,7.35,7.35,null
TNH-JittaScore,20150601,7.35,7.35,7.35,7.35,null
TNH-JittaScore,20150701,6.95,6.95,6.95,6.95,null
TNH-JittaScore,20150801,6.95,6.95,6.95,6.95,null
TNH-JittaScore,20150901,6.95,6.95,6.95,6.95,null
TNH-JittaScore,20151001,7.08,7.08,7.08,7.08,null
TNH-JittaScore,20151101,7.08,7.08,7.08,7.08,null
TNH-JittaScore,20151201,7.08,7.08,7.08,7.08,null
TNH-JittaScore,20160101,7.13,7.13,7.13,7.13,null
TNH-JittaScore,20160201,7.13,7.13,7.13,7.13,null
TNH-JittaScore,20160301,7.13,7.13,7.13,7.13,null
TNH-JittaScore,20160401,7.13,7.13,7.13,7.13,null
TNH-JittaScore,20160501,7.13,7.13,7.13,7.13,null
TNH-JittaScore,20160601,7.13,7.13,7.13,7.13,null
