<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TNL-JittaLine,20061201,27.1867,27.1867,27.1867,27.1867,null
TNL-JittaLine,20070101,26.7211,26.7211,26.7211,26.7211,null
TNL-JittaLine,20070201,26.2556,26.2556,26.2556,26.2556,null
TNL-JittaLine,20070301,25.7901,25.7901,25.7901,25.7901,null
TNL-JittaLine,20070401,25.3245,25.3245,25.3245,25.3245,null
TNL-JittaLine,20070501,24.859,24.859,24.859,24.859,null
TNL-JittaLine,20070601,24.3935,24.3935,24.3935,24.3935,null
TNL-JittaLine,20070701,23.9279,23.9279,23.9279,23.9279,null
TNL-JittaLine,20070801,23.4624,23.4624,23.4624,23.4624,null
TNL-JittaLine,20070901,22.9969,22.9969,22.9969,22.9969,null
TNL-JittaLine,20071001,22.5313,22.5313,22.5313,22.5313,null
TNL-JittaLine,20071101,22.0658,22.0658,22.0658,22.0658,null
TNL-JittaLine,20071201,21.6002,21.6002,21.6002,21.6002,null
TNL-JittaLine,20080101,21.6966,21.6966,21.6966,21.6966,null
TNL-JittaLine,20080201,21.7929,21.7929,21.7929,21.7929,null
TNL-JittaLine,20080301,21.8893,21.8893,21.8893,21.8893,null
TNL-JittaLine,20080401,21.9856,21.9856,21.9856,21.9856,null
TNL-JittaLine,20080501,22.082,22.082,22.082,22.082,null
TNL-JittaLine,20080601,22.1783,22.1783,22.1783,22.1783,null
TNL-JittaLine,20080701,22.2747,22.2747,22.2747,22.2747,null
TNL-JittaLine,20080801,22.371,22.371,22.371,22.371,null
TNL-JittaLine,20080901,22.4674,22.4674,22.4674,22.4674,null
TNL-JittaLine,20081001,22.5637,22.5637,22.5637,22.5637,null
TNL-JittaLine,20081101,22.66,22.66,22.66,22.66,null
TNL-JittaLine,20081201,22.7564,22.7564,22.7564,22.7564,null
TNL-JittaLine,20090101,22.3418,22.3418,22.3418,22.3418,null
TNL-JittaLine,20090201,21.9271,21.9271,21.9271,21.9271,null
TNL-JittaLine,20090301,21.5125,21.5125,21.5125,21.5125,null
TNL-JittaLine,20090401,21.0978,21.0978,21.0978,21.0978,null
TNL-JittaLine,20090501,20.6832,20.6832,20.6832,20.6832,null
TNL-JittaLine,20090601,20.2686,20.2686,20.2686,20.2686,null
TNL-JittaLine,20090701,19.8539,19.8539,19.8539,19.8539,null
TNL-JittaLine,20090801,19.4393,19.4393,19.4393,19.4393,null
TNL-JittaLine,20090901,19.0247,19.0247,19.0247,19.0247,null
TNL-JittaLine,20091001,18.61,18.61,18.61,18.61,null
TNL-JittaLine,20091101,18.1954,18.1954,18.1954,18.1954,null
TNL-JittaLine,20091201,17.7807,17.7807,17.7807,17.7807,null
TNL-JittaLine,20100101,17.9492,17.9492,17.9492,17.9492,null
TNL-JittaLine,20100201,18.1177,18.1177,18.1177,18.1177,null
TNL-JittaLine,20100301,18.2863,18.2863,18.2863,18.2863,null
