<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TNL,20061201,18.90,18.90,18.90,18.90,11966.66666667
TNL,20070101,19.70,19.70,19.70,19.70,511.11111111
TNL,20070201,19.50,19.50,19.50,19.50,3144.44444444
TNL,20070301,18.70,18.70,18.70,18.70,18823.52941176
TNL,20070401,17.20,17.20,17.20,17.20,4937.5
TNL,20070501,19.50,19.50,19.50,19.50,5385.71428571
TNL,20070601,17.50,17.50,17.50,17.50,2625
TNL,20070701,17.10,17.10,17.10,17.10,3056.25
TNL,20070801,16.90,16.90,16.90,16.90,4800
TNL,20070901,17.50,17.50,17.50,17.50,1400
TNL,20071001,17.50,17.50,17.50,17.50,4976.92307692
TNL,20071101,17.00,17.00,17.00,17.00,1575
TNL,20071201,19.00,19.00,19.00,19.00,4533.33333333
TNL,20080101,16.10,16.10,16.10,16.10,2666.66666667
TNL,20080201,16.20,16.20,16.20,16.20,2172.72727273
TNL,20080301,17.00,17.00,17.00,17.00,1680
TNL,20080401,17.20,17.20,17.20,17.20,1614.28571429
TNL,20080601,17.60,17.60,17.60,17.60,711.11111111
TNL,20080701,14.20,14.20,14.20,14.20,2069.23076923
TNL,20080801,14.40,14.40,14.40,14.40,1290.90909091
TNL,20080901,18.70,18.70,18.70,18.70,2544.44444444
TNL,20081001,15.40,15.40,15.40,15.40,2290
TNL,20081101,16.20,16.20,16.20,16.20,3200
TNL,20081201,18.80,18.80,18.80,18.80,785.71428571
TNL,20090101,18.30,18.30,18.30,18.30,1375
TNL,20090201,14.80,14.80,14.80,14.80,850
TNL,20090301,18.00,18.00,18.00,18.00,771.42857143
TNL,20090401,18.60,18.60,18.60,18.60,300
TNL,20090501,18.70,18.70,18.70,18.70,4680
TNL,20090601,17.50,17.50,17.50,17.50,980
TNL,20090701,19.10,19.10,19.10,19.10,525
TNL,20090901,18.20,18.20,18.20,18.20,670
TNL,20091001,18.20,18.20,18.20,18.20,800
TNL,20091101,18.00,18.00,18.00,18.00,533.33333333
TNL,20091201,18.00,18.00,18.00,18.00,328.57142857
TNL,20100101,16.00,16.00,16.00,16.00,1028.57142857
TNL,20100201,18.30,18.30,18.30,18.30,460
TNL,20100301,18.60,18.60,18.60,18.60,8015.38461538
TNL,20100401,20.10,20.10,20.10,20.10,1218.18181818
TNL,20100501,18.10,18.10,18.10,18.10,1150
TNL,20100601,18.00,18.00,18.00,18.00,1820
TNL,20100701,18.50,18.50,18.50,18.50,1160
TNL,20100801,18.00,18.00,18.00,18.00,1133.33333333
TNL,20100901,18.20,18.20,18.20,18.20,4905.55555556
TNL,20101001,18.40,18.40,18.40,18.40,4833.33333333
TNL,20101101,18.10,18.10,18.10,18.10,4700
TNL,20101201,18.00,18.00,18.00,18.00,1133.33333333
TNL,20110101,17.90,17.90,17.90,17.90,30118.18181818
TNL,20110201,17.90,17.90,17.90,17.90,5162.5
TNL,20110301,18.10,18.10,18.10,18.10,1642.85714286
TNL,20110401,18.00,18.00,18.00,18.00,5825
TNL,20110501,18.40,18.40,18.40,18.40,750
TNL,20110601,18.00,18.00,18.00,18.00,1800
TNL,20110701,18.00,18.00,18.00,18.00,2441.66666667
TNL,20110801,19.00,19.00,19.00,19.00,3388.88888889
TNL,20110901,19.00,19.00,19.00,19.00,2225
TNL,20111001,18.40,18.40,18.40,18.40,1540
TNL,20111101,19.00,19.00,19.00,19.00,233.33333333
TNL,20111201,19.10,19.10,19.10,19.10,1200
TNL,20120101,19.00,19.00,19.00,19.00,1925
TNL,20120201,21.00,21.00,21.00,21.00,2527.27272727
TNL,20120301,21.00,21.00,21.00,21.00,1606.25
TNL,20120401,20.80,20.80,20.80,20.80,3063.63636364
TNL,20120501,28.00,28.00,28.00,28.00,2435.71428571
TNL,20120601,26.00,26.00,26.00,26.00,669.23076923
TNL,20120701,27.00,27.00,27.00,27.00,4146.66666667
TNL,20120801,27.75,27.75,27.75,27.75,6326.66666667
TNL,20120901,26.50,26.50,26.50,26.50,1573.33333333
TNL,20121001,25.75,25.75,25.75,25.75,2450
TNL,20121101,23.50,23.50,23.50,23.50,5129.41176471
TNL,20121201,25.00,25.00,25.00,25.00,2407.14285714
TNL,20130101,24.60,24.60,24.60,24.60,3813.63636364
TNL,20130201,26.75,26.75,26.75,26.75,7370.58823529
TNL,20130301,29.00,29.00,29.00,29.00,4757.89473684
TNL,20130401,29.75,29.75,29.75,29.75,8493.75
TNL,20130501,29.00,29.00,29.00,29.00,2458.82352941
TNL,20130601,28.25,28.25,28.25,28.25,4157.14285714
TNL,20130701,28.25,28.25,28.25,28.25,1455.55555556
TNL,20130801,29.00,29.00,29.00,29.00,837.5
TNL,20130901,29.00,29.00,29.00,29.00,1025
TNL,20131001,27.50,27.50,27.50,27.50,2166.66666667
TNL,20131101,28.00,28.00,28.00,28.00,337.5
TNL,20131201,28.00,28.00,28.00,28.00,2100
TNL,20140101,27.75,27.75,27.75,27.75,3885.71428571
TNL,20140201,25.75,25.75,25.75,25.75,4605.26315789
TNL,20140301,26.75,26.75,26.75,26.75,1020
TNL,20140401,27.75,27.75,27.75,27.75,1800
TNL,20140501,30.00,30.00,30.00,30.00,3450
TNL,20140601,27.75,27.75,27.75,27.75,2057.14285714
TNL,20140701,27.00,27.00,27.00,27.00,771.42857143
TNL,20140801,27.75,27.75,27.75,27.75,700
TNL,20140901,27.25,27.25,27.25,27.25,8354.54545455
TNL,20141001,27.50,27.50,27.50,27.50,1700
TNL,20141101,26.50,26.50,26.50,26.50,307.69230769
TNL,20141201,28.00,28.00,28.00,28.00,890
TNL,20150101,27.00,27.00,27.00,27.00,4036.36363636
TNL,20150201,26.25,26.25,26.25,26.25,1550
TNL,20150301,25.75,25.75,25.75,25.75,4333.33333333
TNL,20150401,26.00,26.00,26.00,26.00,283.33333333
TNL,20150501,26.00,26.00,26.00,26.00,1420
TNL,20150601,25.00,25.00,25.00,25.00,1080
TNL,20150701,26.50,26.50,26.50,26.50,1800
TNL,20150801,25.75,25.75,25.75,25.75,750
TNL,20150901,25.00,25.00,25.00,25.00,1540
TNL,20151001,24.50,24.50,24.50,24.50,5311.11111111
TNL,20151101,26.00,26.00,26.00,26.00,1411.11111111
TNL,20151201,25.00,25.00,25.00,25.00,577.77777778
TNL,20160101,24.60,24.60,24.60,24.60,null
TNL,20160201,24.90,24.90,24.90,24.90,null
TNL,20160301,24.00,24.00,24.00,24.00,null
TNL,20160401,23.90,23.90,23.90,23.90,null
TNL,20160501,23.90,23.90,23.90,23.90,null
