<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TPC-JittaLine,20061201,57.8914,57.8914,57.8914,57.8914,null
TPC-JittaLine,20070101,58.1057,58.1057,58.1057,58.1057,null
TPC-JittaLine,20070201,58.3201,58.3201,58.3201,58.3201,null
TPC-JittaLine,20070301,58.5344,58.5344,58.5344,58.5344,null
TPC-JittaLine,20070401,58.7487,58.7487,58.7487,58.7487,null
TPC-JittaLine,20070501,58.963,58.963,58.963,58.963,null
TPC-JittaLine,20070601,59.1773,59.1773,59.1773,59.1773,null
TPC-JittaLine,20070701,59.3916,59.3916,59.3916,59.3916,null
TPC-JittaLine,20070801,59.6059,59.6059,59.6059,59.6059,null
TPC-JittaLine,20070901,59.8203,59.8203,59.8203,59.8203,null
TPC-JittaLine,20071001,60.0346,60.0346,60.0346,60.0346,null
TPC-JittaLine,20071101,60.2489,60.2489,60.2489,60.2489,null
TPC-JittaLine,20071201,60.4632,60.4632,60.4632,60.4632,null
TPC-JittaLine,20080101,59.1455,59.1455,59.1455,59.1455,null
TPC-JittaLine,20080201,57.8279,57.8279,57.8279,57.8279,null
TPC-JittaLine,20080301,56.5102,56.5102,56.5102,56.5102,null
TPC-JittaLine,20080401,55.1925,55.1925,55.1925,55.1925,null
TPC-JittaLine,20080501,53.8748,53.8748,53.8748,53.8748,null
TPC-JittaLine,20080601,52.5572,52.5572,52.5572,52.5572,null
TPC-JittaLine,20080701,51.2395,51.2395,51.2395,51.2395,null
TPC-JittaLine,20080801,49.9218,49.9218,49.9218,49.9218,null
TPC-JittaLine,20080901,48.6042,48.6042,48.6042,48.6042,null
TPC-JittaLine,20081001,47.2865,47.2865,47.2865,47.2865,null
TPC-JittaLine,20081101,45.9688,45.9688,45.9688,45.9688,null
TPC-JittaLine,20081201,44.6511,44.6511,44.6511,44.6511,null
TPC-JittaLine,20090101,43.5773,43.5773,43.5773,43.5773,null
TPC-JittaLine,20090201,42.5035,42.5035,42.5035,42.5035,null
TPC-JittaLine,20090301,41.4296,41.4296,41.4296,41.4296,null
TPC-JittaLine,20090401,40.3558,40.3558,40.3558,40.3558,null
TPC-JittaLine,20090501,39.282,39.282,39.282,39.282,null
TPC-JittaLine,20090601,38.2082,38.2082,38.2082,38.2082,null
TPC-JittaLine,20090701,37.1343,37.1343,37.1343,37.1343,null
TPC-JittaLine,20090801,36.0605,36.0605,36.0605,36.0605,null
TPC-JittaLine,20090901,34.9867,34.9867,34.9867,34.9867,null
TPC-JittaLine,20091001,33.9128,33.9128,33.9128,33.9128,null
TPC-JittaLine,20091101,32.839,32.839,32.839,32.839,null
TPC-JittaLine,20091201,31.7652,31.7652,31.7652,31.7652,null
TPC-JittaLine,20100101,31.894,31.894,31.894,31.894,null
TPC-JittaLine,20100201,32.0229,32.0229,32.0229,32.0229,null
TPC-JittaLine,20100301,32.1518,32.1518,32.1518,32.1518,null
TPC-JittaLine,20100401,32.2807,32.2807,32.2807,32.2807,null
TPC-JittaLine,20100501,32.4096,32.4096,32.4096,32.4096,null
TPC-JittaLine,20100601,32.5384,32.5384,32.5384,32.5384,null
TPC-JittaLine,20100701,32.6673,32.6673,32.6673,32.6673,null
TPC-JittaLine,20100801,32.7962,32.7962,32.7962,32.7962,null
TPC-JittaLine,20100901,32.9251,32.9251,32.9251,32.9251,null
TPC-JittaLine,20101001,33.054,33.054,33.054,33.054,null
TPC-JittaLine,20101101,33.1828,33.1828,33.1828,33.1828,null
TPC-JittaLine,20101201,33.3117,33.3117,33.3117,33.3117,null
TPC-JittaLine,20110101,33.3097,33.3097,33.3097,33.3097,null
TPC-JittaLine,20110201,33.3076,33.3076,33.3076,33.3076,null
TPC-JittaLine,20110301,33.3055,33.3055,33.3055,33.3055,null
TPC-JittaLine,20110401,33.3035,33.3035,33.3035,33.3035,null
TPC-JittaLine,20110501,33.3014,33.3014,33.3014,33.3014,null
TPC-JittaLine,20110601,33.2993,33.2993,33.2993,33.2993,null
TPC-JittaLine,20110701,33.2973,33.2973,33.2973,33.2973,null
TPC-JittaLine,20110801,33.2952,33.2952,33.2952,33.2952,null
TPC-JittaLine,20110901,33.2931,33.2931,33.2931,33.2931,null
TPC-JittaLine,20111001,33.2911,33.2911,33.2911,33.2911,null
