<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TPP-JittaLine,20061201,0.6493,0.6493,0.6493,0.6493,null
TPP-JittaLine,20070101,2.5947,2.5947,2.5947,2.5947,null
TPP-JittaLine,20070201,4.5402,4.5402,4.5402,4.5402,null
TPP-JittaLine,20070301,6.4857,6.4857,6.4857,6.4857,null
TPP-JittaLine,20070401,8.4311,8.4311,8.4311,8.4311,null
TPP-JittaLine,20070501,10.3766,10.3766,10.3766,10.3766,null
TPP-JittaLine,20070601,12.3221,12.3221,12.3221,12.3221,null
TPP-JittaLine,20070701,14.2675,14.2675,14.2675,14.2675,null
TPP-JittaLine,20070801,16.213,16.213,16.213,16.213,null
TPP-JittaLine,20070901,18.1585,18.1585,18.1585,18.1585,null
TPP-JittaLine,20071001,20.1039,20.1039,20.1039,20.1039,null
TPP-JittaLine,20071101,22.0494,22.0494,22.0494,22.0494,null
TPP-JittaLine,20071201,23.9949,23.9949,23.9949,23.9949,null
TPP-JittaLine,20080101,21.8522,21.8522,21.8522,21.8522,null
TPP-JittaLine,20080201,19.7096,19.7096,19.7096,19.7096,null
TPP-JittaLine,20080301,17.5669,17.5669,17.5669,17.5669,null
TPP-JittaLine,20080401,15.4242,15.4242,15.4242,15.4242,null
TPP-JittaLine,20080501,13.2816,13.2816,13.2816,13.2816,null
TPP-JittaLine,20080601,11.1389,11.1389,11.1389,11.1389,null
TPP-JittaLine,20080701,8.9963,8.9963,8.9963,8.9963,null
TPP-JittaLine,20080801,6.8536,6.8536,6.8536,6.8536,null
TPP-JittaLine,20080901,4.7109,4.7109,4.7109,4.7109,null
TPP-JittaLine,20081001,2.5683,2.5683,2.5683,2.5683,null
TPP-JittaLine,20081101,0.4256,0.4256,0.4256,0.4256,null
TPP-JittaLine,20090701,0.2405,0.2405,0.2405,0.2405,null
TPP-JittaLine,20090801,0.5202,0.5202,0.5202,0.5202,null
TPP-JittaLine,20090901,0.7998,0.7998,0.7998,0.7998,null
TPP-JittaLine,20091001,1.0795,1.0795,1.0795,1.0795,null
TPP-JittaLine,20091101,1.3591,1.3591,1.3591,1.3591,null
TPP-JittaLine,20091201,1.6388,1.6388,1.6388,1.6388,null
TPP-JittaLine,20100101,1.8078,1.8078,1.8078,1.8078,null
TPP-JittaLine,20100201,1.9767,1.9767,1.9767,1.9767,null
TPP-JittaLine,20100301,2.1457,2.1457,2.1457,2.1457,null
TPP-JittaLine,20100401,2.3146,2.3146,2.3146,2.3146,null
TPP-JittaLine,20100501,2.4836,2.4836,2.4836,2.4836,null
TPP-JittaLine,20100601,2.6526,2.6526,2.6526,2.6526,null
TPP-JittaLine,20100701,2.8215,2.8215,2.8215,2.8215,null
TPP-JittaLine,20100801,2.9905,2.9905,2.9905,2.9905,null
TPP-JittaLine,20100901,3.1594,3.1594,3.1594,3.1594,null
TPP-JittaLine,20101001,3.3284,3.3284,3.3284,3.3284,null
TPP-JittaLine,20101101,3.4974,3.4974,3.4974,3.4974,null
TPP-JittaLine,20101201,3.6663,3.6663,3.6663,3.6663,null
TPP-JittaLine,20110101,3.2334,3.2334,3.2334,3.2334,null
TPP-JittaLine,20110201,2.8004,2.8004,2.8004,2.8004,null
TPP-JittaLine,20110301,2.3675,2.3675,2.3675,2.3675,null
TPP-JittaLine,20110401,1.9345,1.9345,1.9345,1.9345,null
TPP-JittaLine,20110501,1.5015,1.5015,1.5015,1.5015,null
TPP-JittaLine,20110601,1.0686,1.0686,1.0686,1.0686,null
