<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRU-JittaLine,20061201,2.172,2.172,2.172,2.172,null
TRU-JittaLine,20070101,2.0194,2.0194,2.0194,2.0194,null
TRU-JittaLine,20070201,1.8669,1.8669,1.8669,1.8669,null
TRU-JittaLine,20070301,1.7143,1.7143,1.7143,1.7143,null
TRU-JittaLine,20070401,1.5618,1.5618,1.5618,1.5618,null
TRU-JittaLine,20070501,1.4092,1.4092,1.4092,1.4092,null
TRU-JittaLine,20070601,1.2567,1.2567,1.2567,1.2567,null
TRU-JittaLine,20070701,1.1041,1.1041,1.1041,1.1041,null
TRU-JittaLine,20070801,0.9516,0.9516,0.9516,0.9516,null
TRU-JittaLine,20070901,0.799,0.799,0.799,0.799,null
TRU-JittaLine,20071001,0.6465,0.6465,0.6465,0.6465,null
TRU-JittaLine,20071101,0.4939,0.4939,0.4939,0.4939,null
TRU-JittaLine,20071201,0.3414,0.3414,0.3414,0.3414,null
TRU-JittaLine,20080101,0.3323,0.3323,0.3323,0.3323,null
TRU-JittaLine,20080201,0.3233,0.3233,0.3233,0.3233,null
TRU-JittaLine,20080301,0.3142,0.3142,0.3142,0.3142,null
TRU-JittaLine,20080401,0.3052,0.3052,0.3052,0.3052,null
TRU-JittaLine,20080501,0.2961,0.2961,0.2961,0.2961,null
TRU-JittaLine,20080601,0.2871,0.2871,0.2871,0.2871,null
TRU-JittaLine,20080701,0.2781,0.2781,0.2781,0.2781,null
TRU-JittaLine,20080801,0.269,0.269,0.269,0.269,null
TRU-JittaLine,20080901,0.26,0.26,0.26,0.26,null
TRU-JittaLine,20081001,0.2509,0.2509,0.2509,0.2509,null
TRU-JittaLine,20081101,0.2419,0.2419,0.2419,0.2419,null
TRU-JittaLine,20081201,0.2328,0.2328,0.2328,0.2328,null
TRU-JittaLine,20090101,0.2143,0.2143,0.2143,0.2143,null
TRU-JittaLine,20090201,0.1958,0.1958,0.1958,0.1958,null
TRU-JittaLine,20090301,0.1772,0.1772,0.1772,0.1772,null
TRU-JittaLine,20090401,0.1587,0.1587,0.1587,0.1587,null
TRU-JittaLine,20090501,0.1402,0.1402,0.1402,0.1402,null
TRU-JittaLine,20090601,0.1216,0.1216,0.1216,0.1216,null
TRU-JittaLine,20090701,0.1031,0.1031,0.1031,0.1031,null
TRU-JittaLine,20090801,0.0846,0.0846,0.0846,0.0846,null
TRU-JittaLine,20090901,0.0661,0.0661,0.0661,0.0661,null
TRU-JittaLine,20091001,0.0475,0.0475,0.0475,0.0475,null
TRU-JittaLine,20091101,0.029,0.029,0.029,0.029,null
TRU-JittaLine,20091201,0.0105,0.0105,0.0105,0.0105,null
TRU-JittaLine,20100101,0.0825,0.0825,0.0825,0.0825,null
TRU-JittaLine,20100201,0.1544,0.1544,0.1544,0.1544,null
TRU-JittaLine,20100301,0.2264,0.2264,0.2264,0.2264,null
TRU-JittaLine,20100401,0.2984,0.2984,0.2984,0.2984,null
TRU-JittaLine,20100501,0.3704,0.3704,0.3704,0.3704,null
TRU-JittaLine,20100601,0.4424,0.4424,0.4424,0.4424,null
TRU-JittaLine,20100701,0.5144,0.5144,0.5144,0.5144,null
TRU-JittaLine,20100801,0.5864,0.5864,0.5864,0.5864,null
TRU-JittaLine,20100901,0.6584,0.6584,0.6584,0.6584,null
TRU-JittaLine,20101001,0.7303,0.7303,0.7303,0.7303,null
TRU-JittaLine,20101101,0.8023,0.8023,0.8023,0.8023,null
TRU-JittaLine,20101201,0.8743,0.8743,0.8743,0.8743,null
TRU-JittaLine,20110101,1.1812,1.1812,1.1812,1.1812,null
TRU-JittaLine,20110201,1.488,1.488,1.488,1.488,null
TRU-JittaLine,20110301,1.7949,1.7949,1.7949,1.7949,null
TRU-JittaLine,20110401,2.1017,2.1017,2.1017,2.1017,null
TRU-JittaLine,20110501,2.4086,2.4086,2.4086,2.4086,null
TRU-JittaLine,20110601,2.7155,2.7155,2.7155,2.7155,null
TRU-JittaLine,20110701,3.0223,3.0223,3.0223,3.0223,null
TRU-JittaLine,20110801,3.3292,3.3292,3.3292,3.3292,null
TRU-JittaLine,20110901,3.636,3.636,3.636,3.636,null
TRU-JittaLine,20111001,3.9429,3.9429,3.9429,3.9429,null
TRU-JittaLine,20111101,4.2497,4.2497,4.2497,4.2497,null
TRU-JittaLine,20111201,4.5566,4.5566,4.5566,4.5566,null
TRU-JittaLine,20120101,5.1169,5.1169,5.1169,5.1169,null
TRU-JittaLine,20120201,5.6772,5.6772,5.6772,5.6772,null
TRU-JittaLine,20120301,6.2375,6.2375,6.2375,6.2375,null
TRU-JittaLine,20120401,6.7978,6.7978,6.7978,6.7978,null
TRU-JittaLine,20120501,7.3581,7.3581,7.3581,7.3581,null
TRU-JittaLine,20120601,7.9184,7.9184,7.9184,7.9184,null
TRU-JittaLine,20120701,8.4787,8.4787,8.4787,8.4787,null
TRU-JittaLine,20120801,9.039,9.039,9.039,9.039,null
TRU-JittaLine,20120901,9.5993,9.5993,9.5993,9.5993,null
TRU-JittaLine,20121001,10.1595,10.1595,10.1595,10.1595,null
TRU-JittaLine,20121101,10.7198,10.7198,10.7198,10.7198,null
TRU-JittaLine,20121201,11.2801,11.2801,11.2801,11.2801,null
TRU-JittaLine,20130101,11.033,11.033,11.033,11.033,null
TRU-JittaLine,20130201,10.786,10.786,10.786,10.786,null
TRU-JittaLine,20130301,10.5389,10.5389,10.5389,10.5389,null
TRU-JittaLine,20130401,10.2918,10.2918,10.2918,10.2918,null
TRU-JittaLine,20130501,10.0447,10.0447,10.0447,10.0447,null
TRU-JittaLine,20130601,9.7976,9.7976,9.7976,9.7976,null
TRU-JittaLine,20130701,9.5505,9.5505,9.5505,9.5505,null
TRU-JittaLine,20130801,9.3034,9.3034,9.3034,9.3034,null
TRU-JittaLine,20130901,9.0563,9.0563,9.0563,9.0563,null
TRU-JittaLine,20131001,8.8092,8.8092,8.8092,8.8092,null
TRU-JittaLine,20131101,8.5621,8.5621,8.5621,8.5621,null
TRU-JittaLine,20131201,8.3151,8.3151,8.3151,8.3151,null
TRU-JittaLine,20140101,8.1562,8.1562,8.1562,8.1562,null
TRU-JittaLine,20140201,7.9973,7.9973,7.9973,7.9973,null
TRU-JittaLine,20140301,7.8385,7.8385,7.8385,7.8385,null
TRU-JittaLine,20140401,7.6796,7.6796,7.6796,7.6796,null
TRU-JittaLine,20140501,7.5207,7.5207,7.5207,7.5207,null
TRU-JittaLine,20140601,7.3619,7.3619,7.3619,7.3619,null
TRU-JittaLine,20140701,7.203,7.203,7.203,7.203,null
TRU-JittaLine,20140801,7.0441,7.0441,7.0441,7.0441,null
TRU-JittaLine,20140901,6.8853,6.8853,6.8853,6.8853,null
TRU-JittaLine,20141001,6.7264,6.7264,6.7264,6.7264,null
TRU-JittaLine,20141101,6.5675,6.5675,6.5675,6.5675,null
TRU-JittaLine,20141201,6.4086,6.4086,6.4086,6.4086,null
TRU-JittaLine,20150101,6.3159,6.3159,6.3159,6.3159,null
TRU-JittaLine,20150201,6.2231,6.2231,6.2231,6.2231,null
TRU-JittaLine,20150301,6.1303,6.1303,6.1303,6.1303,null
TRU-JittaLine,20150401,6.0376,6.0376,6.0376,6.0376,null
TRU-JittaLine,20150501,5.9448,5.9448,5.9448,5.9448,null
TRU-JittaLine,20150601,5.852,5.852,5.852,5.852,null
TRU-JittaLine,20150701,5.7593,5.7593,5.7593,5.7593,null
TRU-JittaLine,20150801,5.6665,5.6665,5.6665,5.6665,null
TRU-JittaLine,20150901,5.5737,5.5737,5.5737,5.5737,null
TRU-JittaLine,20151001,5.4809,5.4809,5.4809,5.4809,null
TRU-JittaLine,20151101,5.3882,5.3882,5.3882,5.3882,null
TRU-JittaLine,20151201,5.2954,5.2954,5.2954,5.2954,null
TRU-JittaLine,20160101,5.163,5.163,5.163,5.163,null
TRU-JittaLine,20160201,5.0306,5.0306,5.0306,5.0306,null
TRU-JittaLine,20160301,4.8982,4.8982,4.8982,4.8982,null
TRU-JittaLine,20160401,4.7659,4.7659,4.7659,4.7659,null
TRU-JittaLine,20160501,4.6335,4.6335,4.6335,4.6335,null
TRU-JittaLine,20160601,4.5011,4.5011,4.5011,4.5011,null
TRU-JittaLine,20160701,4.3687,4.3687,4.3687,4.3687,null
TRU-JittaLine,20160801,4.2363,4.2363,4.2363,4.2363,null
TRU-JittaLine,20160901,4.1039,4.1039,4.1039,4.1039,null
TRU-JittaLine,20161001,3.9716,3.9716,3.9716,3.9716,null
TRU-JittaLine,20161101,3.8392,3.8392,3.8392,3.8392,null
TRU-JittaLine,20161201,3.7068,3.7068,3.7068,3.7068,null
