<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRU,20061201,3.2499987,3.2499987,3.2499987,3.2499987,184129.09955824
TRU,20070101,2.71666558,2.71666558,2.71666558,2.71666558,359708.71531206
TRU,20070201,2.86666552,2.86666552,2.86666552,2.86666552,466518.18660728
TRU,20070301,2.79999888,2.79999888,2.79999888,2.79999888,57309.49660801
TRU,20070401,2.76666556,2.76666556,2.76666556,2.76666556,77613.36437868
TRU,20070501,2.5833323,2.5833323,2.5833323,2.5833323,219612.08784484
TRU,20070601,2.69999892,2.69999892,2.69999892,2.69999892,480863.04948808
TRU,20070701,2.79999888,2.79999888,2.79999888,2.79999888,516971.63536008
TRU,20070801,2.7499989,2.7499989,2.7499989,2.7499989,223598.27125749
TRU,20070901,2.64999894,2.64999894,2.64999894,2.64999894,304993.45533072
TRU,20071001,2.59999896,2.59999896,2.59999896,2.59999896,148887.33228221
TRU,20071101,2.2499991,2.2499991,2.2499991,2.2499991,104580.04183202
TRU,20071201,2.2499991,2.2499991,2.2499991,2.2499991,28743.54090918
TRU,20080101,1.98333254,1.98333254,1.98333254,1.98333254,117310.95601529
TRU,20080201,2.0833325,2.0833325,2.0833325,2.0833325,77917.92590401
TRU,20080301,2.21666578,2.21666578,2.21666578,2.21666578,174137.21251203
TRU,20080401,3.19999872,3.19999872,3.19999872,3.19999872,1437366.89073623
TRU,20080501,2.5833323,2.5833323,2.5833323,2.5833323,4244629.06627268
TRU,20080601,2.26666576,2.26666576,2.26666576,2.26666576,173468.64081603
TRU,20080701,2.13333248,2.13333248,2.13333248,2.13333248,66336.02653441
TRU,20080801,2.18333246,2.18333246,2.18333246,2.18333246,106956.04278242
TRU,20080901,1.89999924,1.89999924,1.89999924,1.89999924,45422.87531201
TRU,20081001,1.45833275,1.45833275,1.45833275,1.45833275,135954.05438162
TRU,20081101,0.95833295,0.95833295,0.95833295,0.95833295,33864.01354561
TRU,20081201,1.0833329,1.0833329,1.0833329,1.0833329,68488.44844801
TRU,20090101,1.13333288,1.13333288,1.13333288,1.13333288,137306.72158936
TRU,20090201,1.15833287,1.15833287,1.15833287,1.15833287,18192.0072768
TRU,20090301,0.99166627,0.99166627,0.99166627,0.99166627,24656.851968
