<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TSE-JittaScore,20140401,2.75,2.75,2.75,2.75,null
TSE-JittaScore,20140501,2.75,2.75,2.75,2.75,null
TSE-JittaScore,20140601,2.75,2.75,2.75,2.75,null
TSE-JittaScore,20140701,3.00,3.00,3.00,3.00,null
TSE-JittaScore,20140801,3.00,3.00,3.00,3.00,null
TSE-JittaScore,20140901,3.00,3.00,3.00,3.00,null
TSE-JittaScore,20141001,2.50,2.50,2.50,2.50,null
TSE-JittaScore,20141101,2.50,2.50,2.50,2.50,null
TSE-JittaScore,20141201,2.50,2.50,2.50,2.50,null
TSE-JittaScore,20150101,2.75,2.75,2.75,2.75,null
TSE-JittaScore,20150201,2.75,2.75,2.75,2.75,null
TSE-JittaScore,20150301,2.75,2.75,2.75,2.75,null
TSE-JittaScore,20150401,2.63,2.63,2.63,2.63,null
TSE-JittaScore,20150501,2.63,2.63,2.63,2.63,null
TSE-JittaScore,20150601,2.63,2.63,2.63,2.63,null
TSE-JittaScore,20150701,2.63,2.63,2.63,2.63,null
TSE-JittaScore,20150801,2.63,2.63,2.63,2.63,null
TSE-JittaScore,20150901,2.63,2.63,2.63,2.63,null
TSE-JittaScore,20151001,2.45,2.45,2.45,2.45,null
TSE-JittaScore,20151101,2.45,2.45,2.45,2.45,null
TSE-JittaScore,20151201,2.45,2.45,2.45,2.45,null
TSE-JittaScore,20160101,2.90,2.90,2.90,2.90,null
TSE-JittaScore,20160201,2.90,2.90,2.90,2.90,null
TSE-JittaScore,20160301,2.90,2.90,2.90,2.90,null
TSE-JittaScore,20160401,3.02,3.02,3.02,3.02,null
TSE-JittaScore,20160501,3.02,3.02,3.02,3.02,null
TSE-JittaScore,20160601,3.02,3.02,3.02,3.02,null
