<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TSE,20141001,7.25,7.25,7.25,7.25,null
TSE,20141101,8.65,8.65,8.65,8.65,null
TSE,20141201,7.80,7.80,7.80,7.80,null
TSE,20150101,7.40,7.40,7.40,7.40,null
TSE,20150201,7.90,7.90,7.90,7.90,null
TSE,20150301,6.45,6.45,6.45,6.45,null
TSE,20150401,6.70,6.70,6.70,6.70,null
TSE,20150501,6.55,6.55,6.55,6.55,null
TSE,20150601,6.65,6.65,6.65,6.65,null
TSE,20150701,6.00,6.00,6.00,6.00,null
TSE,20150801,5.65,5.65,5.65,5.65,null
TSE,20150901,5.30,5.30,5.30,5.30,null
TSE,20151001,5.40,5.40,5.40,5.40,null
TSE,20151101,4.44,4.44,4.44,4.44,null
TSE,20151201,3.80,3.80,3.80,3.80,null
TSE,20160101,3.98,3.98,3.98,3.98,null
TSE,20160201,3.78,3.78,3.78,3.78,null
TSE,20160301,4.32,4.32,4.32,4.32,null
TSE,20160401,4.20,4.20,4.20,4.20,null
TSE,20160501,4.02,4.02,4.02,4.02,null
