<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TSR-JittaLine,20100101,0.6584,0.6584,0.6584,0.6584,null
TSR-JittaLine,20100201,0.6564,0.6564,0.6564,0.6564,null
TSR-JittaLine,20100301,0.6544,0.6544,0.6544,0.6544,null
TSR-JittaLine,20100401,0.6523,0.6523,0.6523,0.6523,null
TSR-JittaLine,20100501,0.6503,0.6503,0.6503,0.6503,null
TSR-JittaLine,20100601,0.6483,0.6483,0.6483,0.6483,null
TSR-JittaLine,20100701,0.6463,0.6463,0.6463,0.6463,null
TSR-JittaLine,20100801,0.6443,0.6443,0.6443,0.6443,null
TSR-JittaLine,20100901,0.6423,0.6423,0.6423,0.6423,null
TSR-JittaLine,20101001,0.6402,0.6402,0.6402,0.6402,null
TSR-JittaLine,20101101,0.6382,0.6382,0.6382,0.6382,null
TSR-JittaLine,20101201,0.6362,0.6362,0.6362,0.6362,null
TSR-JittaLine,20110101,0.659,0.659,0.659,0.659,null
TSR-JittaLine,20110201,0.6818,0.6818,0.6818,0.6818,null
TSR-JittaLine,20110301,0.7045,0.7045,0.7045,0.7045,null
TSR-JittaLine,20110401,0.7273,0.7273,0.7273,0.7273,null
TSR-JittaLine,20110501,0.7501,0.7501,0.7501,0.7501,null
TSR-JittaLine,20110601,0.7729,0.7729,0.7729,0.7729,null
TSR-JittaLine,20110701,0.7956,0.7956,0.7956,0.7956,null
TSR-JittaLine,20110801,0.8184,0.8184,0.8184,0.8184,null
TSR-JittaLine,20110901,0.8412,0.8412,0.8412,0.8412,null
TSR-JittaLine,20111001,0.864,0.864,0.864,0.864,null
TSR-JittaLine,20111101,0.8867,0.8867,0.8867,0.8867,null
TSR-JittaLine,20111201,0.9095,0.9095,0.9095,0.9095,null
TSR-JittaLine,20120101,1.0686,1.0686,1.0686,1.0686,null
TSR-JittaLine,20120201,1.2277,1.2277,1.2277,1.2277,null
TSR-JittaLine,20120301,1.3867,1.3867,1.3867,1.3867,null
TSR-JittaLine,20120401,1.5458,1.5458,1.5458,1.5458,null
TSR-JittaLine,20120501,1.7049,1.7049,1.7049,1.7049,null
TSR-JittaLine,20120601,1.8639,1.8639,1.8639,1.8639,null
TSR-JittaLine,20120701,2.023,2.023,2.023,2.023,null
TSR-JittaLine,20120801,2.1821,2.1821,2.1821,2.1821,null
TSR-JittaLine,20120901,2.3412,2.3412,2.3412,2.3412,null
TSR-JittaLine,20121001,2.5002,2.5002,2.5002,2.5002,null
TSR-JittaLine,20121101,2.6593,2.6593,2.6593,2.6593,null
TSR-JittaLine,20121201,2.8184,2.8184,2.8184,2.8184,null
TSR-JittaLine,20130101,2.8216,2.8216,2.8216,2.8216,null
TSR-JittaLine,20130201,2.8248,2.8248,2.8248,2.8248,null
TSR-JittaLine,20130301,2.828,2.828,2.828,2.828,null
TSR-JittaLine,20130401,2.8313,2.8313,2.8313,2.8313,null
TSR-JittaLine,20130501,2.8345,2.8345,2.8345,2.8345,null
TSR-JittaLine,20130601,2.8377,2.8377,2.8377,2.8377,null
TSR-JittaLine,20130701,2.8409,2.8409,2.8409,2.8409,null
TSR-JittaLine,20130801,2.8441,2.8441,2.8441,2.8441,null
TSR-JittaLine,20130901,2.8474,2.8474,2.8474,2.8474,null
TSR-JittaLine,20131001,2.8506,2.8506,2.8506,2.8506,null
TSR-JittaLine,20131101,2.8538,2.8538,2.8538,2.8538,null
TSR-JittaLine,20131201,2.857,2.857,2.857,2.857,null
TSR-JittaLine,20140101,2.9456,2.9456,2.9456,2.9456,null
TSR-JittaLine,20140201,3.0341,3.0341,3.0341,3.0341,null
TSR-JittaLine,20140301,3.1226,3.1226,3.1226,3.1226,null
TSR-JittaLine,20140401,3.2112,3.2112,3.2112,3.2112,null
TSR-JittaLine,20140501,3.2997,3.2997,3.2997,3.2997,null
TSR-JittaLine,20140601,3.3882,3.3882,3.3882,3.3882,null
TSR-JittaLine,20140701,3.4768,3.4768,3.4768,3.4768,null
TSR-JittaLine,20140801,3.5653,3.5653,3.5653,3.5653,null
TSR-JittaLine,20140901,3.6538,3.6538,3.6538,3.6538,null
TSR-JittaLine,20141001,3.7424,3.7424,3.7424,3.7424,null
TSR-JittaLine,20141101,3.8309,3.8309,3.8309,3.8309,null
TSR-JittaLine,20141201,3.9194,3.9194,3.9194,3.9194,null
TSR-JittaLine,20150101,4.0956,4.0956,4.0956,4.0956,null
TSR-JittaLine,20150201,4.2717,4.2717,4.2717,4.2717,null
TSR-JittaLine,20150301,4.4479,4.4479,4.4479,4.4479,null
TSR-JittaLine,20150401,4.624,4.624,4.624,4.624,null
TSR-JittaLine,20150501,4.8001,4.8001,4.8001,4.8001,null
TSR-JittaLine,20150601,4.9763,4.9763,4.9763,4.9763,null
TSR-JittaLine,20150701,5.1524,5.1524,5.1524,5.1524,null
TSR-JittaLine,20150801,5.3285,5.3285,5.3285,5.3285,null
TSR-JittaLine,20150901,5.5047,5.5047,5.5047,5.5047,null
TSR-JittaLine,20151001,5.6808,5.6808,5.6808,5.6808,null
TSR-JittaLine,20151101,5.8569,5.8569,5.8569,5.8569,null
TSR-JittaLine,20151201,6.0331,6.0331,6.0331,6.0331,null
