<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TT-JittaScore,20090401,2.80,2.80,2.80,2.80,null
TT-JittaScore,20090501,2.80,2.80,2.80,2.80,null
TT-JittaScore,20090601,2.80,2.80,2.80,2.80,null
TT-JittaScore,20090701,2.92,2.92,2.92,2.92,null
TT-JittaScore,20090801,2.92,2.92,2.92,2.92,null
TT-JittaScore,20090901,2.92,2.92,2.92,2.92,null
TT-JittaScore,20091001,2.92,2.92,2.92,2.92,null
TT-JittaScore,20091101,2.92,2.92,2.92,2.92,null
TT-JittaScore,20091201,2.92,2.92,2.92,2.92,null
TT-JittaScore,20100101,3.05,3.05,3.05,3.05,null
TT-JittaScore,20100201,3.05,3.05,3.05,3.05,null
TT-JittaScore,20100301,3.05,3.05,3.05,3.05,null
TT-JittaScore,20100401,3.05,3.05,3.05,3.05,null
TT-JittaScore,20100501,3.05,3.05,3.05,3.05,null
TT-JittaScore,20100601,3.05,3.05,3.05,3.05,null
TT-JittaScore,20100701,3.10,3.10,3.10,3.10,null
TT-JittaScore,20100801,3.10,3.10,3.10,3.10,null
TT-JittaScore,20100901,3.10,3.10,3.10,3.10,null
TT-JittaScore,20101001,1.97,1.97,1.97,1.97,null
TT-JittaScore,20101101,1.97,1.97,1.97,1.97,null
TT-JittaScore,20101201,1.97,1.97,1.97,1.97,null
TT-JittaScore,20110101,2.25,2.25,2.25,2.25,null
TT-JittaScore,20110201,2.25,2.25,2.25,2.25,null
TT-JittaScore,20110301,2.25,2.25,2.25,2.25,null
TT-JittaScore,20110401,2.25,2.25,2.25,2.25,null
TT-JittaScore,20110501,2.25,2.25,2.25,2.25,null
TT-JittaScore,20110601,2.25,2.25,2.25,2.25,null
TT-JittaScore,20110701,2.50,2.50,2.50,2.50,null
TT-JittaScore,20110801,2.50,2.50,2.50,2.50,null
TT-JittaScore,20110901,2.50,2.50,2.50,2.50,null
TT-JittaScore,20111001,2.13,2.13,2.13,2.13,null
TT-JittaScore,20111101,2.13,2.13,2.13,2.13,null
TT-JittaScore,20111201,2.13,2.13,2.13,2.13,null
TT-JittaScore,20120101,1.00,1.00,1.00,1.00,null
TT-JittaScore,20120201,1.00,1.00,1.00,1.00,null
TT-JittaScore,20120301,1.00,1.00,1.00,1.00,null
TT-JittaScore,20120401,1.00,1.00,1.00,1.00,null
TT-JittaScore,20120501,1.00,1.00,1.00,1.00,null
TT-JittaScore,20120601,1.00,1.00,1.00,1.00,null
TT-JittaScore,20120701,0.75,0.75,0.75,0.75,null
TT-JittaScore,20120801,0.75,0.75,0.75,0.75,null
TT-JittaScore,20120901,0.75,0.75,0.75,0.75,null
TT-JittaScore,20121001,1.09,1.09,1.09,1.09,null
TT-JittaScore,20121101,1.09,1.09,1.09,1.09,null
TT-JittaScore,20121201,1.09,1.09,1.09,1.09,null
TT-JittaScore,20130101,2.60,2.60,2.60,2.60,null
TT-JittaScore,20130201,2.60,2.60,2.60,2.60,null
TT-JittaScore,20130301,2.60,2.60,2.60,2.60,null
TT-JittaScore,20130401,2.60,2.60,2.60,2.60,null
TT-JittaScore,20130501,2.60,2.60,2.60,2.60,null
TT-JittaScore,20130601,2.60,2.60,2.60,2.60,null
TT-JittaScore,20130701,2.65,2.65,2.65,2.65,null
TT-JittaScore,20130801,2.65,2.65,2.65,2.65,null
TT-JittaScore,20130901,2.65,2.65,2.65,2.65,null
TT-JittaScore,20131001,1.89,1.89,1.89,1.89,null
TT-JittaScore,20131101,1.89,1.89,1.89,1.89,null
TT-JittaScore,20131201,1.89,1.89,1.89,1.89,null
TT-JittaScore,20140101,1.65,1.65,1.65,1.65,null
TT-JittaScore,20140201,1.65,1.65,1.65,1.65,null
TT-JittaScore,20140301,1.65,1.65,1.65,1.65,null
TT-JittaScore,20140401,1.65,1.65,1.65,1.65,null
TT-JittaScore,20140501,1.65,1.65,1.65,1.65,null
TT-JittaScore,20140601,1.65,1.65,1.65,1.65,null
TT-JittaScore,20140701,1.10,1.10,1.10,1.10,null
TT-JittaScore,20140801,1.10,1.10,1.10,1.10,null
TT-JittaScore,20140901,1.10,1.10,1.10,1.10,null
TT-JittaScore,20141001,2.00,2.00,2.00,2.00,null
TT-JittaScore,20141101,2.00,2.00,2.00,2.00,null
TT-JittaScore,20141201,2.00,2.00,2.00,2.00,null
TT-JittaScore,20150101,1.00,1.00,1.00,1.00,null
TT-JittaScore,20150201,1.00,1.00,1.00,1.00,null
TT-JittaScore,20150301,1.00,1.00,1.00,1.00,null
TT-JittaScore,20150401,0.45,0.45,0.45,0.45,null
TT-JittaScore,20150501,0.45,0.45,0.45,0.45,null
TT-JittaScore,20150601,0.45,0.45,0.45,0.45,null
TT-JittaScore,20150701,1.25,1.25,1.25,1.25,null
TT-JittaScore,20150801,1.25,1.25,1.25,1.25,null
TT-JittaScore,20150901,1.25,1.25,1.25,1.25,null
TT-JittaScore,20151001,1.45,1.45,1.45,1.45,null
TT-JittaScore,20151101,1.45,1.45,1.45,1.45,null
TT-JittaScore,20151201,1.45,1.45,1.45,1.45,null
TT-JittaScore,20160101,2.30,2.30,2.30,2.30,null
TT-JittaScore,20160201,2.30,2.30,2.30,2.30,null
TT-JittaScore,20160301,2.30,2.30,2.30,2.30,null
TT-JittaScore,20160401,2.55,2.55,2.55,2.55,null
TT-JittaScore,20160501,2.55,2.55,2.55,2.55,null
TT-JittaScore,20160601,2.55,2.55,2.55,2.55,null
