<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TTA,20061201,19.54835904,19.54835904,19.54835904,19.54835904,7632086.03789098
TTA,20070101,20.88991309,20.88991309,20.88991309,20.88991309,6286552.51687833
TTA,20070201,21.65651541,21.65651541,21.65651541,21.65651541,6166965.46050791
TTA,20070301,21.08156367,21.08156367,21.08156367,21.08156367,6629047.10323585
TTA,20070401,25.10622582,25.10622582,25.10622582,25.10622582,8766735.85043805
TTA,20070501,28.17263508,28.17263508,28.17263508,28.17263508,12778339.9623524
TTA,20070601,30.66409261,30.66409261,30.66409261,30.66409261,10029394.628817
TTA,20070701,41.77982618,41.77982618,41.77982618,41.77982618,16359186.7999317
TTA,20070801,40.24662155,40.24662155,40.24662155,40.24662155,15260389.6016319
TTA,20070901,44.46293428,44.46293428,44.46293428,44.46293428,14584622.0103989
TTA,20071001,46.37944007,46.37944007,46.37944007,46.37944007,17011232.2136692
TTA,20071101,39.48001923,39.48001923,39.48001923,39.48001923,16877531.2679395
TTA,20071201,36.22195939,36.22195939,36.22195939,36.22195939,13446154.2005855
TTA,20080101,29.89749029,29.89749029,29.89749029,29.89749029,21916697.3216605
TTA,20080201,36.79691113,36.79691113,36.79691113,36.79691113,24075429.5065504
TTA,20080301,32.5805984,32.5805984,32.5805984,32.5805984,16331550.9398975
TTA,20080401,34.11380303,34.11380303,34.11380303,34.11380303,10871045.2022276
TTA,20080501,39.09671808,39.09671808,39.09671808,39.09671808,21219792.5599472
TTA,20080601,31.43069492,31.43069492,31.43069492,31.43069492,12423881.3282945
TTA,20080701,28.55593624,28.55593624,28.55593624,28.55593624,8025617.74284577
TTA,20080801,28.9392374,28.9392374,28.9392374,28.9392374,9925217.87214664
TTA,20080901,19.74000962,19.74000962,19.74000962,19.74000962,18697800.6560444
TTA,20081001,9.19922778,9.19922778,9.19922778,9.19922778,43021097.212784
TTA,20081101,9.88916987,9.88916987,9.88916987,9.88916987,44966698.2670542
