<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TWP-JittaScore,20061201,2.25,2.25,2.25,2.25,null
TWP-JittaScore,20070101,2.75,2.75,2.75,2.75,null
TWP-JittaScore,20070201,2.75,2.75,2.75,2.75,null
TWP-JittaScore,20070301,2.75,2.75,2.75,2.75,null
TWP-JittaScore,20070401,3.00,3.00,3.00,3.00,null
TWP-JittaScore,20070501,3.00,3.00,3.00,3.00,null
TWP-JittaScore,20070601,3.00,3.00,3.00,3.00,null
TWP-JittaScore,20070701,2.92,2.92,2.92,2.92,null
TWP-JittaScore,20070801,2.92,2.92,2.92,2.92,null
TWP-JittaScore,20070901,2.92,2.92,2.92,2.92,null
TWP-JittaScore,20071001,2.30,2.30,2.30,2.30,null
TWP-JittaScore,20071101,2.30,2.30,2.30,2.30,null
TWP-JittaScore,20071201,2.30,2.30,2.30,2.30,null
TWP-JittaScore,20080101,1.50,1.50,1.50,1.50,null
TWP-JittaScore,20080201,1.50,1.50,1.50,1.50,null
TWP-JittaScore,20080301,1.50,1.50,1.50,1.50,null
TWP-JittaScore,20080401,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20080501,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20080601,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20080701,0.95,0.95,0.95,0.95,null
TWP-JittaScore,20080801,0.95,0.95,0.95,0.95,null
TWP-JittaScore,20080901,0.95,0.95,0.95,0.95,null
TWP-JittaScore,20081001,2.70,2.70,2.70,2.70,null
TWP-JittaScore,20081101,2.70,2.70,2.70,2.70,null
TWP-JittaScore,20081201,2.70,2.70,2.70,2.70,null
TWP-JittaScore,20090101,1.40,1.40,1.40,1.40,null
TWP-JittaScore,20090201,1.40,1.40,1.40,1.40,null
TWP-JittaScore,20090301,1.40,1.40,1.40,1.40,null
TWP-JittaScore,20090401,0.85,0.85,0.85,0.85,null
TWP-JittaScore,20090501,0.85,0.85,0.85,0.85,null
TWP-JittaScore,20090601,0.85,0.85,0.85,0.85,null
TWP-JittaScore,20090701,0.85,0.85,0.85,0.85,null
TWP-JittaScore,20090801,0.85,0.85,0.85,0.85,null
TWP-JittaScore,20090901,0.85,0.85,0.85,0.85,null
TWP-JittaScore,20091001,0.40,0.40,0.40,0.40,null
TWP-JittaScore,20091101,0.40,0.40,0.40,0.40,null
TWP-JittaScore,20091201,0.40,0.40,0.40,0.40,null
TWP-JittaScore,20100101,0.30,0.30,0.30,0.30,null
TWP-JittaScore,20100201,0.30,0.30,0.30,0.30,null
TWP-JittaScore,20100301,0.30,0.30,0.30,0.30,null
TWP-JittaScore,20100401,0.55,0.55,0.55,0.55,null
TWP-JittaScore,20100501,0.55,0.55,0.55,0.55,null
TWP-JittaScore,20100601,0.55,0.55,0.55,0.55,null
TWP-JittaScore,20100701,0.55,0.55,0.55,0.55,null
TWP-JittaScore,20100801,0.55,0.55,0.55,0.55,null
TWP-JittaScore,20100901,0.55,0.55,0.55,0.55,null
TWP-JittaScore,20101001,1.35,1.35,1.35,1.35,null
TWP-JittaScore,20101101,1.35,1.35,1.35,1.35,null
TWP-JittaScore,20101201,1.35,1.35,1.35,1.35,null
TWP-JittaScore,20110101,1.10,1.10,1.10,1.10,null
TWP-JittaScore,20110201,1.10,1.10,1.10,1.10,null
TWP-JittaScore,20110301,1.10,1.10,1.10,1.10,null
TWP-JittaScore,20110401,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20110501,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20110601,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20110701,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20110801,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20110901,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20111001,1.23,1.23,1.23,1.23,null
TWP-JittaScore,20111101,1.23,1.23,1.23,1.23,null
TWP-JittaScore,20111201,1.23,1.23,1.23,1.23,null
TWP-JittaScore,20120101,1.73,1.73,1.73,1.73,null
TWP-JittaScore,20120201,1.73,1.73,1.73,1.73,null
TWP-JittaScore,20120301,1.73,1.73,1.73,1.73,null
TWP-JittaScore,20120401,1.43,1.43,1.43,1.43,null
TWP-JittaScore,20120501,1.43,1.43,1.43,1.43,null
TWP-JittaScore,20120601,1.43,1.43,1.43,1.43,null
TWP-JittaScore,20120701,1.48,1.48,1.48,1.48,null
TWP-JittaScore,20120801,1.48,1.48,1.48,1.48,null
TWP-JittaScore,20120901,1.48,1.48,1.48,1.48,null
TWP-JittaScore,20121001,1.50,1.50,1.50,1.50,null
TWP-JittaScore,20121101,1.50,1.50,1.50,1.50,null
TWP-JittaScore,20121201,1.50,1.50,1.50,1.50,null
TWP-JittaScore,20130101,2.80,2.80,2.80,2.80,null
TWP-JittaScore,20130201,2.80,2.80,2.80,2.80,null
TWP-JittaScore,20130301,2.80,2.80,2.80,2.80,null
TWP-JittaScore,20130401,2.67,2.67,2.67,2.67,null
TWP-JittaScore,20130501,2.67,2.67,2.67,2.67,null
TWP-JittaScore,20130601,2.67,2.67,2.67,2.67,null
TWP-JittaScore,20130701,2.67,2.67,2.67,2.67,null
TWP-JittaScore,20130801,2.67,2.67,2.67,2.67,null
TWP-JittaScore,20130901,2.67,2.67,2.67,2.67,null
TWP-JittaScore,20131001,4.95,4.95,4.95,4.95,null
TWP-JittaScore,20131101,4.95,4.95,4.95,4.95,null
TWP-JittaScore,20131201,4.95,4.95,4.95,4.95,null
TWP-JittaScore,20140101,5.50,5.50,5.50,5.50,null
TWP-JittaScore,20140201,5.50,5.50,5.50,5.50,null
TWP-JittaScore,20140301,5.50,5.50,5.50,5.50,null
TWP-JittaScore,20140401,5.53,5.53,5.53,5.53,null
TWP-JittaScore,20140501,5.53,5.53,5.53,5.53,null
TWP-JittaScore,20140601,5.53,5.53,5.53,5.53,null
TWP-JittaScore,20140701,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20140801,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20140901,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20141001,4.85,4.85,4.85,4.85,null
TWP-JittaScore,20141101,4.85,4.85,4.85,4.85,null
TWP-JittaScore,20141201,4.85,4.85,4.85,4.85,null
TWP-JittaScore,20150101,5.55,5.55,5.55,5.55,null
TWP-JittaScore,20150201,5.55,5.55,5.55,5.55,null
TWP-JittaScore,20150301,5.55,5.55,5.55,5.55,null
TWP-JittaScore,20150401,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20150501,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20150601,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20150701,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20150801,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20150901,5.00,5.00,5.00,5.00,null
TWP-JittaScore,20151001,4.00,4.00,4.00,4.00,null
TWP-JittaScore,20151101,4.00,4.00,4.00,4.00,null
TWP-JittaScore,20151201,4.00,4.00,4.00,4.00,null
TWP-JittaScore,20160101,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20160201,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20160301,1.20,1.20,1.20,1.20,null
TWP-JittaScore,20160401,0.65,0.65,0.65,0.65,null
TWP-JittaScore,20160501,0.65,0.65,0.65,0.65,null
TWP-JittaScore,20160601,0.65,0.65,0.65,0.65,null
