<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TYCN-JittaLine,20061201,0.2815,0.2815,0.2815,0.2815,null
TYCN-JittaLine,20070101,0.3428,0.3428,0.3428,0.3428,null
TYCN-JittaLine,20070201,0.4042,0.4042,0.4042,0.4042,null
TYCN-JittaLine,20070301,0.4655,0.4655,0.4655,0.4655,null
TYCN-JittaLine,20070401,0.5269,0.5269,0.5269,0.5269,null
TYCN-JittaLine,20070501,0.5882,0.5882,0.5882,0.5882,null
TYCN-JittaLine,20070601,0.6496,0.6496,0.6496,0.6496,null
TYCN-JittaLine,20070701,0.7109,0.7109,0.7109,0.7109,null
TYCN-JittaLine,20070801,0.7722,0.7722,0.7722,0.7722,null
TYCN-JittaLine,20070901,0.8336,0.8336,0.8336,0.8336,null
TYCN-JittaLine,20071001,0.8949,0.8949,0.8949,0.8949,null
TYCN-JittaLine,20071101,0.9563,0.9563,0.9563,0.9563,null
TYCN-JittaLine,20071201,1.0176,1.0176,1.0176,1.0176,null
TYCN-JittaLine,20080101,1.1036,1.1036,1.1036,1.1036,null
TYCN-JittaLine,20080201,1.1896,1.1896,1.1896,1.1896,null
TYCN-JittaLine,20080301,1.2756,1.2756,1.2756,1.2756,null
TYCN-JittaLine,20080401,1.3616,1.3616,1.3616,1.3616,null
TYCN-JittaLine,20080501,1.4476,1.4476,1.4476,1.4476,null
TYCN-JittaLine,20080601,1.5336,1.5336,1.5336,1.5336,null
TYCN-JittaLine,20080701,1.6195,1.6195,1.6195,1.6195,null
TYCN-JittaLine,20080801,1.7055,1.7055,1.7055,1.7055,null
TYCN-JittaLine,20080901,1.7915,1.7915,1.7915,1.7915,null
TYCN-JittaLine,20081001,1.8775,1.8775,1.8775,1.8775,null
TYCN-JittaLine,20081101,1.9635,1.9635,1.9635,1.9635,null
TYCN-JittaLine,20081201,2.0495,2.0495,2.0495,2.0495,null
TYCN-JittaLine,20090101,0.1237,0.1237,0.1237,0.1237,null
TYCN-JittaLine,20100801,0.0677,0.0677,0.0677,0.0677,null
TYCN-JittaLine,20100901,2.7086,2.7086,2.7086,2.7086,null
TYCN-JittaLine,20101001,5.3496,5.3496,5.3496,5.3496,null
TYCN-JittaLine,20101101,7.9905,7.9905,7.9905,7.9905,null
TYCN-JittaLine,20101201,10.6314,10.6314,10.6314,10.6314,null
TYCN-JittaLine,20110101,10.6629,10.6629,10.6629,10.6629,null
TYCN-JittaLine,20110201,10.6943,10.6943,10.6943,10.6943,null
TYCN-JittaLine,20110301,10.7257,10.7257,10.7257,10.7257,null
TYCN-JittaLine,20110401,10.7571,10.7571,10.7571,10.7571,null
TYCN-JittaLine,20110501,10.7886,10.7886,10.7886,10.7886,null
TYCN-JittaLine,20110601,10.82,10.82,10.82,10.82,null
TYCN-JittaLine,20110701,10.8514,10.8514,10.8514,10.8514,null
TYCN-JittaLine,20110801,10.8828,10.8828,10.8828,10.8828,null
TYCN-JittaLine,20110901,10.9143,10.9143,10.9143,10.9143,null
TYCN-JittaLine,20111001,10.9457,10.9457,10.9457,10.9457,null
TYCN-JittaLine,20111101,10.9771,10.9771,10.9771,10.9771,null
TYCN-JittaLine,20111201,11.0085,11.0085,11.0085,11.0085,null
TYCN-JittaLine,20120101,10.041,10.041,10.041,10.041,null
TYCN-JittaLine,20120201,9.0735,9.0735,9.0735,9.0735,null
TYCN-JittaLine,20120301,8.1061,8.1061,8.1061,8.1061,null
TYCN-JittaLine,20120401,7.1386,7.1386,7.1386,7.1386,null
TYCN-JittaLine,20120501,6.1711,6.1711,6.1711,6.1711,null
TYCN-JittaLine,20120601,5.2036,5.2036,5.2036,5.2036,null
TYCN-JittaLine,20120701,4.2361,4.2361,4.2361,4.2361,null
TYCN-JittaLine,20120801,3.2686,3.2686,3.2686,3.2686,null
TYCN-JittaLine,20120901,2.3011,2.3011,2.3011,2.3011,null
TYCN-JittaLine,20121001,1.3336,1.3336,1.3336,1.3336,null
TYCN-JittaLine,20121101,0.3661,0.3661,0.3661,0.3661,null
TYCN-JittaLine,20140701,0.6175,0.6175,0.6175,0.6175,null
TYCN-JittaLine,20140801,1.45,1.45,1.45,1.45,null
TYCN-JittaLine,20140901,2.2824,2.2824,2.2824,2.2824,null
TYCN-JittaLine,20141001,3.1148,3.1148,3.1148,3.1148,null
TYCN-JittaLine,20141101,3.9473,3.9473,3.9473,3.9473,null
TYCN-JittaLine,20141201,4.7797,4.7797,4.7797,4.7797,null
TYCN-JittaLine,20150101,4.1372,4.1372,4.1372,4.1372,null
TYCN-JittaLine,20150201,3.4947,3.4947,3.4947,3.4947,null
TYCN-JittaLine,20150301,2.8521,2.8521,2.8521,2.8521,null
TYCN-JittaLine,20150401,2.2096,2.2096,2.2096,2.2096,null
TYCN-JittaLine,20150501,1.5671,1.5671,1.5671,1.5671,null
TYCN-JittaLine,20150601,0.9246,0.9246,0.9246,0.9246,null
TYCN-JittaLine,20150701,0.2821,0.2821,0.2821,0.2821,null
