<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UBIS-JittaLine,20061201,3.0691,3.0691,3.0691,3.0691,null
UBIS-JittaLine,20070101,3.1699,3.1699,3.1699,3.1699,null
UBIS-JittaLine,20070201,3.2708,3.2708,3.2708,3.2708,null
UBIS-JittaLine,20070301,3.3717,3.3717,3.3717,3.3717,null
UBIS-JittaLine,20070401,3.4725,3.4725,3.4725,3.4725,null
UBIS-JittaLine,20070501,3.5734,3.5734,3.5734,3.5734,null
UBIS-JittaLine,20070601,3.6742,3.6742,3.6742,3.6742,null
UBIS-JittaLine,20070701,3.7751,3.7751,3.7751,3.7751,null
UBIS-JittaLine,20070801,3.876,3.876,3.876,3.876,null
UBIS-JittaLine,20070901,3.9768,3.9768,3.9768,3.9768,null
UBIS-JittaLine,20071001,4.0777,4.0777,4.0777,4.0777,null
UBIS-JittaLine,20071101,4.1785,4.1785,4.1785,4.1785,null
UBIS-JittaLine,20071201,4.2794,4.2794,4.2794,4.2794,null
UBIS-JittaLine,20080101,4.2744,4.2744,4.2744,4.2744,null
UBIS-JittaLine,20080201,4.2695,4.2695,4.2695,4.2695,null
UBIS-JittaLine,20080301,4.2645,4.2645,4.2645,4.2645,null
UBIS-JittaLine,20080401,4.2595,4.2595,4.2595,4.2595,null
UBIS-JittaLine,20080501,4.2545,4.2545,4.2545,4.2545,null
UBIS-JittaLine,20080601,4.2495,4.2495,4.2495,4.2495,null
UBIS-JittaLine,20080701,4.2446,4.2446,4.2446,4.2446,null
UBIS-JittaLine,20080801,4.2396,4.2396,4.2396,4.2396,null
UBIS-JittaLine,20080901,4.2346,4.2346,4.2346,4.2346,null
UBIS-JittaLine,20081001,4.2296,4.2296,4.2296,4.2296,null
UBIS-JittaLine,20081101,4.2246,4.2246,4.2246,4.2246,null
UBIS-JittaLine,20081201,4.2197,4.2197,4.2197,4.2197,null
UBIS-JittaLine,20090101,4.2071,4.2071,4.2071,4.2071,null
UBIS-JittaLine,20090201,4.1945,4.1945,4.1945,4.1945,null
UBIS-JittaLine,20090301,4.1819,4.1819,4.1819,4.1819,null
