<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UPF-JittaLine,20061201,73.0667,73.0667,73.0667,73.0667,null
UPF-JittaLine,20070101,70.035,70.035,70.035,70.035,null
UPF-JittaLine,20070201,67.0033,67.0033,67.0033,67.0033,null
UPF-JittaLine,20070301,63.9716,63.9716,63.9716,63.9716,null
UPF-JittaLine,20070401,60.9399,60.9399,60.9399,60.9399,null
UPF-JittaLine,20070501,57.9082,57.9082,57.9082,57.9082,null
UPF-JittaLine,20070601,54.8765,54.8765,54.8765,54.8765,null
UPF-JittaLine,20070701,51.8448,51.8448,51.8448,51.8448,null
UPF-JittaLine,20070801,48.8131,48.8131,48.8131,48.8131,null
UPF-JittaLine,20070901,45.7814,45.7814,45.7814,45.7814,null
UPF-JittaLine,20071001,42.7497,42.7497,42.7497,42.7497,null
UPF-JittaLine,20071101,39.718,39.718,39.718,39.718,null
UPF-JittaLine,20071201,36.6863,36.6863,36.6863,36.6863,null
UPF-JittaLine,20080101,36.3637,36.3637,36.3637,36.3637,null
UPF-JittaLine,20080201,36.0411,36.0411,36.0411,36.0411,null
UPF-JittaLine,20080301,35.7185,35.7185,35.7185,35.7185,null
UPF-JittaLine,20080401,35.396,35.396,35.396,35.396,null
UPF-JittaLine,20080501,35.0734,35.0734,35.0734,35.0734,null
UPF-JittaLine,20080601,34.7508,34.7508,34.7508,34.7508,null
UPF-JittaLine,20080701,34.4282,34.4282,34.4282,34.4282,null
UPF-JittaLine,20080801,34.1056,34.1056,34.1056,34.1056,null
UPF-JittaLine,20080901,33.783,33.783,33.783,33.783,null
UPF-JittaLine,20081001,33.4605,33.4605,33.4605,33.4605,null
UPF-JittaLine,20081101,33.1379,33.1379,33.1379,33.1379,null
UPF-JittaLine,20081201,32.8153,32.8153,32.8153,32.8153,null
UPF-JittaLine,20090101,46.6487,46.6487,46.6487,46.6487,null
UPF-JittaLine,20090201,60.4821,60.4821,60.4821,60.4821,null
UPF-JittaLine,20090301,74.3155,74.3155,74.3155,74.3155,null
UPF-JittaLine,20090401,88.1489,88.1489,88.1489,88.1489,null
UPF-JittaLine,20090501,101.9823,101.9823,101.9823,101.9823,null
UPF-JittaLine,20090601,115.8157,115.8157,115.8157,115.8157,null
UPF-JittaLine,20090701,129.6491,129.6491,129.6491,129.6491,null
UPF-JittaLine,20090801,143.4825,143.4825,143.4825,143.4825,null
UPF-JittaLine,20090901,157.3159,157.3159,157.3159,157.3159,null
UPF-JittaLine,20091001,171.1493,171.1493,171.1493,171.1493,null
UPF-JittaLine,20091101,184.9827,184.9827,184.9827,184.9827,null
UPF-JittaLine,20091201,198.8161,198.8161,198.8161,198.8161,null
UPF-JittaLine,20100101,191.2176,191.2176,191.2176,191.2176,null
UPF-JittaLine,20100201,183.6191,183.6191,183.6191,183.6191,null
UPF-JittaLine,20100301,176.0206,176.0206,176.0206,176.0206,null
UPF-JittaLine,20100401,168.4221,168.4221,168.4221,168.4221,null
UPF-JittaLine,20100501,160.8235,160.8235,160.8235,160.8235,null
UPF-JittaLine,20100601,153.225,153.225,153.225,153.225,null
UPF-JittaLine,20100701,145.6265,145.6265,145.6265,145.6265,null
UPF-JittaLine,20100801,138.028,138.028,138.028,138.028,null
UPF-JittaLine,20100901,130.4295,130.4295,130.4295,130.4295,null
UPF-JittaLine,20101001,122.831,122.831,122.831,122.831,null
UPF-JittaLine,20101101,115.2325,115.2325,115.2325,115.2325,null
UPF-JittaLine,20101201,107.6339,107.6339,107.6339,107.6339,null
UPF-JittaLine,20110101,106.6557,106.6557,106.6557,106.6557,null
UPF-JittaLine,20110201,105.6774,105.6774,105.6774,105.6774,null
UPF-JittaLine,20110301,104.6992,104.6992,104.6992,104.6992,null
UPF-JittaLine,20110401,103.7209,103.7209,103.7209,103.7209,null
UPF-JittaLine,20110501,102.7427,102.7427,102.7427,102.7427,null
UPF-JittaLine,20110601,101.7644,101.7644,101.7644,101.7644,null
UPF-JittaLine,20110701,100.7862,100.7862,100.7862,100.7862,null
UPF-JittaLine,20110801,99.8079,99.8079,99.8079,99.8079,null
UPF-JittaLine,20110901,98.8297,98.8297,98.8297,98.8297,null
UPF-JittaLine,20111001,97.8514,97.8514,97.8514,97.8514,null
UPF-JittaLine,20111101,96.8732,96.8732,96.8732,96.8732,null
UPF-JittaLine,20111201,95.8949,95.8949,95.8949,95.8949,null
UPF-JittaLine,20120101,96.6466,96.6466,96.6466,96.6466,null
UPF-JittaLine,20120201,97.3983,97.3983,97.3983,97.3983,null
UPF-JittaLine,20120301,98.15,98.15,98.15,98.15,null
UPF-JittaLine,20120401,98.9016,98.9016,98.9016,98.9016,null
UPF-JittaLine,20120501,99.6533,99.6533,99.6533,99.6533,null
UPF-JittaLine,20120601,100.405,100.405,100.405,100.405,null
UPF-JittaLine,20120701,101.1567,101.1567,101.1567,101.1567,null
UPF-JittaLine,20120801,101.9084,101.9084,101.9084,101.9084,null
UPF-JittaLine,20120901,102.66,102.66,102.66,102.66,null
UPF-JittaLine,20121001,103.4117,103.4117,103.4117,103.4117,null
UPF-JittaLine,20121101,104.1634,104.1634,104.1634,104.1634,null
UPF-JittaLine,20121201,104.9151,104.9151,104.9151,104.9151,null
UPF-JittaLine,20130101,102.8273,102.8273,102.8273,102.8273,null
UPF-JittaLine,20130201,100.7395,100.7395,100.7395,100.7395,null
UPF-JittaLine,20130301,98.6516,98.6516,98.6516,98.6516,null
UPF-JittaLine,20130401,96.5638,96.5638,96.5638,96.5638,null
UPF-JittaLine,20130501,94.476,94.476,94.476,94.476,null
UPF-JittaLine,20130601,92.3882,92.3882,92.3882,92.3882,null
UPF-JittaLine,20130701,90.3004,90.3004,90.3004,90.3004,null
UPF-JittaLine,20130801,88.2126,88.2126,88.2126,88.2126,null
UPF-JittaLine,20130901,86.1248,86.1248,86.1248,86.1248,null
UPF-JittaLine,20131001,84.037,84.037,84.037,84.037,null
UPF-JittaLine,20131101,81.9491,81.9491,81.9491,81.9491,null
UPF-JittaLine,20131201,79.8613,79.8613,79.8613,79.8613,null
UPF-JittaLine,20140101,78.6319,78.6319,78.6319,78.6319,null
UPF-JittaLine,20140201,77.4025,77.4025,77.4025,77.4025,null
UPF-JittaLine,20140301,76.1731,76.1731,76.1731,76.1731,null
UPF-JittaLine,20140401,74.9437,74.9437,74.9437,74.9437,null
UPF-JittaLine,20140501,73.7143,73.7143,73.7143,73.7143,null
UPF-JittaLine,20140601,72.4848,72.4848,72.4848,72.4848,null
UPF-JittaLine,20140701,71.2554,71.2554,71.2554,71.2554,null
UPF-JittaLine,20140801,70.026,70.026,70.026,70.026,null
UPF-JittaLine,20140901,68.7966,68.7966,68.7966,68.7966,null
UPF-JittaLine,20141001,67.5672,67.5672,67.5672,67.5672,null
UPF-JittaLine,20141101,66.3378,66.3378,66.3378,66.3378,null
UPF-JittaLine,20141201,65.1084,65.1084,65.1084,65.1084,null
UPF-JittaLine,20150101,65.8953,65.8953,65.8953,65.8953,null
UPF-JittaLine,20150201,66.6823,66.6823,66.6823,66.6823,null
UPF-JittaLine,20150301,67.4693,67.4693,67.4693,67.4693,null
UPF-JittaLine,20150401,68.2563,68.2563,68.2563,68.2563,null
UPF-JittaLine,20150501,69.0433,69.0433,69.0433,69.0433,null
UPF-JittaLine,20150601,69.8303,69.8303,69.8303,69.8303,null
UPF-JittaLine,20150701,70.6173,70.6173,70.6173,70.6173,null
UPF-JittaLine,20150801,71.4042,71.4042,71.4042,71.4042,null
UPF-JittaLine,20150901,72.1912,72.1912,72.1912,72.1912,null
UPF-JittaLine,20151001,72.9782,72.9782,72.9782,72.9782,null
UPF-JittaLine,20151101,73.7652,73.7652,73.7652,73.7652,null
UPF-JittaLine,20151201,74.5522,74.5522,74.5522,74.5522,null
