<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UREKA,20130601,1.72,1.72,1.72,1.72,1830235.11012688
UREKA,20130701,1.71,1.71,1.71,1.71,651254.34527075
UREKA,20130801,1.52,1.52,1.52,1.52,496077.5425262
UREKA,20130901,1.58,1.58,1.58,1.58,998177.77873862
UREKA,20131001,1.83,1.83,1.83,1.83,1510115.81826211
UREKA,20131101,1.78,1.78,1.78,1.78,377438.43100578
UREKA,20131201,1.63,1.63,1.63,1.63,200282.79530248
UREKA,20140101,1.64,1.64,1.64,1.64,119976.51222842
UREKA,20140201,1.70,1.70,1.70,1.70,2243314.05085642
UREKA,20140301,1.78,1.78,1.78,1.78,4542446.86424648
UREKA,20140401,1.81,1.81,1.81,1.81,2681287.13894621
UREKA,20140501,1.55,1.55,1.55,1.55,2065891.71370634
UREKA,20140601,1.58,1.58,1.58,1.58,1265649.78606132
UREKA,20140701,1.62,1.62,1.62,1.62,3062116.02427489
UREKA,20140801,1.60,1.60,1.60,1.60,2440475.60162148
UREKA,20140901,1.64,1.64,1.64,1.64,3047274.63438125
UREKA,20141001,1.60,1.60,1.60,1.60,1485602.34400136
UREKA,20141101,1.64,1.64,1.64,1.64,2587037.62011989
UREKA,20141201,1.88,1.88,1.88,1.88,4811272.78805048
UREKA,20150101,2.33,2.33,2.33,2.33,26480600.7693345
UREKA,20150201,2.16,2.16,2.16,2.16,4042374.09223471
UREKA,20150301,1.36,1.36,1.36,1.36,15645971.4285714
UREKA,20150401,1.39,1.39,1.39,1.39,1392555.55555556
UREKA,20150501,1.10,1.10,1.10,1.10,4671055.55555556
UREKA,20160101,1.44,1.44,1.44,1.44,null
UREKA,20160201,1.37,1.37,1.37,1.37,null
UREKA,20160301,1.31,1.31,1.31,1.31,null
UREKA,20160401,1.23,1.23,1.23,1.23,null
UREKA,20160501,1.08,1.08,1.08,1.08,null
