<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VNT-JittaScore,20061201,4.83,4.83,4.83,4.83,null
VNT-JittaScore,20070101,1.38,1.38,1.38,1.38,null
VNT-JittaScore,20070201,1.38,1.38,1.38,1.38,null
VNT-JittaScore,20070301,1.38,1.38,1.38,1.38,null
VNT-JittaScore,20070401,1.07,1.07,1.07,1.07,null
VNT-JittaScore,20070501,1.07,1.07,1.07,1.07,null
VNT-JittaScore,20070601,1.07,1.07,1.07,1.07,null
VNT-JittaScore,20070701,0.82,0.82,0.82,0.82,null
VNT-JittaScore,20070801,0.82,0.82,0.82,0.82,null
VNT-JittaScore,20070901,0.82,0.82,0.82,0.82,null
VNT-JittaScore,20071001,1.10,1.10,1.10,1.10,null
VNT-JittaScore,20071101,1.10,1.10,1.10,1.10,null
VNT-JittaScore,20071201,1.10,1.10,1.10,1.10,null
VNT-JittaScore,20080101,3.85,3.85,3.85,3.85,null
VNT-JittaScore,20080201,3.85,3.85,3.85,3.85,null
VNT-JittaScore,20080301,3.85,3.85,3.85,3.85,null
VNT-JittaScore,20080401,3.67,3.67,3.67,3.67,null
VNT-JittaScore,20080501,3.67,3.67,3.67,3.67,null
VNT-JittaScore,20080601,3.67,3.67,3.67,3.67,null
VNT-JittaScore,20080701,4.10,4.10,4.10,4.10,null
VNT-JittaScore,20080801,4.10,4.10,4.10,4.10,null
VNT-JittaScore,20080901,4.10,4.10,4.10,4.10,null
VNT-JittaScore,20081001,3.65,3.65,3.65,3.65,null
VNT-JittaScore,20081101,3.65,3.65,3.65,3.65,null
VNT-JittaScore,20081201,3.65,3.65,3.65,3.65,null
VNT-JittaScore,20090101,3.45,3.45,3.45,3.45,null
VNT-JittaScore,20090201,3.45,3.45,3.45,3.45,null
VNT-JittaScore,20090301,3.45,3.45,3.45,3.45,null
VNT-JittaScore,20090401,3.33,3.33,3.33,3.33,null
VNT-JittaScore,20090501,3.33,3.33,3.33,3.33,null
VNT-JittaScore,20090601,3.33,3.33,3.33,3.33,null
VNT-JittaScore,20090701,2.90,2.90,2.90,2.90,null
VNT-JittaScore,20090801,2.90,2.90,2.90,2.90,null
VNT-JittaScore,20090901,2.90,2.90,2.90,2.90,null
VNT-JittaScore,20091001,3.65,3.65,3.65,3.65,null
VNT-JittaScore,20091101,3.65,3.65,3.65,3.65,null
VNT-JittaScore,20091201,3.65,3.65,3.65,3.65,null
VNT-JittaScore,20100101,3.15,3.15,3.15,3.15,null
VNT-JittaScore,20100201,3.15,3.15,3.15,3.15,null
VNT-JittaScore,20100301,3.15,3.15,3.15,3.15,null
VNT-JittaScore,20100401,2.90,2.90,2.90,2.90,null
VNT-JittaScore,20100501,2.90,2.90,2.90,2.90,null
VNT-JittaScore,20100601,2.90,2.90,2.90,2.90,null
VNT-JittaScore,20100701,3.20,3.20,3.20,3.20,null
VNT-JittaScore,20100801,3.20,3.20,3.20,3.20,null
VNT-JittaScore,20100901,3.20,3.20,3.20,3.20,null
VNT-JittaScore,20101001,4.70,4.70,4.70,4.70,null
VNT-JittaScore,20101101,4.70,4.70,4.70,4.70,null
VNT-JittaScore,20101201,4.70,4.70,4.70,4.70,null
VNT-JittaScore,20110101,4.95,4.95,4.95,4.95,null
VNT-JittaScore,20110201,4.95,4.95,4.95,4.95,null
VNT-JittaScore,20110301,4.95,4.95,4.95,4.95,null
VNT-JittaScore,20110401,4.75,4.75,4.75,4.75,null
VNT-JittaScore,20110501,4.75,4.75,4.75,4.75,null
