<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WIIK-JittaScore,20061201,4.85,4.85,4.85,4.85,null
WIIK-JittaScore,20070101,2.20,2.20,2.20,2.20,null
WIIK-JittaScore,20070201,2.20,2.20,2.20,2.20,null
WIIK-JittaScore,20070301,2.20,2.20,2.20,2.20,null
WIIK-JittaScore,20070401,2.45,2.45,2.45,2.45,null
WIIK-JittaScore,20070501,2.45,2.45,2.45,2.45,null
WIIK-JittaScore,20070601,2.45,2.45,2.45,2.45,null
WIIK-JittaScore,20070701,2.45,2.45,2.45,2.45,null
WIIK-JittaScore,20070801,2.45,2.45,2.45,2.45,null
WIIK-JittaScore,20070901,2.45,2.45,2.45,2.45,null
WIIK-JittaScore,20071001,2.55,2.55,2.55,2.55,null
WIIK-JittaScore,20071101,2.55,2.55,2.55,2.55,null
WIIK-JittaScore,20071201,2.55,2.55,2.55,2.55,null
WIIK-JittaScore,20080101,1.70,1.70,1.70,1.70,null
WIIK-JittaScore,20080201,1.70,1.70,1.70,1.70,null
WIIK-JittaScore,20080301,1.70,1.70,1.70,1.70,null
WIIK-JittaScore,20080401,1.15,1.15,1.15,1.15,null
WIIK-JittaScore,20080501,1.15,1.15,1.15,1.15,null
WIIK-JittaScore,20080601,1.15,1.15,1.15,1.15,null
WIIK-JittaScore,20080701,1.15,1.15,1.15,1.15,null
WIIK-JittaScore,20080801,1.15,1.15,1.15,1.15,null
WIIK-JittaScore,20080901,1.15,1.15,1.15,1.15,null
WIIK-JittaScore,20081001,2.25,2.25,2.25,2.25,null
WIIK-JittaScore,20081101,2.25,2.25,2.25,2.25,null
WIIK-JittaScore,20081201,2.25,2.25,2.25,2.25,null
WIIK-JittaScore,20090101,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090201,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090301,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090401,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090501,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090601,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090701,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090801,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20090901,2.85,2.85,2.85,2.85,null
WIIK-JittaScore,20091001,2.85,2.85,2.85,2.85,null
