<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WORK,20061201,12.48823585,12.48823585,12.48823585,12.48823585,132606.57639421
WORK,20070101,12.88558881,12.88558881,12.88558881,12.88558881,53427.47862901
WORK,20070201,13.05588294,13.05588294,13.05588294,13.05588294,125903.69963852
WORK,20070301,12.54500056,12.54500056,12.54500056,12.54500056,123974.95041002
WORK,20070401,12.37470644,12.37470644,12.37470644,12.37470644,122407.30397826
WORK,20070501,12.37470644,12.37470644,12.37470644,12.37470644,46794.98128201
WORK,20070601,11.63676523,11.63676523,11.63676523,11.63676523,1349932.79336022
WORK,20070701,11.75029464,11.75029464,11.75029464,11.75029464,1784290.95295029
WORK,20070801,11.52323581,11.52323581,11.52323581,11.52323581,433657.78108234
WORK,20070901,11.63676523,11.63676523,11.63676523,11.63676523,176881.17924753
WORK,20071001,11.29617698,11.29617698,11.29617698,11.29617698,161389.70817139
WORK,20071101,10.95558873,10.95558873,10.95558873,10.95558873,52826.11523319
WORK,20071201,11.06911814,11.06911814,11.06911814,11.06911814,78379.38041295
WORK,20080101,9.93382397,9.93382397,9.93382397,9.93382397,60478.38489955
WORK,20080201,9.99058868,9.99058868,9.99058868,9.99058868,112708.70491652
WORK,20080301,9.25264747,9.25264747,9.25264747,9.25264747,117383.28638002
WORK,20080401,9.25264747,9.25264747,9.25264747,9.25264747,36906.56418474
WORK,20080501,8.62823568,8.62823568,8.62823568,8.62823568,162823.61908108
WORK,20080601,7.77676505,7.77676505,7.77676505,7.77676505,104334.95826602
WORK,20080701,6.35764734,6.35764734,6.35764734,6.35764734,66783.30662001
WORK,20080801,4.96691199,4.96691199,4.96691199,4.96691199,381044.84758206
WORK,20080901,4.05867665,4.05867665,4.05867665,4.05867665,306703.28640959
WORK,20081001,3.00852955,3.00852955,3.00852955,3.00852955,384005.52821597
WORK,20081101,2.724706,2.724706,2.724706,2.724706,256313.64747454
WORK,20081201,2.81552954,2.81552954,2.81552954,2.81552954,374429.85022806
WORK,20090101,2.6679413,2.6679413,2.6679413,2.6679413,293264.88269405
WORK,20090201,2.724706,2.724706,2.724706,2.724706,206490.7068774
WORK,20090301,2.46358835,2.46358835,2.46358835,2.46358835,204458.25155003
WORK,20090401,2.98014719,2.98014719,2.98014719,2.98014719,391581.78781173
WORK,20090501,2.724706,2.724706,2.724706,2.724706,928296.85090348
WORK,20090601,2.78147071,2.78147071,2.78147071,2.78147071,831416.71288786
WORK,20090701,2.83823542,2.83823542,2.83823542,2.83823542,364533.60418656
WORK,20090801,2.95176484,2.95176484,2.95176484,2.95176484,659819.73607211
WORK,20090901,4.17220607,4.17220607,4.17220607,4.17220607,1053459.80588881
WORK,20091001,3.74647076,3.74647076,3.74647076,3.74647076,384224.84631006
WORK,20091101,3.74647076,3.74647076,3.74647076,3.74647076,149166.60700002
WORK,20091201,3.94514724,3.94514724,3.94514724,3.94514724,155592.43776303
WORK,20100101,3.86000017,3.86000017,3.86000017,3.86000017,125229.94990802
WORK,20100201,3.97352959,3.97352959,3.97352959,3.97352959,75407.46983701
WORK,20100301,3.86000017,3.86000017,3.86000017,3.86000017,143420.3971773
WORK,20100401,3.86000017,3.86000017,3.86000017,3.86000017,79668.71813251
WORK,20100501,3.97352959,3.97352959,3.97352959,3.97352959,155039.0004844
WORK,20100601,4.20058842,4.20058842,4.20058842,4.20058842,96488.5977682
WORK,20100701,5.36426495,5.36426495,5.36426495,5.36426495,442382.32304707
WORK,20100801,6.41441205,6.41441205,6.41441205,6.41441205,1039412.08423517
WORK,20100901,6.64147089,6.64147089,6.64147089,6.64147089,183129.47220276
WORK,20101001,7.94705918,7.94705918,7.94705918,7.94705918,1580993.11760275
WORK,20101101,6.7550003,6.7550003,6.7550003,6.7550003,1502390.30813479
WORK,20101201,6.86852972,6.86852972,6.86852972,6.86852972,126664.94933402
WORK,20110101,6.86852972,6.86852972,6.86852972,6.86852972,414146.08434157
WORK,20110201,7.32264739,7.32264739,7.32264739,7.32264739,212670.96756319
