<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WORLD-JittaLine,20100101,0.0114,0.0114,0.0114,0.0114,null
WORLD-JittaLine,20100201,0.0558,0.0558,0.0558,0.0558,null
WORLD-JittaLine,20100301,0.1002,0.1002,0.1002,0.1002,null
WORLD-JittaLine,20100401,0.1447,0.1447,0.1447,0.1447,null
WORLD-JittaLine,20100501,0.1891,0.1891,0.1891,0.1891,null
WORLD-JittaLine,20100601,0.2335,0.2335,0.2335,0.2335,null
WORLD-JittaLine,20100701,0.278,0.278,0.278,0.278,null
WORLD-JittaLine,20100801,0.3224,0.3224,0.3224,0.3224,null
WORLD-JittaLine,20100901,0.3668,0.3668,0.3668,0.3668,null
WORLD-JittaLine,20101001,0.4113,0.4113,0.4113,0.4113,null
WORLD-JittaLine,20101101,0.4557,0.4557,0.4557,0.4557,null
WORLD-JittaLine,20101201,0.5001,0.5001,0.5001,0.5001,null
WORLD-JittaLine,20110101,0.5031,0.5031,0.5031,0.5031,null
WORLD-JittaLine,20110201,0.5061,0.5061,0.5061,0.5061,null
WORLD-JittaLine,20110301,0.5091,0.5091,0.5091,0.5091,null
WORLD-JittaLine,20110401,0.512,0.512,0.512,0.512,null
WORLD-JittaLine,20110501,0.515,0.515,0.515,0.515,null
WORLD-JittaLine,20110601,0.518,0.518,0.518,0.518,null
WORLD-JittaLine,20110701,0.5209,0.5209,0.5209,0.5209,null
WORLD-JittaLine,20110801,0.5239,0.5239,0.5239,0.5239,null
WORLD-JittaLine,20110901,0.5269,0.5269,0.5269,0.5269,null
WORLD-JittaLine,20111001,0.5298,0.5298,0.5298,0.5298,null
WORLD-JittaLine,20111101,0.5328,0.5328,0.5328,0.5328,null
WORLD-JittaLine,20111201,0.5358,0.5358,0.5358,0.5358,null
WORLD-JittaLine,20120101,0.4565,0.4565,0.4565,0.4565,null
WORLD-JittaLine,20120201,0.3773,0.3773,0.3773,0.3773,null
WORLD-JittaLine,20120301,0.298,0.298,0.298,0.298,null
WORLD-JittaLine,20120401,0.2187,0.2187,0.2187,0.2187,null
WORLD-JittaLine,20120501,0.1395,0.1395,0.1395,0.1395,null
WORLD-JittaLine,20120601,0.0602,0.0602,0.0602,0.0602,null
WORLD-JittaLine,20140101,0.007,0.007,0.007,0.007,null
WORLD-JittaLine,20140201,0.022,0.022,0.022,0.022,null
WORLD-JittaLine,20140301,0.037,0.037,0.037,0.037,null
WORLD-JittaLine,20140401,0.052,0.052,0.052,0.052,null
WORLD-JittaLine,20140501,0.067,0.067,0.067,0.067,null
WORLD-JittaLine,20140601,0.0704,0.0704,0.0704,0.0704,null
WORLD-JittaLine,20140701,0.0738,0.0738,0.0738,0.0738,null
WORLD-JittaLine,20140801,0.0772,0.0772,0.0772,0.0772,null
WORLD-JittaLine,20140901,0.0805,0.0805,0.0805,0.0805,null
WORLD-JittaLine,20141001,0.0839,0.0839,0.0839,0.0839,null
WORLD-JittaLine,20141101,0.0873,0.0873,0.0873,0.0873,null
WORLD-JittaLine,20141201,0.0907,0.0907,0.0907,0.0907,null
WORLD-JittaLine,20150101,0.0941,0.0941,0.0941,0.0941,null
WORLD-JittaLine,20150201,0.0975,0.0975,0.0975,0.0975,null
WORLD-JittaLine,20150301,0.1008,0.1008,0.1008,0.1008,null
WORLD-JittaLine,20150401,0.1042,0.1042,0.1042,0.1042,null
WORLD-JittaLine,20150501,0.1076,0.1076,0.1076,0.1076,null
WORLD-JittaLine,20150601,0.1103,0.1103,0.1103,0.1103,null
WORLD-JittaLine,20150701,0.113,0.113,0.113,0.113,null
WORLD-JittaLine,20150801,0.1157,0.1157,0.1157,0.1157,null
WORLD-JittaLine,20150901,0.1184,0.1184,0.1184,0.1184,null
WORLD-JittaLine,20151001,0.1211,0.1211,0.1211,0.1211,null
WORLD-JittaLine,20151101,0.1237,0.1237,0.1237,0.1237,null
WORLD-JittaLine,20151201,0.1264,0.1264,0.1264,0.1264,null
WORLD-JittaLine,20160101,0.1291,0.1291,0.1291,0.1291,null
WORLD-JittaLine,20160201,0.1318,0.1318,0.1318,0.1318,null
WORLD-JittaLine,20160301,0.1345,0.1345,0.1345,0.1345,null
WORLD-JittaLine,20160401,0.1372,0.1372,0.1372,0.1372,null
WORLD-JittaLine,20160501,0.1399,0.1399,0.1399,0.1399,null
