<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XO-JittaLine,20110301,0.021,0.021,0.021,0.021,null
XO-JittaLine,20110401,0.0786,0.0786,0.0786,0.0786,null
XO-JittaLine,20110501,0.1362,0.1362,0.1362,0.1362,null
XO-JittaLine,20110601,0.1938,0.1938,0.1938,0.1938,null
XO-JittaLine,20110701,0.2513,0.2513,0.2513,0.2513,null
XO-JittaLine,20110801,0.3089,0.3089,0.3089,0.3089,null
XO-JittaLine,20110901,0.3665,0.3665,0.3665,0.3665,null
XO-JittaLine,20111001,0.4241,0.4241,0.4241,0.4241,null
XO-JittaLine,20111101,0.4817,0.4817,0.4817,0.4817,null
XO-JittaLine,20111201,0.5393,0.5393,0.5393,0.5393,null
XO-JittaLine,20120101,0.6378,0.6378,0.6378,0.6378,null
XO-JittaLine,20120201,0.7363,0.7363,0.7363,0.7363,null
XO-JittaLine,20120301,0.8348,0.8348,0.8348,0.8348,null
XO-JittaLine,20120401,0.9333,0.9333,0.9333,0.9333,null
XO-JittaLine,20120501,1.0318,1.0318,1.0318,1.0318,null
XO-JittaLine,20120601,1.1303,1.1303,1.1303,1.1303,null
XO-JittaLine,20120701,1.2288,1.2288,1.2288,1.2288,null
XO-JittaLine,20120801,1.3273,1.3273,1.3273,1.3273,null
XO-JittaLine,20120901,1.4258,1.4258,1.4258,1.4258,null
XO-JittaLine,20121001,1.5243,1.5243,1.5243,1.5243,null
XO-JittaLine,20121101,1.6228,1.6228,1.6228,1.6228,null
XO-JittaLine,20121201,1.7213,1.7213,1.7213,1.7213,null
XO-JittaLine,20130101,1.6449,1.6449,1.6449,1.6449,null
XO-JittaLine,20130201,1.5685,1.5685,1.5685,1.5685,null
XO-JittaLine,20130301,1.4922,1.4922,1.4922,1.4922,null
XO-JittaLine,20130401,1.4158,1.4158,1.4158,1.4158,null
XO-JittaLine,20130501,1.3395,1.3395,1.3395,1.3395,null
XO-JittaLine,20130601,1.2631,1.2631,1.2631,1.2631,null
XO-JittaLine,20130701,1.1867,1.1867,1.1867,1.1867,null
XO-JittaLine,20130801,1.1104,1.1104,1.1104,1.1104,null
XO-JittaLine,20130901,1.034,1.034,1.034,1.034,null
XO-JittaLine,20131001,0.9576,0.9576,0.9576,0.9576,null
XO-JittaLine,20131101,0.8813,0.8813,0.8813,0.8813,null
XO-JittaLine,20131201,0.8049,0.8049,0.8049,0.8049,null
XO-JittaLine,20140101,0.9851,0.9851,0.9851,0.9851,null
XO-JittaLine,20140201,1.1653,1.1653,1.1653,1.1653,null
XO-JittaLine,20140301,1.3455,1.3455,1.3455,1.3455,null
XO-JittaLine,20140401,1.5257,1.5257,1.5257,1.5257,null
XO-JittaLine,20140501,1.7059,1.7059,1.7059,1.7059,null
XO-JittaLine,20140601,1.8861,1.8861,1.8861,1.8861,null
XO-JittaLine,20140701,2.0663,2.0663,2.0663,2.0663,null
XO-JittaLine,20140801,2.2465,2.2465,2.2465,2.2465,null
XO-JittaLine,20140901,2.4267,2.4267,2.4267,2.4267,null
XO-JittaLine,20141001,2.6069,2.6069,2.6069,2.6069,null
XO-JittaLine,20141101,2.7871,2.7871,2.7871,2.7871,null
XO-JittaLine,20141201,2.9673,2.9673,2.9673,2.9673,null
XO-JittaLine,20150101,2.9598,2.9598,2.9598,2.9598,null
XO-JittaLine,20150201,2.9523,2.9523,2.9523,2.9523,null
XO-JittaLine,20150301,2.9448,2.9448,2.9448,2.9448,null
XO-JittaLine,20150401,2.9373,2.9373,2.9373,2.9373,null
XO-JittaLine,20150501,2.9297,2.9297,2.9297,2.9297,null
XO-JittaLine,20150601,2.9222,2.9222,2.9222,2.9222,null
XO-JittaLine,20150701,2.9147,2.9147,2.9147,2.9147,null
XO-JittaLine,20150801,2.9072,2.9072,2.9072,2.9072,null
XO-JittaLine,20150901,2.8997,2.8997,2.8997,2.8997,null
XO-JittaLine,20151001,2.8922,2.8922,2.8922,2.8922,null
XO-JittaLine,20151101,2.8847,2.8847,2.8847,2.8847,null
XO-JittaLine,20151201,2.8771,2.8771,2.8771,2.8771,null
XO-JittaLine,20160101,2.8249,2.8249,2.8249,2.8249,null
XO-JittaLine,20160201,2.7727,2.7727,2.7727,2.7727,null
XO-JittaLine,20160301,2.7206,2.7206,2.7206,2.7206,null
XO-JittaLine,20160401,2.6684,2.6684,2.6684,2.6684,null
XO-JittaLine,20160501,2.6162,2.6162,2.6162,2.6162,null
XO-JittaLine,20160601,2.564,2.564,2.564,2.564,null
XO-JittaLine,20160701,2.5118,2.5118,2.5118,2.5118,null
XO-JittaLine,20160801,2.4596,2.4596,2.4596,2.4596,null
XO-JittaLine,20160901,2.4074,2.4074,2.4074,2.4074,null
XO-JittaLine,20161001,2.3552,2.3552,2.3552,2.3552,null
XO-JittaLine,20161101,2.303,2.303,2.303,2.303,null
XO-JittaLine,20161201,2.2508,2.2508,2.2508,2.2508,null
