<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ABICO,19900427,37.26135334,51.81102464,36.19674324,46.8428442,2932904.74463588
ABICO,19900430,46.48797417,51.45615461,42.22953378,42.22953378,1632146.83713788
ABICO,19900502,42.22953378,44.00388394,38.32596343,38.32596343,952461.37940712
ABICO,19900503,37.26135334,37.26135334,34.77726312,35.84187321,1117028.67099699
ABICO,19900504,34.77726312,36.90648331,34.77726312,36.55161328,743934.33184461
ABICO,19900509,37.26135334,37.26135334,35.48700318,36.19674324,331388.92963987
ABICO,19900510,35.84187321,35.84187321,32.64804293,32.64804293,304336.77211825
ABICO,19900511,31.93830286,31.93830286,29.45421264,29.45421264,747315.85153482
ABICO,19900514,28.03473251,28.03473251,26.61525239,26.61525239,630089.83560779
ABICO,19900515,23.95372715,25.72807731,23.95372715,23.95372715,1349226.35639091
ABICO,19900516,23.77629213,26.26038235,22.356812,25.72807731,999802.65506996
ABICO,19900517,23.77629213,26.61525239,23.24398708,24.84090223,479048.62277873
ABICO,19900518,24.66346721,24.66346721,23.95372715,24.30859718,119480.36238717
ABICO,19900521,24.30859718,24.66346721,23.77629213,24.13116216,325753.06348954
ABICO,19900522,24.30859718,24.48603219,23.4214221,24.13116216,140896.65375845
ABICO,19900523,24.13116216,24.13116216,21.82450696,21.82450696,298700.90596791
ABICO,19900524,22.356812,23.95372715,22.356812,23.06655207,245723.76415474
ABICO,19900525,22.53424702,24.84090223,22.53424702,23.95372715,223180.29955338
ABICO,19900528,23.4214221,23.95372715,22.71168204,23.59885711,140896.65375845
ABICO,19900529,23.59885711,23.59885711,22.17937699,23.06655207,200636.83495203
ABICO,19900530,22.71168204,23.06655207,22.17937699,23.06655207,134133.61437804
ABICO,19900531,22.71168204,23.4214221,22.17937699,23.4214221,105954.28362635
ABICO,19900601,22.356812,22.71168204,21.64707194,22.53424702,99191.24424595
ABICO,19900604,22.71168204,24.66346721,22.71168204,24.66346721,493701.87476961
ABICO,19900605,24.84090223,25.72807731,22.356812,22.356812,206272.70110237
ABICO,19900606,22.53424702,23.06655207,22.53424702,23.06655207,101445.59070608
ABICO,19900607,23.06655207,23.77629213,23.06655207,23.24398708,117226.01592703
ABICO,19900608,23.24398708,23.4214221,22.356812,23.4214221,145405.34667872
ABICO,19900611,22.88911705,22.88911705,21.11476689,21.11476689,161185.77189967
ABICO,19900612,20.93733188,22.356812,20.93733188,22.00194197,108208.63008649
ABICO,19900613,21.82450696,22.00194197,21.29220191,21.82450696,110462.97654662
ABICO,19900614,21.29220191,21.29220191,20.58246184,20.93733188,109335.80331656
ABICO,19900615,21.11476689,21.11476689,20.40502683,20.93733188,37196.71659223
ABICO,19900618,20.58246184,21.29220191,20.58246184,20.93733188,38323.8898223
ABICO,19900619,20.40502683,21.29220191,20.40502683,21.29220191,29306.50398176
ABICO,19900620,20.93733188,21.29220191,20.58246184,20.93733188,108208.63008649
ABICO,19900621,21.11476689,21.11476689,20.40502683,20.40502683,59740.18119358
ABICO,19900622,19.87272178,20.40502683,19.87272178,20.40502683,80029.2993348
ABICO,19900625,19.69528676,21.29220191,19.69528676,20.40502683,54104.31504324
ABICO,19900626,20.40502683,20.75989686,20.0501568,20.0501568,65376.04734392
ABICO,19900627,19.87272178,20.0501568,19.69528676,20.0501568,67630.39380406
ABICO,19900628,20.0501568,20.0501568,19.51785175,19.51785175,56358.66150338
ABICO,19900629,19.51785175,19.51785175,18.63067667,18.63067667,66503.22057399
ABICO,19900702,19.16298172,19.16298172,17.92093661,17.92093661,65376.04734392
ABICO,19900703,18.09837162,19.69528676,17.38863156,19.69528676,85665.16548514
ABICO,19900704,20.58246184,21.29220191,19.16298172,19.16298172,169075.98451014
ABICO,19900705,19.16298172,19.51785175,18.45324165,18.63067667,14653.25199088
