<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACD,20051208,6.542994,7.3512462,6.2350884,6.350553,null
ACD,20051209,6.4660176,6.6584586,6.158112,6.3890412,null
ACD,20051213,6.4660176,6.9663642,6.4660176,6.8508996,null
ACD,20051214,6.8508996,6.9663642,6.8508996,6.9663642,null
ACD,20051215,7.0048524,7.120317,7.0048524,7.120317,null
ACD,20051216,7.1588052,7.4282226,7.120317,7.3897344,null
ACD,20051219,7.4667108,7.6591518,7.3897344,7.6206636,null
ACD,20051220,7.6591518,8.2364748,7.6591518,7.7746164,null
ACD,20051221,7.8515928,7.9285692,7.6591518,7.6591518,null
ACD,20051222,7.7746164,8.3134512,7.7746164,8.1594984,null
ACD,20051223,8.1594984,8.1594984,7.9285692,8.0055456,null
ACD,20051226,8.0055456,8.082522,7.7746164,7.9285692,null
ACD,20051227,8.0055456,8.5443804,8.0055456,8.467404,null
ACD,20051228,8.467404,8.5443804,8.3134512,8.5443804,462219.58938064
ACD,20051229,8.5443804,8.6983332,8.467404,8.6213568,884297.00531592
ACD,20051230,8.6983332,8.6983332,8.3904276,8.467404,454684.81248798
ACD,20060103,8.467404,8.6213568,8.467404,8.467404,null
ACD,20060104,8.5443804,8.852286,8.467404,8.852286,null
ACD,20060105,8.852286,9.0062388,8.7753096,8.9292624,null
ACD,20060106,8.9292624,9.5450736,8.9292624,9.5450736,null
ACD,20060109,9.3911208,9.9299556,9.3911208,9.6990264,null
ACD,20060110,9.6990264,9.6990264,9.1601916,9.1601916,null
ACD,20060111,9.1601916,9.4680972,9.0832152,9.0832152,null
ACD,20060112,9.0832152,9.3141444,8.852286,9.3141444,null
ACD,20060113,9.237168,9.3911208,9.0062388,9.0062388,null
ACD,20060116,9.0062388,9.0062388,8.467404,8.852286,null
ACD,20060117,8.6983332,9.0832152,8.467404,8.467404,null
ACD,20060118,8.2364748,8.3134512,8.0055456,8.082522,null
ACD,20060119,8.1594984,8.3134512,8.1594984,8.2364748,null
ACD,20060120,8.082522,8.3134512,8.0055456,8.3134512,null
ACD,20060123,8.3904276,8.5443804,8.3134512,8.3134512,null
ACD,20060124,8.467404,8.467404,8.2364748,8.3904276,null
ACD,20060125,8.3904276,8.3904276,8.0055456,8.0055456,null
ACD,20060126,8.082522,8.3134512,8.0055456,8.0055456,null
ACD,20060127,7.8515928,7.8515928,7.312758,7.5436872,null
ACD,20060130,7.312758,7.312758,6.2350884,6.542994,null
ACD,20060131,6.3890412,6.5045058,6.158112,6.4660176,null
ACD,20060201,6.3890412,6.927876,5.965671,6.6584586,null
ACD,20060202,6.1196238,6.350553,5.77323,6.350553,null
ACD,20060203,6.542994,6.542994,6.542994,6.542994,null
ACD,20060206,6.350553,6.350553,5.9271828,6.158112,null
ACD,20060207,6.158112,6.158112,6.1196238,6.158112,null
ACD,20060208,6.2350884,6.2735766,6.158112,6.158112,null
ACD,20060209,6.2350884,6.2350884,6.1196238,6.1196238,null
ACD,20060210,6.2350884,7.9285692,6.2350884,7.3512462,null
ACD,20060214,7.4667108,7.8515928,7.3897344,7.505199,null
ACD,20060215,7.5821754,9.62205,7.5436872,9.62205,null
ACD,20060216,9.3911208,11.8543656,9.3911208,10.4687904,null
ACD,20060217,11.2385544,11.931342,10.6227432,11.0076252,null
ACD,20060220,11.0846016,11.4694836,10.6227432,10.6227432,null
ACD,20060221,10.9306488,12.701106,10.6227432,12.701106,null
ACD,20060222,12.316224,12.701106,11.8543656,12.316224,null
ACD,20060223,12.3932004,12.3932004,12.0852948,12.1622712,null
ACD,20060224,12.0852948,12.1622712,11.54646,11.54646,null
ACD,20060227,10.8536724,11.54646,10.8536724,11.2385544,null
ACD,20060228,11.3925072,11.3925072,10.776696,10.776696,null
ACD,20060301,10.6227432,11.161578,10.391814,10.4687904,null
ACD,20060302,10.8536724,12.1622712,10.006932,12.0852948,null
ACD,20060303,12.2392476,13.2399408,11.931342,13.0090116,null
ACD,20060306,13.3169172,14.7024924,13.3169172,14.625516,null
ACD,20060307,14.8564452,15.3183036,14.5485396,15.3183036,null
ACD,20060308,15.5492328,16.165044,14.9334216,16.165044,null
ACD,20060309,16.3959732,16.7038788,16.0880676,16.549926,null
ACD,20060310,16.549926,17.0887608,16.4729496,16.6269024,null
ACD,20060313,16.6269024,17.9355012,16.549926,17.9355012,null
ACD,20060314,18.089454,21.745833,18.0124776,21.745833,null
ACD,20060315,21.745833,22.130715,21.553392,21.938274,null
ACD,20060316,21.938274,22.130715,19.2441,20.783628,null
ACD,20060317,20.783628,22.900479,20.398746,22.708038,null
ACD,20060320,22.708038,24.824889,22.130715,23.285361,null
ACD,20060321,23.477802,26.556858,23.477802,26.556858,null
ACD,20060322,25.979535,26.364417,24.247566,25.594653,null
ACD,20060323,25.01733,26.364417,25.01733,26.364417,null
ACD,20060324,26.364417,26.556858,25.594653,26.556858,null
ACD,20060327,26.171976,26.749299,25.209771,25.209771,null
ACD,20060328,25.209771,26.171976,24.247566,26.171976,null
ACD,20060329,25.979535,26.749299,25.594653,25.594653,null
ACD,20060330,25.787094,26.556858,25.209771,26.171976,null
ACD,20060331,25.979535,26.556858,25.594653,25.787094,null
ACD,20060403,25.787094,25.787094,24.055125,24.055125,null
ACD,20060404,24.632448,25.01733,22.323156,22.708038,null
ACD,20060405,22.900479,24.632448,20.013864,24.632448,null
ACD,20060407,24.247566,26.364417,22.900479,26.364417,null
ACD,20060410,25.594653,30.020796,25.594653,29.251032,null
ACD,20060411,29.443473,29.635914,25.594653,26.749299,null
ACD,20060412,26.94174,27.519063,26.171976,26.364417,null
ACD,20060417,26.364417,27.903945,23.09292,23.09292,null
ACD,20060418,23.09292,23.670243,20.976069,20.976069,null
ACD,20060420,20.398746,21.553392,17.6275956,19.821423,null
ACD,20060421,19.821423,19.821423,17.31969,17.31969,null
ACD,20060424,17.31969,18.3203832,15.8571384,16.6269024,null
ACD,20060425,16.7808552,17.4736428,16.165044,16.4729496,null
ACD,20060426,16.6269024,17.0117844,16.165044,16.3189968,null
ACD,20060427,16.3959732,16.549926,15.7031856,15.7031856,null
ACD,20060428,15.780162,16.165044,15.0873744,16.165044,null
ACD,20060502,16.549926,16.549926,15.39528,15.39528,null
ACD,20060503,15.4722564,15.8571384,15.3183036,15.4722564,null
ACD,20060504,15.39528,17.2427136,15.3183036,17.2427136,null
ACD,20060508,17.7815484,19.0901472,17.704572,18.3973596,null
ACD,20060509,18.859218,18.9361944,17.3966664,17.4736428,null
ACD,20060510,17.5506192,18.2434068,17.3966664,17.9355012,null
ACD,20060511,17.9355012,17.9355012,15.2413272,15.39528,null
ACD,20060515,15.2413272,15.39528,14.625516,15.39528,null
ACD,20060516,15.5492328,16.2420204,15.1643508,15.9341148,null
ACD,20060517,15.780162,15.780162,15.010398,15.010398,null
ACD,20060518,14.625516,14.8564452,14.240634,14.625516,null
ACD,20060519,14.625516,16.4729496,14.5485396,16.4729496,null
ACD,20060522,16.549926,16.7038788,15.6262092,15.6262092,null
ACD,20060523,15.7031856,16.8578316,15.5492328,16.6269024,null
ACD,20060524,16.7808552,16.7808552,16.0110912,16.165044,null
ACD,20060525,16.165044,16.165044,15.780162,15.8571384,null
