<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIT,20030730,6.90298245,6.96517148,5.69651525,5.97014699,90025522.209738
AIT,20030731,5.92039576,5.9950226,5.74626647,5.77114209,20771347.8931213
AIT,20030801,5.89552015,6.04477382,5.84576892,5.89552015,27503242.4512442
AIT,20030804,5.92039576,5.94527137,5.77114209,5.7960177,5295548.01231057
AIT,20030805,5.87064454,5.92039576,5.77114209,5.7960177,7083644.6917881
AIT,20030806,5.77114209,5.87064454,5.74626647,5.7960177,3608353.37117587
AIT,20030807,5.9950226,6.1940275,5.94527137,5.9950226,27194908.3340771
AIT,20030808,6.04477382,6.06964943,5.89552015,5.92039576,8669535.29442723
AIT,20030811,5.97014699,6.04477382,5.94527137,5.94527137,8273967.14411115
AIT,20030813,5.9950226,5.9950226,5.82089331,5.84576892,6200450.35617386
AIT,20030814,5.84576892,6.01989821,5.7960177,5.82089331,11664838.4326437
AIT,20030815,5.87064454,5.87064454,5.7960177,5.7960177,3194293.21383283
AIT,20030818,5.82089331,5.92039576,5.82089331,5.82089331,4054171.54058697
AIT,20030819,5.87064454,5.92039576,5.82089331,5.82089331,4136179.57175006
AIT,20030820,5.84576892,5.97014699,5.7960177,5.89552015,9998949.79960532
AIT,20030821,5.92039576,6.04477382,5.87064454,5.89552015,10267887.9018019
AIT,20030822,5.92039576,5.92039576,5.84576892,5.87064454,3922717.49063437
AIT,20030825,5.89552015,5.92039576,5.7960177,5.7960177,3073693.16800476
AIT,20030826,5.82089331,5.84576892,5.7960177,5.82089331,2326776.88417624
AIT,20030827,5.84576892,6.11940066,5.7960177,6.04477382,23021744.7482731
AIT,20030828,6.14427627,6.34328117,6.04477382,6.11940066,17308920.5773974
AIT,20030829,6.11940066,6.65422633,6.11940066,6.65422633,17970612.8288408
AIT,20030901,6.84079342,7.33830567,6.77860439,7.15173858,26701654.1466403
AIT,20030902,7.33830567,7.64925082,7.08954954,7.27611664,19552483.4299523
AIT,20030903,7.4004947,7.4004947,7.02736051,7.02736051,4821187.8320535
AIT,20030904,7.08954954,7.21392761,6.77860439,6.90298245,3970957.5089656
AIT,20030905,7.02736051,7.15173858,6.90298245,7.08954954,4119697.56548689
AIT,20030908,7.08954954,7.15173858,7.02736051,7.02736051,1521972.57835025
AIT,20030909,7.08954954,7.52487276,7.02736051,7.08954954,9603381.64928925
AIT,20030910,7.15173858,7.21392761,6.96517148,6.96517148,2299440.87378854
AIT,20030911,7.02736051,7.02736051,6.84079342,6.90298245,3093793.17564277
AIT,20030912,6.96517148,7.21392761,6.84079342,7.02736051,3395293.29021294
AIT,20030915,7.15173858,7.21392761,6.84079342,6.84079342,2105274.80000535
AIT,20030916,6.96517148,7.64925082,6.96517148,7.33830567,14367887.4598036
AIT,20030917,7.71143986,8.02238501,7.4004947,7.46268373,16348542.2124532
AIT,20030918,7.71143986,8.2089521,7.27611664,8.2089521,11269270.2823277
AIT,20030919,8.33333017,8.76865338,8.02238501,8.51989726,12834256.8770233
AIT,20030922,8.58208629,10.07462304,8.58208629,9.45273273,35691985.5629702
AIT,20030923,9.51492176,9.51492176,8.83084242,9.2039766,9568407.63599911
AIT,20030924,9.32835466,9.95024498,9.07959854,9.14178757,5030227.91148882
AIT,20030925,9.2039766,9.45273273,9.14178757,9.2039766,4130953.56976417
AIT,20030926,9.32835466,9.51492176,9.2039766,9.26616563,2088792.79374218
AIT,20030929,9.2039766,9.76367788,9.2039766,9.3905437,3264241.24041311
