<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AQ,19910510,252.002246133254,260.54469515472,222.957919460269,224.666409264562,3380295.26748568
AQ,19910513,224.666409264562,246.876776720374,214.415470438803,228.083388873149,2002821.43411181
AQ,19910514,221.249429655976,248.585266524667,221.249429655976,238.334327698908,2462759.79489416
AQ,19910515,243.459797111788,246.876776720374,234.917348090322,241.751307307494,1859888.18429881
AQ,19910516,245.168286916081,245.168286916081,234.917348090322,245.168286916081,1071121.40523251
AQ,19910517,240.042817503201,252.002246133254,236.625837894615,252.002246133254,1532230.39050146
AQ,19910520,250.293756328961,265.6701645676,250.293756328961,257.127715546134,2179702.79403599
AQ,19910521,263.961674763307,263.961674763307,255.41922574184,258.836205350427,1512446.83667804
AQ,19910522,260.54469515472,262.253184959013,241.751307307494,252.002246133254,1305480.42744841
AQ,19910523,248.585266524667,258.836205350427,243.459797111788,258.836205350427,1229623.96071719
AQ,19910524,252.002246133254,262.253184959013,248.585266524667,262.253184959013,1213586.40525087
AQ,19910527,255.41922574184,269.087144176186,253.710735937547,265.6701645676,1369864.77421102
AQ,19910529,265.6701645676,269.087144176186,258.836205350427,258.836205350427,509338.714116574
AQ,19910530,262.253184959013,262.253184959013,252.002246133254,253.710735937547,283291.125755484
AQ,19910531,254.564980839694,263.10742986116,252.856491035401,257.98196044828,466025.608112637
AQ,19910603,257.98196044828,261.398940056867,252.856491035401,259.690450252574,500559.030467127
AQ,19910604,259.690450252574,264.815919665453,259.690450252574,263.10742986116,656954.46187594
AQ,19910605,263.10742986116,266.524409469747,261.398940056867,264.815919665453,571030.62456002
AQ,19910606,264.815919665453,266.524409469747,261.398940056867,264.815919665453,374833.960607049
AQ,19910607,288.734776925559,290.443266729852,268.23289927404,288.734776925559,2051285.28785675
AQ,19910610,298.985715751318,300.694205555611,288.734776925559,293.860246338439,1201763.09793628
AQ,19910611,295.568736142732,297.277225947025,290.443266729852,292.151756534145,744751.298370408
AQ,19910612,292.151756534145,295.568736142732,288.734776925559,292.151756534145,518820.772457977
AQ,19910613,292.151756534145,292.151756534145,285.317797316972,288.734776925559,284344.687793417
AQ,19910614,287.026287121266,293.860246338439,280.192327904093,292.151756534145,746507.235100297
AQ,19910617,297.277225947025,307.528164772784,295.568736142732,305.819674968491,1073345.59175704
AQ,19910618,316.070613794251,322.904573011424,312.653634185664,319.487593402837,1251514.63861648
AQ,19910619,322.904573011424,326.32155262001,309.236654577078,316.070613794251,1021721.05189829
AQ,19910620,319.487593402837,319.487593402837,298.985715751318,304.111185164198,723680.057611736
AQ,19910621,307.528164772784,310.945144381371,300.694205555611,309.236654577078,647706.528431856
AQ,19910624,309.236654577078,309.236654577078,290.443266729852,298.985715751318,536146.014859552
