<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ASK,20050825,9.2094379,9.75116955,8.03568601,8.03568601,null
ASK,20050826,8.17111892,8.21626323,7.17794425,7.31337716,null
ASK,20050829,7.17794425,7.26823286,6.90707843,6.90707843,null
ASK,20050830,7.04251134,7.53909868,7.04251134,7.31337716,null
ASK,20050831,7.31337716,7.31337716,6.95222273,6.95222273,null
ASK,20050901,7.04251134,7.13279995,6.95222273,6.95222273,null
ASK,20050902,7.04251134,7.31337716,6.99736703,7.04251134,null
ASK,20050905,7.13279995,7.17794425,7.04251134,7.04251134,null
ASK,20050906,7.04251134,7.26823286,7.04251134,7.13279995,null
ASK,20050907,7.17794425,7.22308855,6.95222273,6.95222273,null
ASK,20050908,6.99736703,7.08765564,6.99736703,6.99736703,null
ASK,20050909,7.04251134,7.13279995,6.86193412,6.90707843,null
ASK,20050912,7.04251134,7.04251134,6.90707843,6.99736703,null
ASK,20050913,7.04251134,7.04251134,6.90707843,6.90707843,null
ASK,20050914,6.95222273,7.04251134,6.90707843,6.95222273,null
ASK,20050915,6.99736703,7.31337716,6.95222273,7.04251134,null
ASK,20050916,7.08765564,7.08765564,6.95222273,6.99736703,null
ASK,20050919,7.04251134,7.04251134,6.99736703,6.99736703,null
ASK,20050920,6.99736703,7.08765564,6.95222273,7.08765564,null
ASK,20050921,7.08765564,7.17794425,6.95222273,6.95222273,null
ASK,20050922,6.95222273,7.04251134,6.95222273,6.99736703,null
ASK,20050923,6.99736703,7.22308855,6.99736703,6.99736703,null
ASK,20050926,7.04251134,7.04251134,6.95222273,6.95222273,null
ASK,20050927,6.99736703,7.04251134,6.95222273,6.95222273,null
ASK,20050928,7.04251134,7.17794425,6.99736703,7.04251134,null
ASK,20050929,7.40366577,7.53909868,7.31337716,7.31337716,null
ASK,20050930,7.40366577,7.40366577,7.26823286,7.26823286,null
ASK,20051003,7.26823286,7.31337716,7.17794425,7.26823286,null
ASK,20051004,7.26823286,7.40366577,7.26823286,7.35852146,null
ASK,20051005,7.35852146,7.40366577,7.31337716,7.35852146,null
ASK,20051006,7.31337716,7.35852146,7.31337716,7.31337716,null
ASK,20051007,6.77164552,6.77164552,6.68135691,6.68135691,null
ASK,20051010,6.68135691,6.68135691,6.5007797,6.5007797,null
ASK,20051011,6.545924,6.545924,6.32020248,6.36534679,null
ASK,20051012,6.41049109,6.63621261,6.41049109,6.5910683,null
ASK,20051013,6.68135691,6.68135691,6.545924,6.68135691,null
ASK,20051014,6.68135691,6.77164552,6.63621261,6.77164552,null
ASK,20051017,6.77164552,6.86193412,6.72650121,6.86193412,null
ASK,20051018,6.86193412,6.95222273,6.77164552,6.90707843,null
ASK,20051019,6.90707843,6.95222273,6.81678982,6.95222273,null
ASK,20051020,6.99736703,6.99736703,6.90707843,6.95222273,null
ASK,20051021,6.95222273,6.99736703,6.86193412,6.99736703,null
ASK,20051025,6.77164552,6.95222273,6.72650121,6.77164552,null
ASK,20051026,6.68135691,6.90707843,6.68135691,6.90707843,null
ASK,20051027,6.86193412,6.90707843,6.77164552,6.90707843,null
ASK,20051028,6.81678982,6.90707843,6.77164552,6.86193412,null
ASK,20051031,6.90707843,6.90707843,6.86193412,6.86193412,null
ASK,20051101,6.90707843,6.90707843,6.77164552,6.86193412,null
ASK,20051102,6.86193412,6.90707843,6.81678982,6.81678982,null
ASK,20051103,6.86193412,6.90707843,6.86193412,6.90707843,null
ASK,20051104,6.86193412,6.90707843,6.81678982,6.90707843,null
ASK,20051107,6.86193412,6.90707843,6.81678982,6.86193412,null
ASK,20051108,6.90707843,6.90707843,6.86193412,6.90707843,null
ASK,20051109,6.86193412,6.99736703,6.81678982,6.99736703,null
ASK,20051110,6.95222273,6.95222273,6.86193412,6.95222273,null
ASK,20051111,6.95222273,6.95222273,6.90707843,6.95222273,null
ASK,20051114,6.86193412,6.95222273,6.68135691,6.95222273,null
ASK,20051115,6.81678982,6.95222273,6.68135691,6.95222273,null
ASK,20051116,6.86193412,6.90707843,6.81678982,6.90707843,null
ASK,20051117,6.86193412,6.86193412,6.77164552,6.86193412,null
ASK,20051118,6.77164552,6.95222273,6.77164552,6.95222273,null
ASK,20051121,6.95222273,6.95222273,6.86193412,6.95222273,null
ASK,20051122,6.95222273,6.99736703,6.90707843,6.95222273,null
ASK,20051123,6.95222273,6.95222273,6.68135691,6.90707843,null
ASK,20051124,6.90707843,6.95222273,6.86193412,6.95222273,null
ASK,20051125,6.95222273,6.99736703,6.81678982,6.99736703,null
ASK,20051128,6.99736703,6.99736703,6.95222273,6.99736703,null
ASK,20051129,6.95222273,6.95222273,6.86193412,6.95222273,null
ASK,20051130,6.95222273,6.99736703,6.77164552,6.90707843,null
ASK,20051201,6.81678982,6.81678982,6.68135691,6.68135691,null
ASK,20051202,6.81678982,6.81678982,6.5910683,6.81678982,null
ASK,20051206,6.72650121,6.90707843,6.72650121,6.86193412,null
ASK,20051207,6.77164552,6.86193412,6.77164552,6.86193412,null
ASK,20051208,6.77164552,6.86193412,6.77164552,6.86193412,null
