<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAFS,20020404,5.01333133,6.61333069,5.01333133,6.61333069,364698895.879558
BAFS,20020405,6.93333056,8.10666342,6.87999725,7.14666381,326900755.760302
BAFS,20020409,7.19999712,7.35999706,6.77333062,6.93333056,118160672.264269
BAFS,20020410,7.0933305,7.67999693,6.71999731,7.62666362,165343191.137276
BAFS,20020411,7.83999686,7.9999968,7.46666368,7.51999699,161476939.590776
BAFS,20020412,7.41333037,7.5733303,7.25333043,7.25333043,80484407.1937629
BAFS,20020417,7.46666368,7.73333024,7.35999706,7.5733303,104456291.782517
BAFS,20020418,7.62666362,7.78666355,7.46666368,7.46666368,84403158.7612635
BAFS,20020419,7.5733303,7.62666362,7.0933305,7.25333043,49751269.900508
BAFS,20020422,7.35999706,7.35999706,7.0933305,7.14666381,29898761.9595048
BAFS,20020423,7.19999712,7.19999712,6.87999725,6.93333056,24406884.7627539
BAFS,20020424,6.93333056,7.35999706,6.93333056,7.30666374,41673766.6695067
BAFS,20020425,7.35999706,7.51999699,7.14666381,7.14666381,61569399.6277598
BAFS,20020426,7.19999712,7.30666374,7.0933305,7.19999712,39369390.7477563
BAFS,20020429,7.19999712,7.19999712,6.98666387,7.03999718,14233130.6932523
BAFS,20020430,7.03999718,7.0933305,6.77333062,6.82666394,20210633.0842532
BAFS,20020502,6.93333056,6.93333056,6.39999744,6.39999744,26746885.6987543
BAFS,20020503,6.45333075,6.55999738,5.91999763,6.29333082,37678140.071256
BAFS,20020507,6.18666419,6.34666413,6.07999757,6.29333082,13554380.4217522
BAFS,20020508,6.39999744,6.98666387,6.39999744,6.98666387,39007515.6030062
BAFS,20020509,7.25333043,7.35999706,7.0933305,7.0933305,61513149.6052598
BAFS,20020510,7.25333043,7.25333043,6.82666394,6.87999725,38787765.5151062
BAFS,20020513,6.87999725,6.87999725,6.61333069,6.666664,15808881.3235525
BAFS,20020514,6.77333062,6.82666394,6.61333069,6.71999731,20940195.8760783
BAFS,20020515,6.71999731,6.77333062,6.34666413,6.45333075,17712944.5851778
BAFS,20020516,6.50666406,6.50666406,6.18666419,6.2399975,17384819.4539278
BAFS,20020517,6.2399975,6.82666394,6.18666419,6.71999731,36337514.5350058
BAFS,20020520,6.666664,6.666664,6.29333082,6.39999744,30123949.5495798
BAFS,20020521,6.39999744,6.61333069,6.34666413,6.39999744,23978447.0913788
BAFS,20020522,6.39999744,6.50666406,6.34666413,6.34666413,12558942.523577
BAFS,20020523,6.39999744,6.55999738,6.34666413,6.34666413,18668819.967528
BAFS,20020524,6.39999744,6.45333075,6.2399975,6.2399975,11678629.6714519
BAFS,20020528,6.29333082,6.50666406,6.29333082,6.50666406,16640069.1560277
BAFS,20020529,6.55999738,6.55999738,6.34666413,6.34666413,17496756.9987028
BAFS,20020530,6.50666406,6.666664,6.39999744,6.45333075,38738452.9953812
BAFS,20020531,6.50666406,6.50666406,6.34666413,6.34666413,13753318.0013272
BAFS,20020603,6.39999744,6.39999744,6.29333082,6.29333082,8249065.79962632
BAFS,20020604,6.29333082,6.34666413,6.18666419,6.18666419,4595814.33832574
BAFS,20020605,6.2399975,6.34666413,6.2399975,6.29333082,3956439.08257563
BAFS,20020606,6.34666413,6.45333075,6.2399975,6.2399975,11869692.2478769
BAFS,20020607,6.29333082,6.34666413,6.13333088,6.13333088,8532565.91302636
BAFS,20020610,6.18666419,6.34666413,6.13333088,6.2399975,9041628.61665145
BAFS,20020611,6.2399975,6.29333082,6.13333088,6.13333088,5856564.84262594
BAFS,20020612,6.18666419,6.29333082,6.07999757,6.07999757,7937065.67482627
BAFS,20020613,6.07999757,6.13333088,5.86666432,5.91999763,7464565.48582619
BAFS,20020614,5.91999763,5.97333094,5.65333107,5.65333107,5891627.35665094
BAFS,20020617,5.65333107,5.65333107,5.3333312,5.3333312,4779189.41167576
BAFS,20020618,5.38666451,5.54666445,5.38666451,5.49333114,6181689.97267599
BAFS,20020619,5.49333114,5.54666445,5.30666454,5.3333312,4608939.34357574
BAFS,20020620,5.3333312,5.3333312,5.27999789,5.3333312,2591063.53642541
BAFS,20020621,5.27999789,5.27999789,5.19999792,5.22666458,2377688.45107538
BAFS,20020624,5.19999792,5.22666458,5.14666461,5.14666461,878437.85137514
BAFS,20020625,5.14666461,5.22666458,5.14666461,5.17333126,1169062.96762519
BAFS,20020626,5.17333126,5.17333126,4.71999811,4.74666477,2851876.14075046
BAFS,20020627,4.79999808,4.95999802,4.74666477,4.79999808,4192689.17707567
BAFS,20020628,4.87999805,5.38666451,4.85333139,5.3333312,12392067.456827
BAFS,20020702,5.27999789,5.30666454,5.17333126,5.22666458,4843501.93740078
BAFS,20020703,5.19999792,5.54666445,5.19999792,5.43999782,14652380.8609523
BAFS,20020704,5.43999782,5.43999782,5.25333123,5.3333312,10213316.5853266
BAFS,20020705,5.38666451,5.38666451,5.25333123,5.27999789,3012188.70487548
BAFS,20020708,5.3333312,5.43999782,5.27999789,5.27999789,6355690.04227602
BAFS,20020709,5.3333312,5.65333107,5.30666454,5.65333107,26053885.4215542
BAFS,20020710,5.59999776,5.7599977,5.54666445,5.59999776,18589694.935878
BAFS,20020711,5.54666445,5.65333107,5.43999782,5.59999776,9696191.37847655
BAFS,20020712,5.65333107,5.70666438,5.49333114,5.49333114,10233004.0932016
BAFS,20020715,5.54666445,5.54666445,5.43999782,5.43999782,2302313.42092537
BAFS,20020716,5.49333114,5.49333114,5.27999789,5.27999789,4181064.17242567
BAFS,20020717,5.30666454,5.30666454,5.25333123,5.30666454,1320750.52830021
BAFS,20020718,5.38666451,5.43999782,5.30666454,5.43999782,2723813.58952544
BAFS,20020719,5.38666451,5.43999782,5.3333312,5.3333312,1040625.41625017
BAFS,20020722,5.27999789,5.27999789,5.19999792,5.19999792,2493938.4975754
BAFS,20020723,5.17333126,5.25333123,5.14666461,5.19999792,2212313.38492535
BAFS,20020724,5.17333126,5.17333126,4.93333136,4.95999802,2857876.14315046
BAFS,20020726,5.01333133,5.01333133,4.87999805,4.93333136,863437.84537514
BAFS,20020729,4.98666467,5.01333133,4.9066647,4.9066647,514687.70587508
BAFS,20020730,4.98666467,5.14666461,4.95999802,4.95999802,2994376.19775048
BAFS,20020731,5.01333133,5.0933313,4.98666467,5.0933313,1956563.28262531
BAFS,20020801,5.11999795,5.17333126,5.06666464,5.06666464,1755000.70200028
BAFS,20020802,5.03999798,5.06666464,4.98666467,5.01333133,642375.2569501
BAFS,20020805,5.01333133,5.01333133,4.82666474,4.87999805,1316813.02672521
BAFS,20020806,4.82666474,4.87999805,4.79999808,4.85333139,1435688.07427523
BAFS,20020807,4.93333136,5.17333126,4.9066647,5.0933313,6398252.55930102
BAFS,20020808,5.17333126,5.22666458,4.95999802,4.95999802,8085753.23430129
BAFS,20020809,5.0933313,5.14666461,5.03999798,5.0933313,2750251.10010044
BAFS,20020813,5.14666461,5.14666461,4.93333136,4.93333136,2509876.0039504
BAFS,20020814,4.95999802,5.03999798,4.95999802,5.03999798,723937.78957512
BAFS,20020815,5.06666464,5.54666445,5.03999798,5.54666445,29578511.8314047
BAFS,20020816,5.54666445,5.65333107,5.49333114,5.49333114,21697321.1789285
BAFS,20020819,5.49333114,5.54666445,5.3333312,5.49333114,9047066.11882645
BAFS,20020820,5.59999776,5.59999776,5.27999789,5.27999789,16274631.5098526
BAFS,20020821,5.17333126,5.17333126,5.11999795,5.14666461,3315376.32615053
BAFS,20020822,5.17333126,5.22666458,5.01333133,5.01333133,2717063.58682544
BAFS,20020823,5.03999798,5.03999798,4.9066647,4.9066647,3161626.26465051
BAFS,20020826,4.9066647,4.98666467,4.87999805,4.98666467,652500.2610001
BAFS,20020827,4.98666467,4.98666467,4.93333136,4.93333136,1361063.04442522
BAFS,20020828,4.95999802,5.03999798,4.87999805,4.9066647,3596251.43850058
BAFS,20020829,4.9066647,4.93333136,4.87999805,4.9066647,1030875.41235016
BAFS,20020830,4.9066647,4.93333136,4.85333139,4.87999805,1448063.07922523
BAFS,20020902,4.85333139,4.9066647,4.82666474,4.85333139,671062.76842511
BAFS,20020903,4.85333139,4.9066647,4.82666474,4.85333139,418875.16755007
BAFS,20020904,4.79999808,4.82666474,4.71999811,4.74666477,2882063.65282546
BAFS,20020905,4.74666477,4.85333139,4.69333146,4.69333146,2412563.46502539
BAFS,20020906,4.69333146,4.79999808,4.6666648,4.77333142,921187.86847515
BAFS,20020909,4.79999808,4.87999805,4.74666477,4.82666474,3921564.06862563
BAFS,20020910,4.87999805,4.93333136,4.85333139,4.9066647,3356063.84242554
BAFS,20020911,4.9066647,4.93333136,4.87999805,4.87999805,1278938.0115752
BAFS,20020912,4.9066647,5.01333133,4.87999805,4.87999805,4553064.32122573
BAFS,20020913,4.85333139,4.85333139,4.79999808,4.79999808,1590375.63615025
BAFS,20020916,4.79999808,4.79999808,4.71999811,4.71999811,1843125.7372503
BAFS,20020917,4.82666474,4.82666474,4.79999808,4.82666474,1437000.57480023
BAFS,20020918,4.79999808,4.79999808,4.74666477,4.74666477,856875.34275014
BAFS,20020919,4.79999808,4.79999808,4.74666477,4.74666477,278437.61137505
BAFS,20020920,4.69333146,4.74666477,4.6666648,4.71999811,897187.85887514
BAFS,20020923,4.71999811,4.71999811,4.69333146,4.69333146,589125.23565009
BAFS,20020924,4.63999814,4.6666648,4.55999818,4.55999818,1056937.92277517
BAFS,20020925,4.53333152,4.53333152,4.34666493,4.37333158,1066687.92667517
BAFS,20020926,4.45333155,4.47999821,4.29333162,4.29333162,1207500.48300019
BAFS,20020927,4.29333162,4.4266649,4.29333162,4.31999827,1268438.0073752
BAFS,20020930,4.26666496,4.29333162,4.18666499,4.18666499,940125.37605015
BAFS,20021001,4.10666502,4.21333165,4.10666502,4.18666499,700125.28005011
BAFS,20021002,4.26666496,4.29333162,4.21333165,4.21333165,1152375.46095018
BAFS,20021003,4.21333165,4.31999827,4.18666499,4.21333165,1716375.68655027
BAFS,20021004,4.26666496,4.34666493,4.26666496,4.29333162,3081001.23240049
BAFS,20021007,4.29333162,4.29333162,4.21333165,4.21333165,609937.7439751
BAFS,20021008,4.2399983,4.29333162,4.21333165,4.26666496,616875.2467501
BAFS,20021009,4.2399983,4.26666496,4.2399983,4.2399983,526312.71052508
BAFS,20021010,4.21333165,4.2399983,4.18666499,4.18666499,512437.70497508
BAFS,20021011,4.2399983,4.2399983,4.15999834,4.18666499,588000.23520009
BAFS,20021014,4.18666499,4.18666499,3.9999984,3.9999984,676687.77067511
BAFS,20021015,4.10666502,4.10666502,3.9999984,4.10666502,332062.63282505
BAFS,20021016,4.15999834,4.15999834,4.10666502,4.10666502,514687.70587508
BAFS,20021017,4.15999834,4.26666496,4.13333168,4.15999834,1062937.92517517
BAFS,20021018,4.21333165,4.29333162,4.15999834,4.21333165,2580001.03200041
BAFS,20021021,4.21333165,4.2399983,4.18666499,4.21333165,859312.84372514
BAFS,20021022,4.21333165,4.37333158,4.21333165,4.2399983,3572813.92912557
BAFS,20021024,4.31999827,4.61333149,4.31999827,4.58666483,13169442.7677771
BAFS,20021025,4.58666483,4.58666483,4.50666486,4.55999818,3415126.36605055
BAFS,20021028,4.55999818,4.63999814,4.55999818,4.55999818,4314564.22582569
BAFS,20021029,4.55999818,4.74666477,4.53333152,4.55999818,9684191.37367655
BAFS,20021030,4.58666483,4.63999814,4.53333152,4.61333149,1492313.09692524
BAFS,20021031,4.6666648,4.6666648,4.53333152,4.53333152,726000.29040012
BAFS,20021101,4.58666483,4.63999814,4.53333152,4.53333152,1057500.42300017
BAFS,20021104,4.58666483,4.58666483,4.53333152,4.55999818,524250.20970008
BAFS,20021105,4.58666483,4.58666483,4.4266649,4.4266649,2074313.32972533
BAFS,20021106,4.47999821,4.53333152,4.4266649,4.4266649,1407000.56280023
BAFS,20021107,4.4266649,4.4266649,4.34666493,4.4266649,1379438.05177522
BAFS,20021108,4.39999824,4.39999824,4.37333158,4.37333158,738562.79542512
BAFS,20021111,4.34666493,4.34666493,4.26666496,4.29333162,679687.77187511
BAFS,20021112,4.26666496,4.26666496,4.21333165,4.2399983,701062.78042511
BAFS,20021113,4.21333165,4.29333162,4.21333165,4.2399983,770062.80802512
BAFS,20021114,4.29333162,4.31999827,4.26666496,4.29333162,1142625.45705018
BAFS,20021115,4.31999827,4.31999827,4.29333162,4.31999827,825375.33015013
BAFS,20021118,4.34666493,4.4266649,4.31999827,4.37333158,3268126.30725052
BAFS,20021119,4.37333158,4.45333155,4.34666493,4.37333158,2158688.36347535
BAFS,20021120,4.39999824,4.39999824,4.29333162,4.29333162,599625.2398501
BAFS,20021121,4.31999827,4.37333158,4.31999827,4.34666493,563062.72522509
BAFS,20021122,4.39999824,4.39999824,4.34666493,4.37333158,506625.20265008
BAFS,20021125,4.37333158,4.45333155,4.34666493,4.37333158,1499438.09977524
BAFS,20021126,4.37333158,4.37333158,4.31999827,4.31999827,443625.17745007
BAFS,20021127,4.34666493,4.34666493,4.26666496,4.26666496,656812.76272511
BAFS,20021128,4.31999827,4.31999827,4.2399983,4.2399983,1962000.78480031
BAFS,20021129,4.26666496,4.26666496,4.2399983,4.2399983,538687.71547509
BAFS,20021202,4.2399983,4.26666496,4.21333165,4.2399983,695062.77802511
BAFS,20021203,4.2399983,4.29333162,4.21333165,4.21333165,835500.33420013
BAFS,20021204,4.2399983,4.26666496,4.21333165,4.26666496,594937.7379751
BAFS,20021206,4.26666496,4.26666496,4.18666499,4.18666499,2103750.84150034
BAFS,20021209,4.18666499,4.21333165,4.15999834,4.15999834,364125.14565006
BAFS,20021211,4.15999834,4.26666496,4.15999834,4.15999834,940125.37605015
BAFS,20021212,4.18666499,4.21333165,4.15999834,4.15999834,580687.73227509
BAFS,20021213,4.15999834,4.15999834,4.02666506,4.07999837,1154250.46170018
