<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BATA,19810123,49.267874,49.267874,49.267874,49.267874,16.866975
BATA,19810218,48.734287,48.734287,48.734287,48.734287,5.622325
BATA,19810417,47.133525,47.133525,47.133525,47.133525,146.180451
BATA,19810818,37.70682,37.70682,37.70682,37.70682,5.622325
BATA,19811021,30.592326,30.592326,30.592326,30.592326,11.24465
BATA,19811117,30.592326,30.592326,30.592326,30.592326,11.24465
BATA,19811125,30.414464,30.414464,30.414464,30.414464,11.24465
BATA,19811126,30.414464,30.414464,30.414464,30.414464,22.4893
BATA,19811127,30.592326,30.592326,30.592326,30.592326,11.24465
BATA,19820301,21.699208,21.699208,21.699208,21.699208,5.622325
BATA,19820317,21.521346,21.521346,21.521346,21.521346,22.4893
BATA,19820325,20.987758,20.987758,20.987758,20.987758,22.4893
BATA,19820329,20.632034,20.632034,20.632034,20.632034,22.4893
BATA,19820408,20.098447,20.098447,20.098447,20.098447,22.4893
BATA,19820415,19.56486,19.56486,19.56486,19.56486,22.4893
BATA,19820422,19.386997,19.386997,19.386997,19.386997,5.622325
BATA,19820909,19.742722,19.742722,19.742722,19.742722,11.24465
BATA,19820910,21.699208,21.699208,21.699208,21.699208,11.24465
BATA,19820914,22.410657,22.410657,22.410657,22.410657,11.24465
BATA,19820915,22.232795,22.232795,22.232795,22.232795,22.4893
BATA,19820916,22.58852,22.58852,22.58852,22.58852,5.622325
BATA,19821005,22.232795,22.232795,22.232795,22.232795,11.24465
BATA,19821013,22.054933,22.054933,22.054933,22.054933,5.622325
BATA,19821019,22.232795,22.232795,22.232795,22.232795,22.4893
BATA,19821020,22.232795,22.232795,22.232795,22.232795,11.24465
BATA,19821102,21.521346,21.521346,21.521346,21.521346,5.622325
BATA,19821118,20.809896,20.809896,20.809896,20.809896,5.622325
BATA,19821214,20.454171,20.454171,20.454171,20.454171,11.24465
BATA,19821224,20.987758,20.987758,20.987758,20.987758,106.824176
BATA,19821227,21.343483,21.343483,21.343483,21.343483,106.824176
BATA,19821229,20.632034,20.632034,20.632034,20.632034,33.73395
BATA,19821230,20.098447,20.098447,20.098447,20.098447,11.24465
BATA,19830106,20.098447,20.098447,20.098447,20.098447,11.24465
BATA,19830112,20.098447,20.098447,20.098447,20.098447,11.24465
BATA,19830118,20.098447,20.098447,20.098447,20.098447,22.4893
BATA,19830128,20.098447,20.098447,20.098447,20.098447,11.24465
BATA,19830208,19.56486,19.56486,19.56486,19.56486,11.24465
BATA,19830224,19.56486,19.56486,19.56486,19.56486,11.24465
BATA,19830301,19.56486,19.742722,19.56486,19.742722,33.73395
BATA,19830309,19.920584,19.920584,19.920584,19.920584,22.4893
BATA,19830317,20.454171,20.454171,20.454171,20.454171,22.4893
BATA,19830322,20.632034,20.632034,20.632034,20.632034,11.24465
BATA,19830323,20.809896,20.809896,20.809896,20.809896,11.24465
BATA,19830328,20.632034,20.809896,20.632034,20.809896,22.4893
BATA,19830415,21.521346,21.521346,21.521346,21.521346,11.24465
BATA,19830425,22.232795,22.232795,22.232795,22.232795,22.4893
BATA,19830426,22.944244,22.944244,22.944244,22.944244,22.4893
BATA,19830520,23.655694,23.655694,23.655694,23.655694,11.24465
BATA,19830609,23.477831,23.477831,23.477831,23.477831,11.24465
BATA,19830715,24.189281,25.61218,24.189281,25.61218,16.866975
BATA,19830718,26.323629,28.102253,26.323629,28.102253,22.4893
BATA,19830719,29.169427,30.770188,29.169427,30.770188,39.356275
BATA,19830720,31.481638,31.481638,30.770188,31.481638,22.4893
BATA,19830721,31.481638,31.481638,31.125913,31.125913,22.4893
BATA,19830722,31.125913,31.6595,31.125913,31.6595,39.356275
BATA,19830727,31.837362,31.837362,31.837362,31.837362,11.24465
BATA,19830824,28.813702,28.813702,26.679354,26.679354,28.111625
BATA,19830825,26.679354,26.679354,25.256455,25.256455,286.738577
BATA,19830907,25.967905,25.967905,25.967905,25.967905,269.871602
BATA,19831117,25.256455,25.256455,25.256455,25.256455,11.24465
BATA,19840229,13.606471,13.606471,12.361434,12.361434,22.4893
BATA,19840306,13.517539,13.517539,13.517539,13.517539,5.622325
BATA,19840308,14.851507,14.851507,14.851507,14.851507,5.622325
BATA,19840309,15.118301,15.118301,15.118301,15.118301,11.24465
BATA,19840312,14.851507,14.851507,14.851507,14.851507,5.622325
BATA,19840313,14.673645,14.673645,14.673645,14.673645,11.24465
BATA,19840314,14.673645,14.673645,14.495782,14.495782,33.73395
BATA,19840319,13.339677,13.339677,13.339677,13.339677,11.24465
BATA,19840412,7.114494,7.114494,7.114494,7.114494,5.622325
BATA,19840416,7.825944,7.825944,7.825944,7.825944,16.866975
BATA,19840417,8.003806,8.003806,8.003806,8.003806,44.9786
BATA,19840425,8.092737,8.092737,8.092737,8.092737,11.24465
BATA,19840430,7.914875,7.914875,7.825944,7.825944,236.137652
BATA,19840504,7.114494,7.114494,7.114494,7.114494,5.622325
BATA,19840508,7.114494,7.114494,6.669838,6.669838,39.356275
BATA,19840510,6.669838,6.669838,6.669838,6.669838,101.201851
BATA,19840516,6.669838,6.669838,6.669838,6.669838,11.24465
BATA,19840522,6.625373,6.625373,6.625373,6.625373,11.24465
BATA,19840523,6.669838,6.669838,6.669838,6.669838,11.24465
BATA,19840524,6.669838,6.669838,6.669838,6.669838,11.24465
BATA,19840525,6.75877,6.75877,6.75877,6.75877,11.24465
