<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BH,20031029,12.20,12.40,10.20,10.80,null
BH,20031030,11.40,11.50,10.80,10.90,null
BH,20031031,11.10,13.80,11.00,13.10,null
BH,20031103,13.20,13.60,12.50,12.70,null
BH,20031104,12.90,14.80,12.60,14.00,null
BH,20031105,14.10,15.70,14.10,15.70,null
BH,20031106,16.20,19.60,15.80,17.80,null
BH,20031107,18.40,19.70,17.20,17.70,null
BH,20031110,17.80,17.80,15.60,15.60,null
BH,20031111,15.00,16.00,14.20,16.00,null
BH,20031112,16.60,16.70,15.90,16.20,null
BH,20031113,16.40,17.60,16.20,17.40,null
BH,20031114,17.10,17.40,16.00,16.00,null
BH,20031117,15.00,16.40,15.00,15.60,null
BH,20031118,16.00,16.60,15.80,16.20,null
BH,20031119,16.10,16.40,15.20,15.80,null
BH,20031120,16.10,16.70,15.80,15.90,null
BH,20031121,15.90,16.20,15.40,15.60,null
BH,20031124,15.70,16.20,15.50,15.60,null
BH,20031125,15.70,15.90,15.30,15.30,null
BH,20031126,15.40,16.00,15.40,16.00,null
BH,20031127,16.10,16.40,15.80,15.80,null
BH,20031128,16.10,16.10,15.60,15.60,null
BH,20031201,15.80,15.90,14.90,15.10,null
BH,20031202,15.30,15.40,15.10,15.10,null
BH,20031203,15.20,15.70,15.00,15.30,null
BH,20031204,15.50,16.00,15.20,15.50,null
BH,20031208,15.60,15.70,15.20,15.20,null
BH,20031209,15.30,15.40,14.80,14.90,null
BH,20031211,14.80,15.20,13.40,13.80,null
BH,20031212,13.80,14.00,13.30,13.60,null
BH,20031215,13.60,14.20,13.60,14.00,null
BH,20031216,14.00,14.20,13.80,14.00,null
BH,20031217,14.20,15.10,14.00,15.10,null
BH,20031218,15.20,15.30,14.40,14.50,null
BH,20031219,14.70,15.20,14.10,15.00,null
BH,20031222,15.20,15.60,14.90,15.00,null
BH,20031223,15.10,15.20,14.40,14.40,null
BH,20031224,14.60,14.60,14.20,14.30,null
BH,20031225,14.40,14.40,13.90,13.90,null
BH,20031226,13.90,14.40,13.80,14.00,null
BH,20031229,14.00,14.30,13.90,13.90,null
BH,20031230,13.90,14.10,13.40,13.50,null
BH,20031231,13.80,14.00,13.60,13.90,null
BH,20040105,13.90,13.90,13.40,13.40,null
BH,20040106,13.50,13.80,12.90,13.10,null
BH,20040107,13.00,13.30,13.00,13.00,null
BH,20040108,13.50,13.50,13.10,13.10,null
BH,20040109,13.30,13.80,13.20,13.40,null
BH,20040112,13.60,13.60,13.10,13.20,null
BH,20040113,13.20,13.40,12.80,12.90,null
BH,20040114,12.90,13.60,12.90,13.40,null
BH,20040115,13.60,13.70,12.90,12.90,null
BH,20040116,12.90,13.20,12.90,13.20,null
BH,20040119,13.20,13.60,13.10,13.10,null
BH,20040120,13.20,13.30,12.90,12.90,null
BH,20040121,13.10,13.40,12.70,12.90,null
BH,20040122,13.00,13.10,12.70,12.70,null
BH,20040123,12.60,12.90,11.00,12.80,null
BH,20040126,12.70,13.00,12.70,12.80,null
BH,20040127,12.80,12.90,12.70,12.80,null
BH,20040128,13.00,13.00,12.80,12.80,null
BH,20040129,12.90,12.90,12.50,12.80,null
BH,20040130,12.80,12.80,12.30,12.30,null
BH,20040202,12.40,12.40,11.50,11.50,null
BH,20040203,11.50,11.60,11.10,11.60,null
BH,20040204,11.60,12.00,11.50,11.90,null
BH,20040205,12.20,12.30,11.90,12.20,null
BH,20040206,12.40,12.70,11.90,11.90,null
BH,20040209,12.10,12.30,11.70,11.90,null
BH,20040210,12.00,12.10,11.70,11.70,null
BH,20040211,11.80,12.60,11.70,12.30,null
BH,20040212,12.50,12.80,12.40,12.50,null
BH,20040213,12.50,12.60,12.30,12.30,null
BH,20040216,12.40,12.40,12.10,12.40,null
BH,20040217,12.30,12.30,12.10,12.20,null
BH,20040218,12.30,13.20,12.20,13.20,null
BH,20040219,13.20,13.80,13.10,13.20,null
BH,20040220,13.20,13.20,12.50,12.90,null
BH,20040223,13.00,13.70,12.90,13.60,null
BH,20040224,13.60,13.80,13.10,13.20,null
BH,20040225,12.90,13.20,12.60,12.60,null
BH,20040226,12.70,12.90,12.10,12.20,null
BH,20040227,12.20,12.60,12.10,12.40,null
BH,20040301,12.70,12.70,11.70,11.70,null
