<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BLAND,19920205,15.00,16.10,15.00,15.40,197038000
BLAND,19920206,15.50,16.90,15.40,16.90,158752000
BLAND,19920207,17.50,18.30,17.40,18.10,160830000
BLAND,19920210,18.30,18.60,17.60,17.70,107713000
BLAND,19920211,17.70,18.80,17.70,18.70,133497000
BLAND,19920212,19.00,19.80,19.00,19.30,116996000
BLAND,19920213,19.70,20.40,19.40,19.80,126454000
BLAND,19920214,20.00,20.60,19.50,19.90,100054000
BLAND,19920217,20.40,21.00,19.90,20.60,99959000
BLAND,19920219,20.40,20.60,19.80,20.00,67309000
BLAND,19920220,19.90,20.40,19.40,19.80,28633000
BLAND,19920221,19.90,19.90,18.70,19.40,42740000
BLAND,19920224,20.00,20.80,20.00,20.60,66882000
BLAND,19920225,21.20,21.60,20.60,21.00,90683000
BLAND,19920226,21.60,21.80,19.90,20.20,80885000
BLAND,19920227,20.00,20.20,18.70,18.90,65492000
BLAND,19920228,19.10,20.60,18.60,20.60,144657000
BLAND,19920302,20.60,21.80,20.60,21.60,140083000
BLAND,19920303,21.40,21.60,21.00,21.40,37716000
BLAND,19920304,21.40,22.40,21.20,21.60,75649000
BLAND,19920305,21.40,21.60,21.00,21.60,28649000
BLAND,19920306,21.40,22.20,21.40,22.00,51223000
BLAND,19920309,21.60,22.00,21.00,21.20,31484000
BLAND,19920310,20.80,21.00,20.40,20.80,25014000
BLAND,19920311,20.60,21.20,20.40,20.80,22519000
BLAND,19920312,20.80,21.20,20.40,21.00,24645000
BLAND,19920313,21.00,21.00,20.00,20.40,29347000
BLAND,19920316,20.40,20.40,19.50,19.60,24150000
BLAND,19920317,19.40,20.20,19.20,19.80,25892000
BLAND,19920318,19.80,20.40,19.70,20.40,21785000
BLAND,19920319,20.60,21.00,19.90,20.20,32728000
BLAND,19920320,20.20,20.60,19.70,19.90,24148000
BLAND,19920323,20.00,20.40,19.90,20.20,13302000
BLAND,19920324,20.20,20.20,19.60,19.80,12010000
BLAND,19920325,19.80,21.00,19.70,20.20,34825000
BLAND,19920326,19.90,20.20,19.70,19.80,17635000
BLAND,19920327,19.90,20.00,19.50,19.70,18152000
BLAND,19920330,19.70,19.90,19.30,19.50,13257000
BLAND,19920331,19.50,19.50,19.00,19.20,11700000
BLAND,19920401,19.20,19.70,19.00,19.30,12967000
BLAND,19920402,19.20,19.40,18.90,19.00,10653000
BLAND,19920403,19.00,19.10,18.80,19.00,4598000
