<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BRC,19831230,4.87835003,5.13852869,4.87835003,5.13852869,12299.24045748
BRC,19840103,5.26861803,5.26861803,5.26861803,5.26861803,3074.81011437
BRC,19840104,5.26861803,5.5287967,5.26861803,5.5287967,27673.29102933
BRC,19840105,5.39870736,5.39870736,5.26861803,5.39870736,43047.34160117
BRC,19840106,5.33366269,5.33366269,5.26861803,5.26861803,9224.43034311
BRC,19840109,5.26861803,5.26861803,5.26861803,5.26861803,6149.62022874
BRC,19840110,5.20357336,5.20357336,5.13852869,5.13852869,12299.24045748
BRC,19840111,5.07348403,5.20357336,5.07348403,5.20357336,27673.29102933
BRC,19840112,5.07348403,5.17105103,5.07348403,5.17105103,15374.05057185
BRC,19840116,5.07348403,5.07348403,5.07348403,5.07348403,3074.81011437
BRC,19840118,5.07348403,5.07348403,5.07348403,5.07348403,3074.81011437
BRC,19840119,5.07348403,5.07348403,4.97591703,4.97591703,27673.29102933
BRC,19840120,4.91087236,4.91087236,4.91087236,4.91087236,3074.81011437
BRC,19840123,4.84582769,4.84582769,4.84582769,4.84582769,6149.62022874
BRC,19840124,4.87835003,4.87835003,4.87835003,4.87835003,6149.62022874
BRC,19840125,4.81330536,4.81330536,4.81330536,4.81330536,3074.81011437
BRC,19840126,4.87835003,5.04096169,4.87835003,5.04096169,27673.29102933
BRC,19840130,4.91087236,4.91087236,4.84582769,4.84582769,6149.62022874
BRC,19840131,4.87835003,4.87835003,4.87835003,4.87835003,6149.62022874
BRC,19840206,4.81330536,4.81330536,4.78078303,4.81330536,18448.86068622
BRC,19840208,4.87835003,4.97591703,4.87835003,4.97591703,18448.86068622
BRC,19840209,4.97591703,4.97591703,4.87835003,4.97591703,27673.29102933
BRC,19840210,4.94339469,4.94339469,4.94339469,4.94339469,6149.62022874
BRC,19840213,4.94339469,4.94339469,4.94339469,4.94339469,6149.62022874
BRC,19840214,4.84582769,4.87835003,4.84582769,4.87835003,21523.67080059
BRC,19840215,4.81330536,4.97591703,4.81330536,4.97591703,9224.43034311
BRC,19840217,5.04096169,5.46375203,5.04096169,5.46375203,43047.34160117
BRC,19840220,5.39870736,5.39870736,5.33366269,5.33366269,12299.24045748
BRC,19840221,5.23609569,5.23609569,5.20357336,5.20357336,15374.05057185
BRC,19840222,5.20357336,5.23609569,5.20357336,5.23609569,21523.67080059
BRC,19840223,5.20357336,5.20357336,5.20357336,5.20357336,3074.81011437
BRC,19840227,5.26861803,5.30114036,5.26861803,5.26861803,24598.48091496
BRC,19840228,5.30114036,5.33366269,5.30114036,5.33366269,6149.62022874
BRC,19840229,5.46375203,5.7239307,5.46375203,5.69140836,64571.01240176
BRC,19840301,5.69140836,5.7239307,5.69140836,5.7239307,15374.05057185
BRC,19840302,5.6263637,5.6263637,5.5287967,5.6263637,52271.77194428
BRC,19840305,5.56131903,5.56131903,5.5287967,5.5287967,18448.86068622
BRC,19840306,5.46375203,5.5287967,5.46375203,5.46375203,64571.01240176
BRC,19840308,5.49627436,5.49627436,5.49627436,5.49627436,6149.62022874
BRC,19840309,5.49627436,5.49627436,5.46375203,5.46375203,18448.86068622
BRC,19840312,5.46375203,5.46375203,5.46375203,5.46375203,12299.24045748
BRC,19840314,5.4312297,5.4312297,5.4312297,5.4312297,9224.43034311
BRC,19840316,5.39870736,5.39870736,5.39870736,5.39870736,6149.62022874
BRC,19840321,5.46375203,5.46375203,5.4312297,5.4312297,36897.72137243
BRC,19840322,5.4312297,5.4312297,5.4312297,5.4312297,6149.62022874
BRC,19840323,5.4312297,5.46375203,5.39870736,5.46375203,36897.72137243
BRC,19840326,5.36618503,5.36618503,5.36618503,5.36618503,18448.86068622
BRC,19840328,5.36618503,5.39870736,5.36618503,5.36618503,30748.10114369
BRC,19840329,5.26861803,5.26861803,5.26861803,5.26861803,12299.24045748
BRC,19840330,5.26861803,5.26861803,5.26861803,5.26861803,6149.62022874
BRC,19840423,4.29294802,4.32547036,4.29294802,4.32547036,6149.62022874
BRC,19840426,4.45555969,4.45555969,4.45555969,4.45555969,3074.81011437
BRC,19840502,4.45555969,4.45555969,4.45555969,4.45555969,15374.05057185
BRC,19840508,4.45555969,4.45555969,4.45555969,4.45555969,3074.81011437
BRC,19840522,4.35799269,4.35799269,4.35799269,4.35799269,6149.62022874
BRC,19840524,4.39051502,4.39051502,4.39051502,4.39051502,9224.43034311
BRC,19840528,4.35799269,4.35799269,4.35799269,4.35799269,9224.43034311
BRC,19840530,4.35799269,4.35799269,4.35799269,4.35799269,3074.81011437
BRC,19840607,4.35799269,4.35799269,4.35799269,4.35799269,3074.81011437
BRC,19840612,4.32547036,4.32547036,4.32547036,4.32547036,9224.43034311
BRC,19840614,4.29294802,4.29294802,4.29294802,4.29294802,3074.81011437
BRC,19840622,4.32547036,4.32547036,4.32547036,4.32547036,9224.43034311
BRC,19840709,4.29294802,4.29294802,4.29294802,4.29294802,6149.62022874
BRC,19840711,4.26042569,4.26042569,4.26042569,4.26042569,6149.62022874
BRC,19840717,4.22790336,4.22790336,4.16285869,4.16285869,9224.43034311
BRC,19840720,4.22790336,4.22790336,4.22790336,4.22790336,6149.62022874
BRC,19840724,4.26042569,4.26042569,4.26042569,4.26042569,9224.43034311
BRC,19840726,4.22790336,4.22790336,4.22790336,4.22790336,15374.05057185
BRC,19840727,4.16285869,4.16285869,4.16285869,4.16285869,12299.24045748
BRC,19840803,4.06529169,4.06529169,4.06529169,4.06529169,3074.81011437
