<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BROOK,20010917,.16,.22,.16,.20,429037939.84
BROOK,20010918,.22,.23,.20,.21,314998036.85
BROOK,20010919,.22,.24,.22,.24,253445171.37
BROOK,20010920,.23,.25,.23,.23,302375371.83
BROOK,20010921,.23,.23,.22,.22,107731729.31
BROOK,20010924,.22,.23,.22,.23,183808872.51
BROOK,20010925,.24,.24,.22,.22,149952585.31
BROOK,20010926,.22,.22,.21,.21,40458231.61
BROOK,20010927,.21,.22,.21,.21,46153593.23
BROOK,20010928,.21,.21,.20,.20,66805991.59
BROOK,20011001,.20,.20,.18,.18,25845506.79
BROOK,20011002,.18,.19,.18,.19,49252400.63
BROOK,20011003,.19,.19,.17,.18,28846390.62
BROOK,20011004,.18,.19,.18,.19,85095588.80
BROOK,20011005,.19,.19,.18,.18,11466535.04
BROOK,20011008,.17,.18,.17,.17,15629866.49
BROOK,20011009,.17,.18,.17,.17,11138017.23
BROOK,20011010,.18,.18,.17,.18,26780519.02
BROOK,20011011,.18,.18,.18,.18,19837421.49
BROOK,20011012,.18,.18,.17,.17,10266181.51
BROOK,20011015,.17,.18,.17,.18,827612.17
BROOK,20011016,.18,.18,.18,.18,5092026.03
BROOK,20011017,.18,.19,.18,.19,78007185.32
BROOK,20011018,.19,.19,.18,.18,72204423.65
BROOK,20011019,.19,.19,.18,.18,24275570.73
BROOK,20011022,.18,.19,.18,.19,192688.33
BROOK,20011024,.18,.19,.18,.18,3228319.23
BROOK,20011025,.18,.18,.18,.18,3335719.28
BROOK,20011026,.18,.18,.18,.18,5054120.13
BROOK,20011029,.18,.19,.18,.18,19107732.90
BROOK,20011030,.17,.18,.16,.16,13854606.80
BROOK,20011031,.16,.17,.16,.16,4321272.71
BROOK,20011101,.17,.17,.16,.16,9381710.48
BROOK,20011102,.16,.16,.16,.16,4305478.58
BROOK,20011105,.16,.16,.15,.15,2489154.16
BROOK,20011106,.15,.15,.15,.15,7337950.66
BROOK,20011107,.14,.14,.14,.14,3815860.70
BROOK,20011108,.14,.14,.14,.14,3057742.68
BROOK,20011109,.14,.14,.13,.13,1042412.28
BROOK,20011112,.14,.14,.14,.14,1187718.23
BROOK,20011113,.14,.14,.14,.14,7116832.90
BROOK,20011114,.14,.14,.13,.13,25933953.90
BROOK,20011115,.13,.13,.13,.13,1045571.10
BROOK,20011116,.14,.14,.13,.14,11185399.60
BROOK,20011119,.14,.14,.14,.14,12322576.63
BROOK,20011120,.14,.14,.14,.14,4833002.37
BROOK,20011121,.14,.14,.14,.14,9378551.66
BROOK,20011122,.14,.14,.14,.14,7044179.93
BROOK,20011123,.14,.14,.14,.14,12335211.93
BROOK,20011126,.14,.14,.14,.14,837088.65
BROOK,20011127,.14,.14,.14,.14,394853.13
BROOK,20011129,.13,.14,.13,.13,2274354.06
BROOK,20011130,.13,.14,.13,.13,2403865.88
BROOK,20011203,.13,.13,.13,.13,584382.64
BROOK,20011204,.13,.13,.13,.13,315882.51
BROOK,20011206,.13,.13,.13,.13,533841.44
BROOK,20011207,.13,.13,.13,.13,157941.25
BROOK,20011211,.12,.13,.12,.12,473823.76
BROOK,20011213,.12,.12,.12,.12,157941.25
BROOK,20011214,.12,.12,.12,.12,63176.50
BROOK,20011218,.11,.12,.11,.11,1882659.75
BROOK,20011219,.11,.11,.11,.11,631765.02
BROOK,20011220,.11,.11,.11,.11,126353.00
BROOK,20011221,.11,.11,.11,.11,1569936.06
BROOK,20011224,.11,.11,.11,.11,691782.69
BROOK,20011225,.11,.11,.11,.11,947647.52
BROOK,20011226,.11,.12,.11,.11,1737353.79
BROOK,20011227,.11,.11,.11,.11,1999536.27
BROOK,20011228,.11,.11,.11,.11,3471548.76
BROOK,20020102,.11,.11,.11,.11,315882.51
BROOK,20020103,.11,.12,.11,.12,319041.33
BROOK,20020104,.12,.12,.11,.11,410647.26
BROOK,20020107,.11,.11,.11,.11,2514424.76
BROOK,20020108,.11,.11,.11,.11,4090678.48
BROOK,20020109,.11,.11,.11,.11,3319925.16
BROOK,20020110,.11,.11,.11,.11,1797371.47
BROOK,20020111,.11,.11,.11,.11,638082.67
BROOK,20020114,.11,.11,.11,.11,1263530.03
BROOK,20020115,.11,.11,.11,.11,1623636.09
BROOK,20020116,.11,.11,.11,.11,1895295.05
BROOK,20020117,.11,.11,.11,.11,631765.02
BROOK,20020118,.11,.12,.11,.12,2350165.86
BROOK,20020121,.11,.11,.11,.11,353788.41
BROOK,20020123,.11,.12,.11,.11,2732383.69
BROOK,20020124,.12,.13,.11,.11,3733731.24
BROOK,20020125,.11,.11,.11,.11,1168765.28
BROOK,20020128,.11,.11,.11,.11,306406.03
BROOK,20020129,.11,.11,.11,.11,11577093.91
BROOK,20020130,.11,.14,.11,.13,9236404.53
BROOK,20020131,.14,.14,.12,.13,9561763.51
BROOK,20020201,.13,.13,.11,.12,1563618.41
BROOK,20020204,.13,.13,.13,.13,63176.50
BROOK,20020208,.13,.13,.13,.13,34747.08
BROOK,20020211,.13,.13,.12,.12,533841.44
BROOK,20020212,.13,.14,.12,.13,777070.97
BROOK,20020213,.13,.13,.13,.13,14975989.70
BROOK,20020214,.13,.13,.13,.13,1263530.03
BROOK,20020218,.13,.13,.13,.13,31588.25
BROOK,20020219,.13,.13,.13,.13,6854650.42
BROOK,20020220,.13,.14,.13,.13,11419152.66
BROOK,20020221,.13,.14,.13,.13,32333733.51
BROOK,20020222,.14,.14,.13,.13,10755799.39
BROOK,20020225,.14,.14,.14,.14,5212061.38
BROOK,20020227,.13,.14,.13,.14,40774114.12
BROOK,20020228,.14,.14,.14,.14,10487299.26
BROOK,20020301,.14,.14,.14,.14,13497659.56
BROOK,20020304,.16,.17,.14,.16,25302188.88
BROOK,20020305,.17,.17,.15,.16,7912856.82
BROOK,20020306,.15,.15,.15,.15,9340645.76
BROOK,20020307,.15,.16,.15,.16,394853.13
BROOK,20020308,.15,.16,.15,.16,2577601.26
BROOK,20020311,.15,.15,.15,.15,442235.51
BROOK,20020312,.15,.15,.15,.15,947647.52
BROOK,20020313,.15,.15,.15,.15,3158.83
BROOK,20020314,.15,.15,.15,.15,5196267.25
BROOK,20020315,.15,.15,.15,.15,2100618.68
BROOK,20020322,.14,.15,.14,.15,319041.33
BROOK,20020325,.16,.16,.16,.16,3158.83
BROOK,20020326,.16,.16,.16,.16,7840203.85
BROOK,20020327,.17,.17,.14,.16,1519394.86
BROOK,20020328,.16,.16,.16,.16,322200.16
BROOK,20020329,.16,.16,.15,.16,5016214.22
BROOK,20020401,.16,.16,.16,.16,726529.77
BROOK,20020402,.16,.16,.16,.16,157941.25
BROOK,20020403,.16,.16,.16,.16,480141.41
BROOK,20020404,.16,.16,.15,.16,1146653.50
BROOK,20020405,.16,.16,.16,.16,319041.33
BROOK,20020409,.15,.16,.15,.15,821294.52
BROOK,20020410,.16,.16,.15,.16,682306.22
BROOK,20020411,.16,.16,.15,.15,1074000.53
BROOK,20020412,.15,.15,.14,.14,88447.10
BROOK,20020417,.13,.15,.13,.14,56858.85
BROOK,20020418,.14,.14,.14,.14,966600.47
BROOK,20020419,.14,.14,.14,.14,1058206.40
BROOK,20020422,.14,.14,.13,.13,331676.63
BROOK,20020423,.13,.15,.13,.15,2558648.31
BROOK,20020424,.15,.15,.15,.15,3158.83
BROOK,20020502,.13,.13,.12,.12,2463883.56
BROOK,20020503,.13,.13,.13,.13,15794.13
BROOK,20020509,.13,.13,.12,.13,15794.13
BROOK,20020510,.13,.13,.12,.13,37905.90
BROOK,20020513,.13,.13,.13,.13,116876.53
BROOK,20020514,.13,.13,.12,.12,717053.29
BROOK,20020516,.12,.13,.12,.13,322200.16
BROOK,20020517,.12,.13,.12,.13,12635.30
BROOK,20020520,.12,.13,.12,.12,581223.81
BROOK,20020521,.14,.14,.12,.13,9548496.45
BROOK,20020522,.12,.13,.12,.12,7154107.04
BROOK,20020523,.12,.12,.12,.12,2546644.78
BROOK,20020524,.12,.12,.12,.12,337994.28
BROOK,20020528,.12,.12,.12,.12,874994.55
BROOK,20020529,.12,.13,.12,.12,1959735.08
BROOK,20020530,.12,.12,.11,.12,26886655.54
BROOK,20020531,.12,.12,.11,.11,41982680.59
BROOK,20020603,.11,.11,.11,.11,1978056.26
BROOK,20020604,.11,.11,.11,.11,3291495.73
BROOK,20020605,.11,.11,.11,.11,23295071.43
BROOK,20020606,.11,.11,.11,.11,19839316.79
BROOK,20020607,.11,.11,.11,.11,5414226.18
BROOK,20020610,.11,.11,.11,.11,7183168.23
BROOK,20020611,.11,.11,.11,.11,5251230.81
BROOK,20020612,.11,.11,.11,.11,2880848.47
BROOK,20020613,.11,.11,.11,.11,1013982.85
BROOK,20020614,.11,.11,.11,.11,1592047.84
BROOK,20020617,.11,.11,.11,.11,1686812.59
BROOK,20020618,.11,.11,.11,.11,4539231.64
BROOK,20020619,.11,.11,.11,.11,4512065.74
