<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BRR,20141106,9.25,9.75,8.60,8.70,245968800
BRR,20141107,8.85,8.90,8.35,8.35,35852800
BRR,20141110,8.30,8.30,7.50,7.50,28511800
BRR,20141111,7.70,8.45,7.70,8.10,45898100
BRR,20141112,8.40,9.30,8.40,8.40,99777500
BRR,20141113,8.50,8.60,8.05,8.10,19218000
BRR,20141114,8.20,8.60,8.05,8.20,10458300
BRR,20141117,8.25,8.30,8.10,8.10,5603100
BRR,20141118,8.15,8.25,8.05,8.05,7480900
BRR,20141119,8.10,8.35,8.05,8.10,12981300
BRR,20141120,8.15,8.20,8.10,8.10,4597700
BRR,20141121,8.10,8.20,8.05,8.10,3251100
BRR,20141124,8.10,8.40,8.10,8.20,6611300
BRR,20141125,8.35,8.55,8.25,8.35,10836100
BRR,20141126,8.35,8.45,8.20,8.25,4471600
BRR,20141127,8.25,8.30,8.20,8.20,1678500
BRR,20141128,8.20,8.25,8.20,8.20,2283900
BRR,20141201,8.25,8.25,8.15,8.15,1312300
BRR,20141202,8.20,8.40,8.20,8.30,4387500
BRR,20141203,8.40,8.50,8.35,8.35,5539900
BRR,20141204,8.35,8.35,8.30,8.30,1862000
BRR,20141208,8.35,8.35,8.15,8.15,3953200
BRR,20141209,8.15,8.20,8.10,8.10,2387400
BRR,20141211,8.00,8.10,7.95,8.00,2450500
BRR,20141212,8.00,8.05,7.90,7.90,1447500
BRR,20141215,7.85,7.95,7.00,7.65,4214800
BRR,20141216,7.60,7.90,7.45,7.65,1972500
BRR,20141217,7.85,8.00,7.70,7.85,1494600
BRR,20141218,7.95,7.95,7.85,7.85,854800
BRR,20141219,7.95,7.95,7.75,7.75,963400
BRR,20141222,7.70,7.90,7.70,7.80,1120500
BRR,20141223,7.70,7.90,7.70,7.85,874200
BRR,20141224,7.80,7.80,7.65,7.65,807300
BRR,20141225,7.65,7.75,7.55,7.55,740200
BRR,20141226,7.65,7.65,7.50,7.60,364300
BRR,20141229,7.60,7.65,7.55,7.60,288300
BRR,20141230,7.55,7.65,7.55,7.55,234300
BRR,20150105,7.55,7.65,7.55,7.55,366900
BRR,20150106,7.55,7.65,7.50,7.65,750600
BRR,20150107,7.70,7.90,7.70,7.85,1013200
BRR,20150108,7.90,7.90,7.75,7.85,564900
BRR,20150109,7.90,7.90,7.80,7.80,790200
BRR,20150112,7.70,7.90,7.70,7.75,770400
BRR,20150113,7.80,7.80,7.65,7.65,703200
BRR,20150114,7.70,8.10,7.70,7.95,4625300
BRR,20150115,8.00,8.35,7.90,8.25,5118300
BRR,20150116,8.30,8.30,8.15,8.15,1894300
BRR,20150119,8.20,8.60,8.20,8.45,9711400
BRR,20150120,8.55,8.60,8.30,8.30,2767900
BRR,20150121,8.35,8.40,8.30,8.35,3395600
BRR,20150122,8.35,8.80,8.35,8.60,8872100
BRR,20150123,8.60,8.70,8.45,8.45,2999000
BRR,20150126,8.55,8.55,8.20,8.30,2630900
BRR,20150127,8.30,8.35,8.05,8.10,4693500
BRR,20150128,8.10,8.45,8.05,8.20,4452800
BRR,20150129,8.20,8.55,8.20,8.50,10205600
BRR,20150130,8.55,8.70,8.50,8.65,8039900
BRR,20150202,8.60,8.80,8.60,8.70,6163000
BRR,20150203,8.80,8.80,8.70,8.70,1995200
BRR,20150204,8.70,8.70,8.60,8.60,1776700
BRR,20150205,8.60,8.65,8.55,8.55,1063200
