<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BSM,20080214,.22,.23,.19,.20,456975625.00
BSM,20080215,.20,.20,.19,.19,75665000.00
BSM,20080218,.20,.20,.19,.19,48453125.00
BSM,20080219,.19,.20,.19,.19,128201250.00
BSM,20080220,.19,.19,.19,.19,11447500.00
BSM,20080222,.19,.19,.19,.19,18062500.00
BSM,20080225,.19,.19,.19,.19,7136250.00
BSM,20080226,.19,.19,.18,.18,34733750.00
BSM,20080227,.19,.19,.18,.19,23348125.00
BSM,20080228,.19,.19,.18,.18,11452500.00
BSM,20080229,.18,.18,.17,.17,17151250.00
BSM,20080303,.17,.17,.16,.16,11510625.00
BSM,20080304,.16,.17,.16,.16,16500000.00
BSM,20080305,.16,.16,.16,.16,12050625.00
BSM,20080306,.16,.17,.16,.16,40264375.00
BSM,20080307,.16,.16,.15,.16,15281250.00
BSM,20080310,.16,.17,.16,.16,135851250.00
BSM,20080311,.16,.17,.16,.16,33750625.00
BSM,20080312,.16,.16,.16,.16,12975625.00
BSM,20080313,.16,.16,.16,.16,37018750.00
BSM,20080314,.16,.16,.16,.16,13816250.00
BSM,20080317,.16,.16,.16,.16,24314375.00
BSM,20080318,.16,.21,.16,.21,414329375.00
BSM,20080319,.21,.21,.19,.20,243428125.00
BSM,20080320,.20,.21,.18,.19,369175625.00
BSM,20080321,.19,.19,.18,.18,81040625.00
BSM,20080324,.18,.20,.18,.20,352688125.00
BSM,20080325,.20,.20,.19,.19,86125625.00
BSM,20080326,.19,.19,.19,.19,52296875.00
BSM,20080327,.19,.20,.19,.20,189578750.00
BSM,20080328,.20,.20,.19,.19,54633125.00
BSM,20080331,.19,.20,.19,.19,82471250.00
BSM,20080401,.19,.20,.19,.19,54275625.00
BSM,20080402,.20,.20,.19,.19,89325625.00
BSM,20080403,.19,.20,.19,.19,36441250.00
BSM,20080404,.19,.20,.19,.19,102094375.00
BSM,20080408,.19,.20,.19,.19,95916875.00
BSM,20080409,.19,.19,.19,.19,54144375.00
BSM,20080410,.19,.19,.18,.18,30218125.00
BSM,20080411,.19,.19,.18,.18,109131250.00
BSM,20080416,.18,.19,.18,.19,30357500.00
BSM,20080417,.19,.19,.18,.19,21767500.00
BSM,20080418,.19,.19,.19,.19,33927500.00
BSM,20080421,.19,.19,.19,.19,96943750.00
BSM,20080422,.19,.20,.19,.19,90929375.00
BSM,20080423,.19,.20,.19,.19,57783750.00
BSM,20080424,.19,.22,.19,.20,480492500.00
BSM,20080425,.20,.20,.19,.19,89597500.00
BSM,20080428,.19,.19,.19,.19,45040625.00
BSM,20080429,.19,.19,.18,.18,36817500.00
BSM,20080430,.19,.19,.18,.18,17075000.00
BSM,20080502,.19,.19,.18,.19,26285000.00
BSM,20080506,.19,.19,.18,.19,8130625.00
BSM,20080507,.19,.19,.18,.18,9280625.00
BSM,20080508,.19,.19,.18,.19,36078750.00
BSM,20080509,.19,.20,.19,.19,222178750.00
BSM,20080512,.19,.20,.19,.19,172087500.00
BSM,20080513,.20,.20,.19,.19,62085000.00
BSM,20080514,.19,.19,.19,.19,20821875.00
BSM,20080515,.19,.20,.19,.19,28933125.00
BSM,20080516,.19,.19,.19,.19,14015625.00
BSM,20080520,.19,.19,.18,.18,5655625.00
BSM,20080521,.19,.19,.19,.19,13689375.00
BSM,20080522,.19,.19,.18,.18,12518750.00
BSM,20080523,.18,.18,.18,.18,11492500.00
BSM,20080526,.18,.18,.17,.17,3625625.00
BSM,20080527,.17,.18,.17,.17,6200000.00
BSM,20080528,.17,.17,.16,.16,5244375.00
BSM,20080529,.16,.16,.16,.16,4751875.00
BSM,20080530,.16,.17,.16,.16,6806875.00
BSM,20080602,.16,.16,.16,.16,3562500.00
BSM,20080603,.16,.16,.16,.16,2073125.00
BSM,20080604,.16,.16,.16,.16,4981250.00
BSM,20080605,.16,.16,.16,.16,1021875.00
