<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BWG,20071114,1.50122547,1.87653184,1.36986824,1.38863356,369703243.094855
BWG,20071115,1.36048558,1.39801622,1.11653644,1.1259191,130576060.484714
BWG,20071116,1.11653644,1.21036304,1.06962315,1.20098038,113530734.727081
BWG,20071119,1.26665899,1.26665899,1.20098038,1.24789367,91721885.1606436
BWG,20071120,1.24789367,1.33233761,1.23851101,1.28542431,110157432.522623
BWG,20071121,1.28542431,1.34172026,1.28542431,1.28542431,69484383.9328664
BWG,20071122,1.30418963,1.32295495,1.23851101,1.30418963,66405244.5606321
BWG,20071123,1.31357229,1.33233761,1.29480697,1.31357229,35631984.1635626
BWG,20071126,1.31357229,1.31357229,1.28542431,1.28542431,11392765.3069191
BWG,20071127,1.28542431,1.30418963,1.26665899,1.29480697,26636847.4206604
BWG,20071128,1.29480697,1.31357229,1.28542431,1.30418963,8678810.9575655
BWG,20071129,1.31357229,1.34172026,1.31357229,1.31357229,38018531.2510232
BWG,20071130,1.32295495,1.36986824,1.32295495,1.33233761,63312001.4909623
BWG,20071203,1.33233761,1.35110292,1.30418963,1.33233761,11963965.0530526
BWG,20071204,1.34172026,1.34172026,1.29480697,1.31357229,7489567.04167391
BWG,20071206,1.31357229,1.48246015,1.30418963,1.48246015,73797093.1272179
BWG,20071207,1.51060813,1.57628674,1.45431218,1.52937345,58205455.6123901
BWG,20071211,1.55752143,1.57628674,1.51999079,1.53875611,43990439.7079527
BWG,20071212,1.52937345,1.679496,1.52937345,1.67011334,54458909.1293737
BWG,20071213,1.67011334,1.72640929,1.60443472,1.60443472,76265743.8818916
BWG,20071214,1.6325827,1.70764397,1.62320004,1.68887866,66335229.7769349
BWG,20071217,1.68887866,1.70764397,1.65134802,1.65134802,70380472.4234937
BWG,20071218,1.66073068,1.679496,1.60443472,1.6325827,24405441.0049892
BWG,20071219,1.6325827,1.65134802,1.59505206,1.59505206,18664228.7418243
BWG,20071220,1.60443472,1.60443472,1.50122547,1.50122547,24695574.2093744
BWG,20071221,1.50122547,1.50122547,1.39801622,1.39801622,23879070.8685611
BWG,20071225,1.38863356,1.45431218,1.38863356,1.44492952,17365681.1708084
BWG,20071226,1.44492952,1.48246015,1.39801622,1.44492952,30051453.3104652
BWG,20071227,1.46369483,1.51999079,1.43554686,1.44492952,44612009.8020697
BWG,20071228,1.44492952,1.47307749,1.4261642,1.44492952,25736225.5987145
BWG,20080102,1.45431218,1.45431218,1.39801622,1.40739888,4149005.56340493
BWG,20080103,1.40739888,1.40739888,1.33233761,1.36048558,5071790.33846355
BWG,20080104,1.36986824,1.39801622,1.35110292,1.38863356,3256946.70061628
BWG,20080107,1.38863356,1.38863356,1.34172026,1.38863356,2002725.03582591
BWG,20080108,1.40739888,1.4261642,1.38863356,1.39801622,1461747.49848259
BWG,20080109,1.38863356,1.39801622,1.36986824,1.36986824,2876650.57334049
BWG,20080110,1.39801622,1.39801622,1.36048558,1.36048558,2118576.83618807
BWG,20080111,1.3792509,1.4261642,1.36986824,1.36986824,21101649.8807482
BWG,20080114,1.36986824,1.36986824,1.30418963,1.33233761,9368381.02146029
BWG,20080115,1.36048558,1.3792509,1.31357229,1.33233761,15912496.631483
BWG,20080116,1.31357229,1.33233761,1.29480697,1.33233761,5976441.78824809
BWG,20080117,1.33233761,1.33233761,1.30418963,1.32295495,3356679.98962371
BWG,20080118,1.32295495,1.35110292,1.32295495,1.34172026,19480732.0826376
BWG,20080121,1.43554686,1.679496,1.43554686,1.66073068,103415361.445025
BWG,20080122,1.66073068,1.82961854,1.66073068,1.78270525,165124578.46315
BWG,20080123,1.95159311,2.12048098,1.70764397,1.87653184,190363648.727267
BWG,20080124,1.87653184,1.93282779,1.679496,1.68887866,72742338.0404423
BWG,20080125,1.69826131,1.72640929,1.60443472,1.67011334,27734417.3032219
BWG,20080128,1.67011334,1.76393993,1.65134802,1.73579195,36003717.3316812
BWG,20080129,1.75455727,1.75455727,1.679496,1.68887866,37116902.0221176
BWG,20080130,1.69826131,1.71702663,1.66073068,1.68887866,16929977.6607507
BWG,20080131,1.71702663,1.78270525,1.69826131,1.77332259,39696871.245835
BWG,20080201,1.81085322,1.87653184,1.79208791,1.8390012,53844390.8839744
BWG,20080204,1.86714918,1.89529716,1.81085322,1.8390012,39817760.0809955
BWG,20080205,1.84838386,1.85776652,1.82961854,1.8390012,5496916.07544471
BWG,20080206,1.81085322,1.82961854,1.81085322,1.82023588,3829153.8537094
BWG,20080207,1.82961854,1.84838386,1.82023588,1.82961854,5370990.20548583
BWG,20080208,1.82961854,1.89529716,1.81085322,1.86714918,26885173.2362193
BWG,20080211,1.93282779,1.97035843,1.85776652,1.85776652,44945965.2092007
BWG,20080212,1.86714918,1.93282779,1.84838386,1.93282779,24257352.1819175
BWG,20080213,1.93282779,1.97035843,1.85776652,1.93282779,47048423.534034
BWG,20080214,1.95159311,1.95159311,1.87653184,1.87653184,9447966.1712743
BWG,20080215,1.87653184,1.87653184,1.79208791,1.79208791,8829922.00151615
BWG,20080218,1.78270525,1.78270525,1.76393993,1.78270525,2873628.35246147
BWG,20080219,1.78270525,1.82023588,1.77332259,1.79208791,12290868.6114658
BWG,20080220,1.79208791,1.81085322,1.78270525,1.79208791,2415761.88929101
BWG,20080222,1.79208791,1.84838386,1.79208791,1.79208791,16321000.1536296
BWG,20080225,1.79208791,1.82023588,1.79208791,1.79208791,3846783.47550364
BWG,20080226,1.79208791,1.80147057,1.77332259,1.77332259,2762309.88341783
BWG,20080227,1.78270525,1.78270525,1.65134802,1.65134802,9574899.44819284
BWG,20080228,1.66073068,1.67011334,1.57628674,1.5856694,18812317.5648959
BWG,20080229,1.57628674,1.64196536,1.57628674,1.62320004,8277359.28413661
BWG,20080303,1.62320004,1.65134802,1.61381738,1.61381738,3067050.4887183
BWG,20080304,1.61381738,1.61381738,1.5856694,1.5856694,1349421.62247928
BWG,20080305,1.5856694,1.60443472,1.56690409,1.5856694,6678604.43913877
BWG,20080306,1.5856694,1.64196536,1.5856694,1.5856694,22401708.5622036
BWG,20080307,1.5856694,1.5856694,1.54813877,1.54813877,1584147.44408262
BWG,20080310,1.54813877,1.54813877,1.46369483,1.48246015,2201687.91036093
BWG,20080311,1.50122547,1.54813877,1.4261642,1.50122547,34855777.1011361
BWG,20080312,1.51060813,1.51060813,1.46369483,1.50122547,2254576.77574366
BWG,20080313,1.50122547,1.57628674,1.50122547,1.51999079,8639018.3826585
BWG,20080314,1.51999079,1.55752143,1.51999079,1.51999079,22357886.3594579
BWG,20080317,1.50122547,1.53875611,1.49184281,1.53875611,6969241.34700385
BWG,20080318,1.52937345,1.53875611,1.50122547,1.51060813,2003228.73930575
BWG,20080319,1.51060813,1.55752143,1.50122547,1.51999079,19220317.3835626
BWG,20080320,1.51999079,1.51999079,1.49184281,1.51999079,4348975.84489962
BWG,20080321,1.51060813,1.51999079,1.49184281,1.51999079,987762.5239574
