<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CM,19930125,2.90192434539553,2.90192434539553,2.3629955383935,2.3629955383935,31430867.6395105
CM,19930126,2.3629955383935,2.3629955383935,2.13498719696957,2.19717129008518,10661890.634431
CM,19930127,2.19717129008518,2.40445160047058,2.19717129008518,2.40445160047058,10266291.0724295
CM,19930128,2.4666356935862,2.52881978670182,2.28008341423934,2.30081144527788,15488687.7293398
CM,19930129,2.28008341423934,2.38372356943204,2.28008341423934,2.30081144527788,2624465.38693687
CM,19930201,2.23862735216226,2.23862735216226,2.17644325904664,2.19717129008518,1502795.89711551
CM,19930202,2.19717129008518,2.23862735216226,2.13498719696957,2.15571522800811,1073425.64079679
CM,19930203,2.17644325904664,2.2593553832008,2.17644325904664,2.23862735216226,2301231.59847222
CM,19930204,2.23862735216226,2.23862735216226,2.11425916593103,2.15571522800811,1374949.69720038
CM,19930205,2.11425916593103,2.17644325904664,2.07280310385395,2.15571522800811,1676473.75360398
CM,19930208,2.13498719696957,2.13498719696957,2.00025499521906,2.06243908833468,1560688.515945
CM,19930209,2.09353113489249,2.15571522800811,2.00025499521906,2.03134704177687,2419429.02858243
CM,19930210,2.11425916593103,2.11425916593103,2.00025499521906,2.07280310385395,1794671.18371419
CM,19930211,2.09353113489249,2.09353113489249,1.96916294866125,2.0209830262576,882862.43714972
CM,19930212,1.94843491762271,1.94843491762271,1.88625082450709,1.88625082450709,755016.237234597
CM,19930215,1.83443074691074,1.86552279346855,1.76188263827586,1.80333870035293,861152.705088661
CM,19930216,1.72042657619878,1.80333870035293,1.72042657619878,1.78261066931439,1592047.01781097
CM,19930217,1.74115460723732,1.82406673139147,1.69969854516024,1.75151862275659,1213332.80296806
CM,19930218,1.76188263827586,1.83443074691074,1.74115460723732,1.78261066931439,1259164.4595414
CM,19930219,1.82406673139147,1.82406673139147,1.74115460723732,1.80333870035293,395599.562001514
CM,19930222,1.82406673139147,1.86552279346855,1.77224665379512,1.82406673139147,740543.082527224
