<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CMO,20040916,4.16,4.44,3.072,3.12,274194860
CMO,20040917,3.04,3.072,2.448,2.56,63835155
CMO,20040920,2.592,2.624,2.352,2.416,29873437.5
CMO,20040921,2.432,2.528,2.352,2.352,23055782.5
CMO,20040922,2.40,2.512,2.352,2.416,32941720
CMO,20040923,2.384,2.464,2.224,2.288,18885156.25
CMO,20040924,2.304,2.32,2.128,2.208,9175937.5
CMO,20040927,2.192,2.368,2.144,2.272,27108750
CMO,20040928,2.256,2.416,2.256,2.336,38040000
CMO,20040929,2.368,2.368,2.176,2.176,15394062.5
CMO,20040930,2.208,2.256,2.144,2.176,10975000
CMO,20041001,2.192,2.24,2.144,2.192,5829062.5
CMO,20041004,2.208,2.224,2.176,2.176,6235000
CMO,20041005,2.192,2.192,1.984,2.016,1183000
CMO,20041006,2.032,2.032,1.744,1.84,1610875
CMO,20041007,1.84,1.84,1.728,1.728,5088906.25
CMO,20041008,1.728,1.808,1.712,1.728,7028593.75
CMO,20041011,1.744,1.776,1.664,1.664,4949843.75
CMO,20041012,1.664,1.68,1.52,1.52,4728906.25
CMO,20041013,1.52,1.544,1.496,1.536,2676406.25
CMO,20041014,1.52,1.632,1.496,1.616,8633593.75
CMO,20041015,1.632,1.664,1.576,1.576,380375
CMO,20041018,1.584,1.616,1.504,1.504,401375
CMO,20041019,1.552,1.552,1.528,1.536,1294375
CMO,20041020,1.568,1.68,1.56,1.664,792250
CMO,20041021,1.664,1.664,1.568,1.568,6886406.25
CMO,20041022,1.592,1.632,1.568,1.60,8539687.5
CMO,20041026,1.60,1.648,1.592,1.616,5314375
CMO,20041027,1.632,1.632,1.512,1.512,5652187.5
CMO,20041028,1.536,1.544,1.376,1.376,4974062.5
CMO,20041029,1.384,1.40,1.376,1.376,1882343.75
CMO,20041101,1.384,1.40,1.368,1.368,523593.75
CMO,20041102,1.384,1.384,1.32,1.32,673250
CMO,20041103,1.32,1.368,1.32,1.336,1993906.25
CMO,20041104,1.36,1.584,1.336,1.456,896375
CMO,20041105,1.48,1.496,1.40,1.40,686250
CMO,20041108,1.40,1.464,1.384,1.408,5319077.5
CMO,20041109,1.424,1.488,1.424,1.464,304375
CMO,20041110,1.488,1.552,1.464,1.504,292500
CMO,20041111,1.648,1.728,1.544,1.648,269625
CMO,20041112,1.632,1.648,1.576,1.592,7205468.75
CMO,20041115,1.616,1.696,1.60,1.632,1957125
CMO,20041116,1.696,1.728,1.664,1.696,13170467.5
CMO,20041117,1.696,1.84,1.632,1.792,34233282.5
CMO,20041118,1.808,1.888,1.776,1.872,26123130
CMO,20041119,1.92,1.952,1.808,1.808,18016413.75
CMO,20041122,1.76,1.824,1.76,1.76,7551562.5
CMO,20041123,1.792,1.808,1.76,1.776,5132031.25
CMO,20041124,1.824,1.92,1.824,1.92,26593750
CMO,20041125,1.952,1.968,1.84,1.872,18295468.75
CMO,20041126,1.888,1.904,1.824,1.84,9837812.5
CMO,20041129,1.856,1.872,1.808,1.84,3975000
CMO,20041130,1.84,1.872,1.824,1.824,3112343.75
CMO,20041201,1.824,1.84,1.776,1.776,2772500
CMO,20041202,1.808,1.808,1.776,1.776,2014531.25
CMO,20041203,1.792,1.808,1.776,1.776,1375312.5
CMO,20041207,1.776,1.792,1.696,1.696,266875
CMO,20041208,1.696,1.744,1.664,1.696,2922031.25
CMO,20041209,1.712,1.792,1.712,1.776,228625
CMO,20041213,1.792,1.824,1.712,1.728,74625
CMO,20041214,1.744,1.76,1.648,1.664,1811250
CMO,20041215,1.664,1.696,1.664,1.68,158750
CMO,20041216,1.68,1.744,1.68,1.68,139625
CMO,20041217,1.696,1.728,1.68,1.696,2277343.75
CMO,20041220,1.712,1.728,1.664,1.68,518625
CMO,20041221,1.68,1.696,1.664,1.664,1125625
CMO,20041222,1.696,1.728,1.696,1.728,332125
CMO,20041223,1.744,1.776,1.712,1.712,2568126.25
CMO,20041224,1.744,1.744,1.712,1.712,83750
CMO,20041227,1.68,1.712,1.68,1.696,913593.75
CMO,20041228,1.712,1.728,1.712,1.728,118750
CMO,20041229,1.744,1.744,1.68,1.728,1881093.75
CMO,20041230,1.728,1.76,1.728,1.728,249750
CMO,20050104,1.728,1.728,1.696,1.712,569125
CMO,20050105,1.712,1.744,1.712,1.712,396406.25
CMO,20050106,1.712,1.776,1.712,1.76,2077343.75
CMO,20050107,1.792,2.08,1.76,2.064,32197970
CMO,20050110,2.064,2.352,2.048,2.32,1784375
CMO,20050111,2.384,2.40,2.032,2.064,1809375
CMO,20050112,2.08,2.096,1.92,1.952,17660781.25
CMO,20050113,1.968,2.016,1.92,1.92,220625
