<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
COLOR,20110614,4.80130794,5.4720789,4.51887806,4.51887806,229845228.607196
COLOR,20110615,4.73070047,4.90721914,3.60098095,3.70689216,109682163.089238
COLOR,20110616,3.77749963,3.77749963,3.33267257,3.38915854,69648296.7780915
COLOR,20110617,3.44564452,3.67158842,3.38915854,3.45976601,61163358.8092983
COLOR,20110620,3.50213049,3.50213049,3.31855107,3.31855107,18769685.513741
COLOR,20110621,3.34679406,3.44564452,3.33267257,3.38915854,25278911.837322
COLOR,20110622,3.41740153,3.63628469,3.41740153,3.53037348,64393187.0579768
COLOR,20110623,3.60098095,4.20114444,3.53037348,3.91871456,109579057.850692
COLOR,20110624,3.88341083,4.02462577,3.63628469,3.74219589,71449381.0069204
COLOR,20110627,3.74219589,3.8481071,3.60098095,3.67158842,22085623.6319743
COLOR,20110628,3.74219589,3.81280336,3.47388751,3.488009,24403083.821982
COLOR,20110629,3.51625199,3.60098095,3.50213049,3.50213049,21120569.9294312
COLOR,20110630,3.53037348,3.60098095,3.43152302,3.47388751,14033501.0601538
COLOR,20110704,3.53037348,3.56567722,3.38915854,3.41740153,8068268.17236205
COLOR,20110705,3.43152302,3.56567722,3.41740153,3.50213049,20204377.9127374
COLOR,20110706,3.56567722,3.63628469,3.43152302,3.45976601,17403682.7310835
COLOR,20110707,3.47388751,3.488009,3.43152302,3.44564452,3375563.53777695
COLOR,20110708,3.47388751,3.47388751,3.37503705,3.40328004,3847468.28342908
COLOR,20110711,3.40328004,3.44564452,3.36091555,3.36091555,2295224.58224441
COLOR,20110712,3.36091555,3.36091555,3.27618659,3.27618659,3392417.2786931
COLOR,20110713,3.30442958,3.33267257,3.27618659,3.29030809,2852106.1728519
COLOR,20110714,3.29030809,3.40328004,3.29030809,3.34679406,6920372.62509
COLOR,20110718,3.38915854,3.43152302,3.31855107,3.33267257,5148747.03584557
COLOR,20110719,3.34679406,3.36091555,3.33267257,3.34679406,1737209.96703751
COLOR,20110720,3.36091555,3.43152302,3.34679406,3.36091555,5012500.82776713
COLOR,20110721,3.38915854,3.43152302,3.34679406,3.36091555,4947776.79752613
COLOR,20110722,3.38915854,3.38915854,3.36091555,3.36091555,1343342.2906694
COLOR,20110725,3.38915854,3.43152302,3.37503705,3.41740153,5466277.17982878
COLOR,20110726,3.44564452,3.53037348,3.40328004,3.41740153,23123332.5369542
COLOR,20110727,3.44564452,3.45976601,3.40328004,3.40328004,5808450.60884905
COLOR,20110728,3.40328004,3.41740153,3.36091555,3.36091555,3386752.15569607
COLOR,20110729,3.37503705,3.40328004,3.33267257,3.34679406,3558263.75443098
COLOR,20110801,3.34679406,3.40328004,3.34679406,3.34679406,3371739.57975396
