<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DNA,20121221,.48,.51,.42,.42,2232903095.89
DNA,20121224,.43,.45,.41,.44,589715363.79
DNA,20121225,.43,.44,.41,.41,165938041.76
DNA,20121226,.42,.43,.42,.42,63107429.61
DNA,20121227,.42,.42,.42,.42,48093743.99
DNA,20121228,.42,.42,.41,.41,41675057.29
DNA,20130102,.41,.42,.40,.41,31257558.59
DNA,20130103,.41,.41,.40,.40,11386686.08
DNA,20130104,.40,.42,.40,.42,51977806.00
DNA,20130107,.42,.42,.41,.42,16552685.43
DNA,20130108,.42,.42,.41,.41,14570998.18
DNA,20130109,.42,.42,.41,.41,24630184.42
DNA,20130110,.41,.42,.40,.40,27093934.11
DNA,20130111,.40,.41,.40,.41,9746998.78
DNA,20130114,.41,.41,.40,.41,24644246.92
DNA,20130115,.41,.41,.40,.41,21786747.28
DNA,20130116,.41,.41,.40,.41,17169185.35
DNA,20130117,.41,.41,.40,.41,26615809.17
DNA,20130118,.41,.44,.40,.44,150359606.21
DNA,20130121,.47,.47,.44,.44,299801212.52
DNA,20130122,.45,.45,.42,.42,89796363.78
DNA,20130123,.42,.43,.41,.42,59173305.10
DNA,20130124,.43,.44,.42,.44,48120743.98
DNA,20130125,.44,.45,.43,.44,126434234.20
DNA,20130128,.45,.45,.44,.44,41347119.83
DNA,20130129,.44,.44,.43,.43,16952622.88
DNA,20130130,.43,.43,.43,.43,14297060.71
DNA,20130131,.42,.43,.42,.42,29546433.81
DNA,20130201,.43,.44,.43,.43,54618180.67
DNA,20130204,.43,.44,.43,.43,23620497.05
DNA,20130205,.43,.43,.43,.43,18369560.20
DNA,20130206,.43,.46,.43,.46,395170825.60
DNA,20130207,.46,.46,.45,.45,136108107.99
DNA,20130208,.45,.47,.45,.45,159046292.62
DNA,20130211,.45,.50,.45,.49,466577941.68
DNA,20130212,.51,.55,.49,.50,822853022.14
DNA,20130213,.50,.50,.48,.48,243601282.05
DNA,20130214,.49,.49,.47,.48,61797929.78
DNA,20130215,.48,.48,.47,.47,58127055.23
DNA,20130218,.47,.47,.43,.45,23847747.02
DNA,20130219,.44,.46,.44,.46,15881060.51
DNA,20130220,.46,.47,.45,.45,15584623.05
DNA,20130221,.46,.48,.45,.46,33689245.79
DNA,20130222,.47,.50,.45,.50,106043611.74
DNA,20130226,.50,.50,.48,.49,82357864.71
